col1	col2	col3	col4	col5	col6	col7
290756.869	4726.454	-18479.117	2.01570691e-13	4.64711486e-14	-4.64711486e-14	7
303176.598	3886.689	-3250.388	2.20821906e-13	4.94606e-14	-4.94606e-14	7
318906.765	5498.231	-7460.752	1.865221644e-13	4.20531696e-14	-4.20531696e-14	7
382707.240	23537.562	-24556.451	1.12857718e-13	2.36737878e-14	-2.36737878e-14	7
461851.770	30852.750	-16993.359	8.73379024e-14	1.74141997e-14	-1.74141997e-14	7
586141.689	16663.395	-13287.909	7.32957064e-14	1.950964818e-14	-1.950964818e-14	7
682949.153	57916.064	-46410.321	3.87993172e-14	1.213501504e-14	-1.213501504e-14	7
799684.890	34120.007	-52628.373	3.68107992e-14	9.16734814e-15	-9.16734814e-15	7
927697.427	73027.057	-66211.650	2.69106864e-14	7.75724724e-15	-7.75724724e-15	7
1220192.652	225972.637	-168685.600	7.4459215e-15	3.06722464e-15	-3.06722464e-15	7
1597598.358	199986.456	-147288.325	9.18502088e-15	3.43581838e-15	-3.43581838e-15	7
2124905.464	361314.760	-298791.832	1.118628616e-14	3.7885769e-15	-3.7885769e-15	7
2960302.579	41181.500	-12322.548	3.45565e-14	0	0	8
