time	mag	mag_limit	dmag	instrument	band	mag_unit	mag_type	time_unit	extinction_correted	dtime	time_frame
16.0914	18.75	0	0.09	UVOT	B	AB	apparent	days	False	NaN	observer
16.8517	18.93	0	0.1	UVOT	B	AB	apparent	days	False	NaN	observer
18.0573	18.99	0	0.14	UVOT	B	AB	apparent	days	False	NaN	observer
19.0522	19.22	0	0.13	UVOT	B	AB	apparent	days	False	NaN	observer
20.2141	19.37	0	0.17	UVOT	B	AB	apparent	days	False	NaN	observer
21.3996	19.34	0	0.14	UVOT	B	AB	apparent	days	False	NaN	observer
22.4307	19.53	0	0.17	UVOT	B	AB	apparent	days	False	NaN	observer
23.1332	19.42	0	0.14	UVOT	B	AB	apparent	days	False	NaN	observer
24.4614	19.56	0	0.16	UVOT	B	AB	apparent	days	False	NaN	observer
25.1653	19.55	0	0.15	UVOT	B	AB	apparent	days	False	NaN	observer
26.13	19.57	0	0.22	UVOT	B	AB	apparent	days	False	NaN	observer
0.0041	18.8	0	0.19	UVOT	U	AB	apparent	days	False	NaN	observer
0.1254	18.72	0	0.06	UVOT	U	AB	apparent	days	False	NaN	observer
0.5413	18.81	0	0.08	UVOT	U	AB	apparent	days	False	NaN	observer
1.1781	19.73	0	0.12	UVOT	U	AB	apparent	days	False	NaN	observer
2.9019	20.54	0	0.21	UVOT	U	AB	apparent	days	False	NaN	observer
3.9692	20.5	0	0.22	UVOT	U	AB	apparent	days	False	NaN	observer
7.3531	20.63	0	0.22	UVOT	U	AB	apparent	days	False	NaN	observer
8.0982	20.58	0	0.3	UVOT	U	AB	apparent	days	False	NaN	observer
10.2099	20.9	0	0.35	UVOT	U	AB	apparent	days	False	NaN	observer
11.2126	20.89	0	0.24	UVOT	U	AB	apparent	days	False	NaN	observer
12.1072	20.74	0	0.27	UVOT	U	AB	apparent	days	False	NaN	observer
12.9963	21.0	0	0.32	UVOT	U	AB	apparent	days	False	NaN	observer
14.0636	21.23	0	0.36	UVOT	U	AB	apparent	days	False	NaN	observer
15.233	20.86	0	0.31	UVOT	U	AB	apparent	days	False	NaN	observer
16.8509	20.97	0	0.28	UVOT	U	AB	apparent	days	False	NaN	observer
22.4297	21.03	0	0.31	UVOT	U	AB	apparent	days	False	NaN	observer
23.1324	21.28	0	0.35	UVOT	U	AB	apparent	days	False	NaN	observer
25.1647	21.35	0	0.36	UVOT	U	AB	apparent	days	False	NaN	observer
0.1211	18.78	0	0.06	UVOT	UVW1	AB	apparent	days	False	NaN	observer
0.5405	19.7	0	0.11	UVOT	UVW1	AB	apparent	days	False	NaN	observer
1.1777	20.57	0	0.15	UVOT	UVW1	AB	apparent	days	False	NaN	observer
2.438	21.5	0	0.22	UVOT	UVW1	AB	apparent	days	False	NaN	observer
2.9005	21.44	0	0.2	UVOT	UVW1	AB	apparent	days	False	NaN	observer
11.2117	21.61	0	0.19	UVOT	UVW1	AB	apparent	days	False	NaN	observer
12.1058	21.73	0	0.26	UVOT	UVW1	AB	apparent	days	False	NaN	observer
15.2322	21.76	0	0.29	UVOT	UVW1	AB	apparent	days	False	NaN	observer
16.8494	21.83	0	0.25	UVOT	UVW1	AB	apparent	days	False	NaN	observer
20.212	21.5	0	0.26	UVOT	UVW1	AB	apparent	days	False	NaN	observer
22.4276	21.49	0	0.25	UVOT	UVW1	AB	apparent	days	False	NaN	observer
23.1309	21.83	0	0.29	UVOT	UVW1	AB	apparent	days	False	NaN	observer
26.1281	21.3	0	0.26	UVOT	UVW1	AB	apparent	days	False	NaN	observer
0.0872	18.65	0	0.06	UVOT	UVM2	AB	apparent	days	False	NaN	observer
0.5682	20.3	0	0.16	UVOT	UVM2	AB	apparent	days	False	NaN	observer
1.2201	20.97	0	0.15	UVOT	UVM2	AB	apparent	days	False	NaN	observer
2.4475	21.86	0	0.19	UVOT	UVM2	AB	apparent	days	False	NaN	observer
2.9095	21.84	0	0.18	UVOT	UVM2	AB	apparent	days	False	NaN	observer
3.9728	21.8	0	0.18	UVOT	UVM2	AB	apparent	days	False	NaN	observer
12.1156	22.35	0	0.28	UVOT	UVM2	AB	apparent	days	False	NaN	observer
14.0717	22.17	0	0.23	UVOT	UVM2	AB	apparent	days	False	NaN	observer
16.0996	22.07	0	0.21	UVOT	UVM2	AB	apparent	days	False	NaN	observer
16.8597	22.15	0	0.24	UVOT	UVM2	AB	apparent	days	False	NaN	observer
19.0912	22.38	0	0.26	UVOT	UVM2	AB	apparent	days	False	NaN	observer
21.4071	22.16	0	0.25	UVOT	UVM2	AB	apparent	days	False	NaN	observer
22.4409	22.05	0	0.26	UVOT	UVM2	AB	apparent	days	False	NaN	observer
23.1414	22.08	0	0.23	UVOT	UVM2	AB	apparent	days	False	NaN	observer
25.1715	22.29	0	0.27	UVOT	UVM2	AB	apparent	days	False	NaN	observer
0.1894	19.05	0	0.07	UVOT	UVW2	AB	apparent	days	False	NaN	observer
1.019	21.19	0	0.12	UVOT	UVW2	AB	apparent	days	False	NaN	observer
1.2189	21.25	0	0.18	UVOT	UVW2	AB	apparent	days	False	NaN	observer
2.4424	21.7	0	0.17	UVOT	UVW2	AB	apparent	days	False	NaN	observer
2.9046	21.82	0	0.19	UVOT	UVW2	AB	apparent	days	False	NaN	observer
3.9702	21.72	0	0.18	UVOT	UVW2	AB	apparent	days	False	NaN	observer
7.357	22.35	0	0.27	UVOT	UVW2	AB	apparent	days	False	NaN	observer
11.2145	22.49	0	0.27	UVOT	UVW2	AB	apparent	days	False	NaN	observer
14.0664	22.44	0	0.28	UVOT	UVW2	AB	apparent	days	False	NaN	observer
16.0938	22.2	0	0.24	UVOT	UVW2	AB	apparent	days	False	NaN	observer
18.0603	22.32	0	0.32	UVOT	UVW2	AB	apparent	days	False	NaN	observer
21.4015	22.43	0	0.32	UVOT	UVW2	AB	apparent	days	False	NaN	observer
23.1356	22.32	0	0.28	UVOT	UVW2	AB	apparent	days	False	NaN	observer
24.4629	21.96	0	0.22	UVOT	UVW2	AB	apparent	days	False	NaN	observer
0.0145	18.998	0	0.086	GROND	g'	AB	apparent	days	False	NaN	observer
1.0404	18.693	0	0.043	GROND	g'	AB	apparent	days	False	NaN	observer
2.0066	19.087	0	0.045	GROND	g'	AB	apparent	days	False	NaN	observer
3.0189	19.087	0	0.043	GROND	g'	AB	apparent	days	False	NaN	observer
4.0154	18.921	0	0.042	GROND	g'	AB	apparent	days	False	NaN	observer
5.018	18.747	0	0.042	GROND	g'	AB	apparent	days	False	NaN	observer
6.0244	18.588	0	0.042	GROND	g'	AB	apparent	days	False	NaN	observer
7.0078	18.378	0	0.043	GROND	g'	AB	apparent	days	False	NaN	observer
8.0095	18.331	0	0.042	GROND	g'	AB	apparent	days	False	NaN	observer
8.9806	18.24	0	0.041	GROND	g'	AB	apparent	days	False	NaN	observer
10.9902	18.154	0	0.041	GROND	g'	AB	apparent	days	False	NaN	observer
12.0265	18.168	0	0.041	GROND	g'	AB	apparent	days	False	NaN	observer
14.0005	NaN	0	NaN	GROND	g'	AB	apparent	days	False	NaN	observer
15.0141	18.344	0	0.041	GROND	g'	AB	apparent	days	False	NaN	observer
16.0146	18.437	0	0.041	GROND	g'	AB	apparent	days	False	NaN	observer
16.9808	18.512	0	0.041	GROND	g'	AB	apparent	days	False	NaN	observer
17.9892	18.639	0	0.043	GROND	g'	AB	apparent	days	False	NaN	observer
19.0471	18.742	0	0.041	GROND	g'	AB	apparent	days	False	NaN	observer
20.01	18.825	0	0.041	GROND	g'	AB	apparent	days	False	NaN	observer
21.02	18.924	0	0.041	GROND	g'	AB	apparent	days	False	NaN	observer
23.0096	19.044	0	0.041	GROND	g'	AB	apparent	days	False	NaN	observer
25.0149	19.167	0	0.042	GROND	g'	AB	apparent	days	False	NaN	observer
27.0138	19.177	0	0.044	GROND	g'	AB	apparent	days	False	NaN	observer
0.0145	18.835	0	0.048	GROND	r'	AB	apparent	days	False	NaN	observer
1.0404	18.559	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
2.0066	18.9	0	0.042	GROND	r'	AB	apparent	days	False	NaN	observer
3.0189	18.939	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
4.0154	18.743	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
5.018	18.559	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
6.0244	18.36	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
7.0078	18.12	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
8.0095	18.039	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
8.9806	17.93	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
10.9902	17.749	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
12.0265	17.677	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
14.0005	17.596	0	0.045	GROND	r'	AB	apparent	days	False	NaN	observer
15.0141	17.616	0	0.04	GROND	r'	AB	apparent	days	False	NaN	observer
16.0146	17.636	0	0.04	GROND	r'	AB	apparent	days	False	NaN	observer
16.9808	17.633	0	0.04	GROND	r'	AB	apparent	days	False	NaN	observer
17.9892	17.695	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
19.0471	17.725	0	0.04	GROND	r'	AB	apparent	days	False	NaN	observer
20.01	17.768	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
21.02	17.815	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
23.0096	17.935	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
25.0149	18.042	0	0.041	GROND	r'	AB	apparent	days	False	NaN	observer
27.0138	18.13	0	0.042	GROND	r'	AB	apparent	days	False	NaN	observer
0.0145	18.706	0	0.052	GROND	i'	AB	apparent	days	False	NaN	observer
1.0404	18.371	0	0.043	GROND	i'	AB	apparent	days	False	NaN	observer
2.0066	18.816	0	0.044	GROND	i'	AB	apparent	days	False	NaN	observer
3.0189	18.993	0	0.043	GROND	i'	AB	apparent	days	False	NaN	observer
4.0154	18.965	0	0.043	GROND	i'	AB	apparent	days	False	NaN	observer
5.018	18.956	0	0.043	GROND	i'	AB	apparent	days	False	NaN	observer
6.0244	18.89	0	0.043	GROND	i'	AB	apparent	days	False	NaN	observer
7.0078	NaN	0	NaN	GROND	i'	AB	apparent	days	False	NaN	observer
8.0095	18.685	0	0.042	GROND	i'	AB	apparent	days	False	NaN	observer
8.9806	18.611	0	0.042	GROND	i'	AB	apparent	days	False	NaN	observer
10.9902	18.441	0	0.043	GROND	i'	AB	apparent	days	False	NaN	observer
12.0265	18.375	0	0.041	GROND	i'	AB	apparent	days	False	NaN	observer
14.0005	18.28	0	0.045	GROND	i'	AB	apparent	days	False	NaN	observer
15.0141	18.239	0	0.041	GROND	i'	AB	apparent	days	False	NaN	observer
16.0146	18.209	0	0.041	GROND	i'	AB	apparent	days	False	NaN	observer
16.9808	18.162	0	0.041	GROND	i'	AB	apparent	days	False	NaN	observer
17.9892	18.184	0	0.043	GROND	i'	AB	apparent	days	False	NaN	observer
19.0471	18.154	0	0.041	GROND	i'	AB	apparent	days	False	NaN	observer
20.01	18.16	0	0.041	GROND	i'	AB	apparent	days	False	NaN	observer
21.02	18.166	0	0.041	GROND	i'	AB	apparent	days	False	NaN	observer
23.0096	18.193	0	0.041	GROND	i'	AB	apparent	days	False	NaN	observer
25.0149	18.237	0	0.041	GROND	i'	AB	apparent	days	False	NaN	observer
27.0138	18.325	0	0.042	GROND	i'	AB	apparent	days	False	NaN	observer
0.0145	18.511	0	0.056	GROND	z'	AB	apparent	days	False	NaN	observer
1.0404	18.246	0	0.042	GROND	z'	AB	apparent	days	False	NaN	observer
2.0066	18.48	0	0.044	GROND	z'	AB	apparent	days	False	NaN	observer
3.0189	18.539	0	0.043	GROND	z'	AB	apparent	days	False	NaN	observer
4.0154	18.461	0	0.043	GROND	z'	AB	apparent	days	False	NaN	observer
5.018	18.319	0	0.043	GROND	z'	AB	apparent	days	False	NaN	observer
6.0244	18.253	0	0.042	GROND	z'	AB	apparent	days	False	NaN	observer
7.0078	18.048	0	0.042	GROND	z'	AB	apparent	days	False	NaN	observer
8.0095	18.04	0	0.043	GROND	z'	AB	apparent	days	False	NaN	observer
8.9806	17.956	0	0.041	GROND	z'	AB	apparent	days	False	NaN	observer
10.9902	17.868	0	0.043	GROND	z'	AB	apparent	days	False	NaN	observer
12.0265	17.792	0	0.041	GROND	z'	AB	apparent	days	False	NaN	observer
14.0005	17.695	0	0.04	GROND	z'	AB	apparent	days	False	NaN	observer
15.0141	17.721	0	0.041	GROND	z'	AB	apparent	days	False	NaN	observer
16.0146	17.719	0	0.041	GROND	z'	AB	apparent	days	False	NaN	observer
16.9808	17.707	0	0.041	GROND	z'	AB	apparent	days	False	NaN	observer
17.9892	17.758	0	0.042	GROND	z'	AB	apparent	days	False	NaN	observer
19.0471	17.734	0	0.041	GROND	z'	AB	apparent	days	False	NaN	observer
20.01	17.773	0	0.041	GROND	z'	AB	apparent	days	False	NaN	observer
21.02	17.801	0	0.041	GROND	z'	AB	apparent	days	False	NaN	observer
23.0096	17.844	0	0.041	GROND	z'	AB	apparent	days	False	NaN	observer
25.0149	17.924	0	0.041	GROND	z'	AB	apparent	days	False	NaN	observer
27.0138	17.981	0	0.042	GROND	z'	AB	apparent	days	False	NaN	observer
0.0145	18.261	0	0.106	GROND	J	AB	apparent	days	False	NaN	observer
1.0404	18.061	0	0.057	GROND	J	AB	apparent	days	False	NaN	observer
2.0066	18.34	0	0.062	GROND	J	AB	apparent	days	False	NaN	observer
3.0189	18.555	0	0.064	GROND	J	AB	apparent	days	False	NaN	observer
4.0154	18.456	0	0.063	GROND	J	AB	apparent	days	False	NaN	observer
5.018	NaN	0	NaN	GROND	J	AB	apparent	days	False	NaN	observer
6.0244	18.323	0	0.06	GROND	J	AB	apparent	days	False	NaN	observer
7.0078	18.251	0	0.067	GROND	J	AB	apparent	days	False	NaN	observer
8.0095	18.184	0	0.08	GROND	J	AB	apparent	days	False	NaN	observer
8.9806	18.117	0	0.069	GROND	J	AB	apparent	days	False	NaN	observer
10.9902	18.007	0	0.073	GROND	J	AB	apparent	days	False	NaN	observer
12.0265	17.836	0	0.056	GROND	J	AB	apparent	days	False	NaN	observer
14.0005	NaN	0	NaN	GROND	J	AB	apparent	days	False	NaN	observer
15.0141	17.796	0	0.055	GROND	J	AB	apparent	days	False	NaN	observer
16.0146	17.792	0	0.058	GROND	J	AB	apparent	days	False	NaN	observer
16.9808	17.804	0	0.055	GROND	J	AB	apparent	days	False	NaN	observer
17.9892	17.799	0	0.067	GROND	J	AB	apparent	days	False	NaN	observer
19.0471	17.76	0	0.055	GROND	J	AB	apparent	days	False	NaN	observer
20.01	17.687	0	0.054	GROND	J	AB	apparent	days	False	NaN	observer
21.02	17.767	0	0.053	GROND	J	AB	apparent	days	False	NaN	observer
23.0096	17.779	0	0.055	GROND	J	AB	apparent	days	False	NaN	observer
25.0149	17.873	0	0.06	GROND	J	AB	apparent	days	False	NaN	observer
27.0138	17.859	0	0.058	GROND	J	AB	apparent	days	False	NaN	observer
0.0145	18.182	0	0.171	GROND	H	AB	apparent	days	False	NaN	observer
1.0404	17.801	0	0.068	GROND	H	AB	apparent	days	False	NaN	observer
2.0066	18.269	0	0.079	GROND	H	AB	apparent	days	False	NaN	observer
3.0189	18.412	0	0.079	GROND	H	AB	apparent	days	False	NaN	observer
4.0154	18.442	0	0.086	GROND	H	AB	apparent	days	False	NaN	observer
5.018	18.59	0	0.083	GROND	H	AB	apparent	days	False	NaN	observer
6.0244	18.503	0	0.08	GROND	H	AB	apparent	days	False	NaN	observer
7.0078	18.491	0	0.096	GROND	H	AB	apparent	days	False	NaN	observer
8.0095	18.541	0	0.102	GROND	H	AB	apparent	days	False	NaN	observer
8.9806	18.313	0	0.091	GROND	H	AB	apparent	days	False	NaN	observer
10.9902	18.408	0	0.095	GROND	H	AB	apparent	days	False	NaN	observer
12.0265	18.254	0	0.074	GROND	H	AB	apparent	days	False	NaN	observer
14.0005	NaN	0	NaN	GROND	H	AB	apparent	days	False	NaN	observer
15.0141	18.189	0	0.07	GROND	H	AB	apparent	days	False	NaN	observer
16.0146	18.187	0	0.08	GROND	H	AB	apparent	days	False	NaN	observer
16.9808	18.223	0	0.07	GROND	H	AB	apparent	days	False	NaN	observer
17.9892	18.232	0	0.1	GROND	H	AB	apparent	days	False	NaN	observer
19.0471	18.096	0	0.069	GROND	H	AB	apparent	days	False	NaN	observer
20.01	18.063	0	0.07	GROND	H	AB	apparent	days	False	NaN	observer
21.02	18.097	0	0.07	GROND	H	AB	apparent	days	False	NaN	observer
23.0096	18.155	0	0.07	GROND	H	AB	apparent	days	False	NaN	observer
25.0149	18.246	0	0.08	GROND	H	AB	apparent	days	False	NaN	observer
27.0138	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
0.0145	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
1.0404	17.69	0	0.1	GROND	K	AB	apparent	days	False	NaN	observer
2.0066	18.12	0	0.1	GROND	K	AB	apparent	days	False	NaN	observer
3.0189	18.48	0	0.14	GROND	K	AB	apparent	days	False	NaN	observer
4.0154	18.46	0	0.37	GROND	K	AB	apparent	days	False	NaN	observer
5.018	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
6.0244	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
7.0078	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
8.0095	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
8.9806	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
10.9902	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
12.0265	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
14.0005	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
15.0141	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
16.0146	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
16.9808	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
17.9892	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
19.0471	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
20.01	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
21.02	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
23.0096	19.22	0	0.25	GROND	K	AB	apparent	days	False	NaN	observer
25.0149	NaN	0	NaN	GROND	K	AB	apparent	days	False	NaN	observer
27.0138	18.86	0	0.2	GROND	K	AB	apparent	days	False	NaN	observer
9.93	17.79	0	0.03	NOT	V	AB	apparent	days	False	NaN	observer
10.93	17.89	0	0.08	NOT	V	AB	apparent	days	False	NaN	observer
12.9	17.69	0	0.07	NOT	V	AB	apparent	days	False	NaN	observer
13.95	17.81	0	0.06	NOT	V	AB	apparent	days	False	NaN	observer
17.84	17.96	0	0.06	NOT	V	AB	apparent	days	False	NaN	observer
19.89	17.97	0	0.02	NOT	V	AB	apparent	days	False	NaN	observer
20.86	18.13	0	0.03	NOT	V	AB	apparent	days	False	NaN	observer
24.85	18.6	0	0.04	NOT	V	AB	apparent	days	False	NaN	observer
29.93	18.94	0	0.13	NOT	V	AB	apparent	days	False	NaN	observer
9.93	17.88	0	0.05	NOT	R_{c}	AB	apparent	days	False	NaN	observer
10.93	17.63	0	0.07	NOT	R_{c}	AB	apparent	days	False	NaN	observer
12.9	17.75	0	0.06	NOT	R_{c}	AB	apparent	days	False	NaN	observer
13.95	17.63	0	0.04	NOT	R_{c}	AB	apparent	days	False	NaN	observer
17.84	17.58	0	0.04	NOT	R_{c}	AB	apparent	days	False	NaN	observer
19.89	17.54	0	0.02	NOT	R_{c}	AB	apparent	days	False	NaN	observer
20.86	17.59	0	0.02	NOT	R_{c}	AB	apparent	days	False	NaN	observer
24.85	17.91	0	0.03	NOT	R_{c}	AB	apparent	days	False	NaN	observer
29.93	18.27	0	0.08	NOT	R_{c}	AB	apparent	days	False	NaN	observer
3.214	20.008	0	0.231	PST2	B	AB	apparent	days	False	NaN	observer
4.177	19.783	0	0.136	PST2	B	AB	apparent	days	False	NaN	observer
7.21	19.324	0	0.09	PST2	B	AB	apparent	days	False	NaN	observer
8.196	19.16	0	0.082	PST2	B	AB	apparent	days	False	NaN	observer
11.188	18.825	0	0.06	PST2	B	AB	apparent	days	False	NaN	observer
15.198	19.051	0	0.064	PST2	B	AB	apparent	days	False	NaN	observer
16.188	19.232	0	0.082	PST2	B	AB	apparent	days	False	NaN	observer
17.22	19.412	0	0.112	PST2	B	AB	apparent	days	False	NaN	observer
18.187	19.805	0	0.2	PST2	B	AB	apparent	days	False	NaN	observer
19.202	19.592	0	0.121	PST2	B	AB	apparent	days	False	NaN	observer
20.198	19.791	0	0.142	PST2	B	AB	apparent	days	False	NaN	observer
21.219	19.791	0	0.15	PST2	B	AB	apparent	days	False	NaN	observer
23.206	19.872	0	0.135	PST2	B	AB	apparent	days	False	NaN	observer
25.204	19.633	0	0.078	PST2	B	AB	apparent	days	False	NaN	observer
26.187	19.839	0	0.12	PST2	B	AB	apparent	days	False	NaN	observer
31.193	20.439	0	0.281	PST2	B	AB	apparent	days	False	NaN	observer
3.214	19.132	0	0.231	PST2	V	AB	apparent	days	False	NaN	observer
4.177	19.237	0	0.136	PST2	V	AB	apparent	days	False	NaN	observer
7.21	18.275	0	0.09	PST2	V	AB	apparent	days	False	NaN	observer
8.196	18.227	0	0.082	PST2	V	AB	apparent	days	False	NaN	observer
11.188	17.833	0	0.06	PST2	V	AB	apparent	days	False	NaN	observer
15.198	17.961	0	0.064	PST2	V	AB	apparent	days	False	NaN	observer
16.188	18.113	0	0.082	PST2	V	AB	apparent	days	False	NaN	observer
17.22	18.224	0	0.112	PST2	V	AB	apparent	days	False	NaN	observer
18.187	18.462	0	0.2	PST2	V	AB	apparent	days	False	NaN	observer
19.202	18.366	0	0.121	PST2	V	AB	apparent	days	False	NaN	observer
20.198	18.558	0	0.142	PST2	V	AB	apparent	days	False	NaN	observer
21.219	18.537	0	0.15	PST2	V	AB	apparent	days	False	NaN	observer
23.206	18.729	0	0.135	PST2	V	AB	apparent	days	False	NaN	observer
25.204	18.866	0	0.078	PST2	V	AB	apparent	days	False	NaN	observer
26.187	18.862	0	0.12	PST2	V	AB	apparent	days	False	NaN	observer
31.193	19.238	0	0.281	PST2	V	AB	apparent	days	False	NaN	observer
3.214	18.851	0	0.142	PST2	R_{c}	AB	apparent	days	False	NaN	observer
4.177	18.807	0	0.123	PST2	R_{c}	AB	apparent	days	False	NaN	observer
7.21	18.226	0	0.062	PST2	R_{c}	AB	apparent	days	False	NaN	observer
8.196	18.398	0	0.103	PST2	R_{c}	AB	apparent	days	False	NaN	observer
11.188	17.966	0	0.071	PST2	R_{c}	AB	apparent	days	False	NaN	observer
15.198	17.692	0	0.042	PST2	R_{c}	AB	apparent	days	False	NaN	observer
16.188	17.771	0	0.056	PST2	R_{c}	AB	apparent	days	False	NaN	observer
17.22	17.905	0	0.07	PST2	R_{c}	AB	apparent	days	False	NaN	observer
18.187	17.789	0	0.056	PST2	R_{c}	AB	apparent	days	False	NaN	observer
19.202	17.832	0	0.052	PST2	R_{c}	AB	apparent	days	False	NaN	observer
20.198	17.978	0	0.064	PST2	R_{c}	AB	apparent	days	False	NaN	observer
21.219	17.988	0	0.071	PST2	R_{c}	AB	apparent	days	False	NaN	observer
23.206	18.011	0	0.061	PST2	R_{c}	AB	apparent	days	False	NaN	observer
25.204	18.188	0	0.074	PST2	R_{c}	AB	apparent	days	False	NaN	observer
26.187	18.29	0	0.083	PST2	R_{c}	AB	apparent	days	False	NaN	observer
31.193	18.559	0	0.106	PST2	R_{c}	AB	apparent	days	False	NaN	observer
3.214	18.446	0	0.129	PST2	I_{c}	AB	apparent	days	False	NaN	observer
4.177	18.634	0	0.163	PST2	I_{c}	AB	apparent	days	False	NaN	observer
7.21	18.395	0	0.129	PST2	I_{c}	AB	apparent	days	False	NaN	observer
8.196	18.138	0	0.074	PST2	I_{c}	AB	apparent	days	False	NaN	observer
11.188	18.066	0	0.09	PST2	I_{c}	AB	apparent	days	False	NaN	observer
15.198	17.838	0	0.067	PST2	I_{c}	AB	apparent	days	False	NaN	observer
