date	band	freq	time	flux_density	flux_density_limit	dflux_density	date_unit	freq_unit	time_unit	flux_density_unit	dtime	time_frame	instrument	reference	polarisation	position_angle
2019-Dec-10.02	5	1265.0	734.71000	1.71	0	0.04	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2019-Dec-10.19	3	402.0	734.88000	1.3	0	0.17	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2020-Jun-26.37	4	648.0	934.06000	1.29	0	0.11	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2020-Jun-26.49	5	1255.0	934.18000	1.23	0	0.04	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
2020-Jun-29.44	3	402.0	937.13000	1.12	0	0.16	yyyy-month-deciday	MHz	days	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021ApJ...907...60M/abstract	NaN	NaN
NaN	NaN	5.0	4.30600	2.41	0	0.12	NaN	GHz	days	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	7.1	4.30600	4.32	0	0.05	NaN	GHz	days	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	8.5	4.30600	5.71	0	0.05	NaN	GHz	days	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	11.0	4.30600	8.42	0	0.06	NaN	GHz	days	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	13.5	4.30600	11.26	0	0.09	NaN	GHz	days	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	16.0	4.30600	14.01	0	0.11	NaN	GHz	days	milliJy	NaN	observer	VLA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	230.0	1.49600	53.6	0	0.9	NaN	GHz	days	milliJy	NaN	observer	SMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	230.0	2.41200	48.4	0	0.6	NaN	GHz	days	milliJy	NaN	observer	SMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	230.0	3.47800	41.2	0	0.8	NaN	GHz	days	milliJy	NaN	observer	SMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	230.0	4.27200	30.0	0	0.7	NaN	GHz	days	milliJy	NaN	observer	SMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
NaN	NaN	230.0	8.39800	11.1	0	1.0	NaN	GHz	days	milliJy	NaN	observer	SMA	https://ui.adsabs.harvard.edu/abs/2019ApJ...884L..58U/abstract	NaN	NaN
