date	time	integration	band	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	dtime	instrument	reference
NaN	0.96	835	U	21.44	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.00663	900	B	21.96	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.02712	810	V	20.83	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.08376	900	UVW1	22.15	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.09391	841	U	21.47	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.14168	900	B	22.01	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.15928	311	V	20.45	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.21916	900	UVW1	21.96	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.27795	900	B	21.95	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.29674	514	V	20.47	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.3588	900	UVW1	22.04	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.36539	223	U	20.8	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.41832	900	U	21.73	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
NaN	1.42863	868	B	21.8	1	NaN	NaN	days	unspecified	NaN	UVOT	https://ui.adsabs.harvard.edu/abs/2007AJ....133..122H/abstract
