date	time	instrument	band	mag	mag_limit	dmag	seeing	integration	date_unit	time_unit	mag_unit	dtime	reference	time_frame	mag_type
NaN	0.0921	KAIT	R	20.187	0	0.322	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.09853	KAIT	R	20.204	0	0.195	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.10042	KAIT	R	20.087	0	0.246	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
NaN	0.10367	KAIT	R	20.178	0	0.168	NaN	NaN	NaN	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...9L/abstract	NaN	NaN
2002-Dec-11.4854	0.0144	P48	R	18.293	0	0.024	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.4962	0.0252	P48	R	18.813	0	0.045	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.4997	0.0287	P48	R	19.093	0	0.059	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.5064	0.0354	P48	R	19.343	0	0.071	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.5120	0.041	P48	R	19.286	0	0.068	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.5139	0.0429	P48	R	19.479	0	0.077	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.5218	0.0508	P48	R	19.529	0	0.082	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.5251	0.0541	P48	R	19.598	0	0.086	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.5270	0.056	P48	R	19.755	0	0.102	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.5332	0.0622	P48	R	19.95	0	0.11	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.5399	0.0689	P48	R	20.091	0	0.13	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.5533	0.0823	P200/IRcam	K_{s}	18.01	0	0.15	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.6025	0.131	SSO-40/WFI	B	21.877	0	0.138	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.7083	0.237	SSO-40/WFI	R	21.096	0	0.128	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-12.518	1.037	P200/JCAM	g'	23.398	0	0.047	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-12.518	1.037	P200/JCAM	r'	23.416	0	0.073	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-18.49	7.019	Keck I/NIRC	K_{s}	22.12	0	0.18	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-18.52	7.049	Keck I/NIRC	J	22.77	0	0.11	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-18.56	7.089	Keck I/NIRC	H	22.48	0	0.16	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2003ApJ...586L...5F/abstract	NaN	NaN
2002-Dec-11.4732	0.00197	0.60 m Super-LOTIS	R	15.24	0	0.07	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-11.4751	0.00391	0.60 m Super-LOTIS	R	16.26	0	0.12	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-11.4986	0.02736	0.81 m Tenagra II	I_{c}	18.6	0	0.11	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-11.5114	0.04021	0.81 m Tenagra II	R_{c}	19.52	0	0.13	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-11.5239	0.05271	0.81 m Tenagra II	V	20.06	0	0.41	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-11.5366	0.06535	0.81 m Tenagra II	B	19.8	1	NaN	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-11.5479	0.07667	0.81 m Tenagra II	I_{c}	19.99	0	0.24	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-11.5525	0.08125	0.81 m Tenagra II	R_{c}	20.74	0	0.42	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-11.5566	0.08542	0.65 m Gunma	R_{c}	20.7	0	0.16	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-11.9583	0.4875	1.34 m Tautenburg	R_{c}	22.0	1	NaN	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-11.9744	0.50417	1.34 m Tautenburg	I_{c}	20.7	1	NaN	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-12.3883	0.91667	3.5 m ARC	i*	23.02	0	0.12	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-13.4680	1.99583	1.0 m USNO	V	23.0	0	0.5	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Dec-28.4283	17.0	3.5 m ARC	i*	24.41	0	0.22	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
2002-Mar-23.1335	102.0	3.5 m ARC	i*	24.51	0	0.29	NaN	NaN	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2006ApJ...651..994N/abstract	NaN	NaN
