time	band	integration	mag	mag_limit	dmag	instrument	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	dtime	reference
0.01461	R	60 s x 3	19.13	0	0.2	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.02014	R	300 s x 2	19.11	0	0.1	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.02750	R	300 s x 2	19.67	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.03669	R	300 s x 3	19.51	0	0.15	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.04772	R	300 s x 3	20.03	0	0.2	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.06069	R	300 s x 4	20.03	0	0.2	TNT-0.8m	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00215	R_{c}	60 s x 1	17.11	0	0.11	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00325	R_{c}	60 s x 2	17.46	0	0.11	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00621	R_{c}	60 s x 5	18.03	0	0.15	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.01055	R_{c}	60 s x 5	18.49	0	0.23	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.02239	R_{c}	60 s x 19	19.21	0	0.25	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.07375	R_{c}	300 s x 6	20.3	0	0.3	LOT	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.80579	R_{c}	300 s x 12	22.7	0	0.2	LOT	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
381.94444	r'	300 s x 4	24.27	0	0.19	CFHT	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00216	I_{c}	60 s x 1	16.57	0	0.12	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00334	I_{c}	60 s x 1	16.81	0	0.15	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00383	I_{c}	60 s x 1	16.73	0	0.14	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00595	I_{c}	60 s x 2	17.22	0	0.14	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.00944	I_{c}	60 s x 6	17.87	0	0.17	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
0.01976	I_{c}	60 s x 6	19.03	0	0.32	MITSuMe	days	observer	unspecified	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...748...44H/abstract
2189.00000	B	NaN	25.99	0	0.12	Keck/LRIS	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
1763.00000	g'	NaN	26.06	0	0.06	Gemini North/GMOS	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
290.00000	r'	NaN	25.47	0	0.11	Gemini North/GMOS	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
2189.00000	R_{c}	NaN	25.43	0	0.18	Keck/LRIS	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
1826.00000	3.6 μm	NaN	23.59	0	0.11	Spitzer/IRAC	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.32200	g'	NaN	22.54	0	0.14	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.32200	r'	NaN	22.2	0	0.08	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.32200	i'	NaN	21.95	0	0.16	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.32200	z'	NaN	21.84	0	0.24	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.33000	g'	NaN	22.63	0	0.06	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.33000	r'	NaN	22.21	0	0.06	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.33000	i'	NaN	21.97	0	0.11	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.33000	z'	NaN	21.88	0	0.16	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.34700	g'	NaN	22.57	0	0.03	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.34700	r'	NaN	22.31	0	0.03	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.34700	i'	NaN	22.13	0	0.06	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
0.34700	z'	NaN	21.89	0	0.07	GROND	days	observer	AB	apparent	False	NaN	https://ui.adsabs.harvard.edu/abs/2019A%26A...622A.138K/abstract
