time	obs_wavelength	flux	instrument	integration	integration_unit	time_unit	wavelength_unit	flux_unit	redshift	dtime	time_frame	rest_wavelength	reference
0.293	5260.219995	5.87134e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4877.348164116829	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5262.809995	5.32081e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4879.749647658785	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5265.399995	5.804587e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4882.1511312007415	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5267.989995	5.792237e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4884.552614742698	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5270.579995	6.293782e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4886.954098284655	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5273.169995	5.776292e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4889.355581826611	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5275.759995	6.284183e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4891.757065368568	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5278.349994	6.641177e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4894.15854798331	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5280.939994	6.552685e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4896.560031525267	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5283.529994	6.129915e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4898.961515067223	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5286.119994	6.895989e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4901.362998609179	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5288.709994	6.748424e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4903.764482151136	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5291.299994	6.93059e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4906.165965693092	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5293.889994	6.526362e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4908.567449235049	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5296.479994	6.041203e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4910.968932777006	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5299.069994	6.134135e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4913.370416318962	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5301.659994	6.847421e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4915.771899860918	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5304.249994	6.074171e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4918.173383402874	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5306.839993	6.42003e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4920.574866017617	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5309.429993	6.014122e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4922.9763495595735	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5312.019993	6.84613e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4925.37783310153	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5314.609993	6.501667e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4927.779316643487	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
