date	time	integration	band	mag	mag_limit	dmag	date_unit	time_unit	time_frame	integration_unit	mag_unit	mag_type	extinction_corrected	instrument	dtime	reference	flux_density	dflux_density	flux_density_unit
NaN	1.9897789351851851	NaN	b	19.54	0	0.12	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	301.6000000000058	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.062	0.007	milliJy
NaN	0.004504629629629631	NaN	u	19.43	0	0.23	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	124.9	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.025	0.005	milliJy
NaN	0.008890046296296297	NaN	u	18.64	0	0.34	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	96.5	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.052	0.016	milliJy
NaN	0.01412847222222222	NaN	u	17.27	0	0.16	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	96.89999999999998	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.183	0.027	milliJy
NaN	0.01812673611111111	NaN	u	17.77	0	0.29	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	96.35000000000002	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.115	0.031	milliJy
NaN	0.06677314814814815	NaN	u	18.25	0	0.11	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	99.90000000000008	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.074	0.007	milliJy
NaN	0.0833917824074074	NaN	u	18.56	0	0.24	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	99.84999999999992	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.056	0.012	milliJy
NaN	0.284806712962963	NaN	u	18.4	1	NaN	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	43.10000000000037	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	>0.065	NaN	milliJy
NaN	1.2020549768518518	NaN	u	19.35	0	0.18	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	5540.1500000000015	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.027	0.004	milliJy
NaN	3.1008796296296297	NaN	u	19.89	0	0.22	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	3425.200000000012	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.016	0.003	milliJy
NaN	0.007030092592592592	NaN	v	17.72	1	NaN	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	9.899999999999975	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	>0.297	NaN	milliJy
NaN	0.009041087962962963	NaN	v	17.22	0	0.27	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	9.850000000000025	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.471	0.117	milliJy
NaN	0.013270254629629628	NaN	v	16.02	0	0.1	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	96.25	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	1.421	0.131	milliJy
NaN	0.01727777777777778	NaN	v	15.81	0	0.1	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	96.60000000000002	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	1.724	0.159	milliJy
NaN	0.05965682870370371	NaN	v	17.01	0	0.08	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	99.84999999999992	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.571	0.042	milliJy
NaN	0.07627951388888889	NaN	v	17.36	0	0.1	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	99.84999999999992	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.414	0.038	milliJy
NaN	0.20904976851851853	NaN	v	18.49	0	0.11	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	453.3999999999997	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.146	0.015	milliJy
NaN	0.5264751157407407	NaN	v	18.59	0	0.11	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	453.5499999999993	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.133	0.013	milliJy
NaN	2.0060850694444445	NaN	v	18.82	0	0.12	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	5730.25	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.108	0.012	milliJy
NaN	0.010222800925925925	NaN	uvw1	18.48	0	0.36	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	235.85	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.040	0.013	milliJy
NaN	0.01685011574074074	NaN	uvw1	18.15	1	NaN	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	182.35	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	>0.054	NaN	milliJy
NaN	0.06440219907407407	NaN	uvw1	19.26	0	0.32	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	99.84999999999992	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.019	0.006	milliJy
NaN	0.08102314814814815	NaN	uvw1	18.99	0	0.32	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	99.90000000000008	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.025	0.007	milliJy
NaN	0.2790271990740741	NaN	uvw1	19.74	0	0.26	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	449.8500000000004	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.012	0.003	milliJy
NaN	1.1131556712962962	NaN	uvw1	20.48	1	NaN	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	8798.349999999999	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	>0.006	NaN	milliJy
NaN	3.067572337962963	NaN	uvw1	20.38	0	0.33	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	5847.950000000012	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.007	0.002	milliJy
NaN	0.05728703703703704	NaN	uvw2	19.19	0	0.28	NaN	days	observer	NaN	unspecified	apparent	False	UVOT	99.90000000000008	https://ui.adsabs.harvard.edu/abs/2020ApJ...898...42C/abstract	0.016	0.004	milliJy
