time	flux_density	flux_density_limit	dflux_density	integration	freq	freq_unit	time_unit	time_frame	flux_density_unit	integration_unit	instrument	dtime	reference
113.05000	210.0	0	20.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
116.04000	170.0	0	20.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
122.02000	190.0	0	20.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
127.01000	180.0	1	NaN	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
142.96000	280.0	0	20.0	4.0	15.5	GHz	days	observer	microJy beam^-1	hours	AMI-LA	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
3.28000	840.0	0	130.0	1.33	1.3	GHz	days	observer	microJy beam^-1	hours	MeerKAT	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
6.11000	1040.0	0	150.0	0.72	1.3	GHz	days	observer	microJy beam^-1	hours	MeerKAT	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
9.10000	1380.0	0	200.0	0.72	1.3	GHz	days	observer	microJy beam^-1	hours	MeerKAT	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
13.10000	1330.0	0	190.0	0.72	1.3	GHz	days	observer	microJy beam^-1	hours	MeerKAT	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
19.13000	1520.0	0	220.0	0.27	1.3	GHz	days	observer	microJy beam^-1	hours	MeerKAT	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
24.34000	740.0	0	110.0	0.47	1.3	GHz	days	observer	microJy beam^-1	hours	MeerKAT	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
31.12000	870.0	0	130.0	0.27	1.3	GHz	days	observer	microJy beam^-1	hours	MeerKAT	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
39.18000	690.0	0	100.0	0.57	1.3	GHz	days	observer	microJy beam^-1	hours	MeerKAT	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
48.26000	560.0	0	80.0	0.38	1.3	GHz	days	observer	microJy beam^-1	hours	MeerKAT	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
61.29000	400.0	0	70.0	0.42	1.3	GHz	days	observer	microJy beam^-1	hours	MeerKAT	NaN	https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3326R/abstract
