time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit	mag_type	extinction_corrected	time_frame	dtime	reference	freq	flux_density	dflux_density	freq_unit	flux_density_unit	date	date_unit
9.27	19.59	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.296	19.69	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.306	19.65	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11.338	19.64	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12.264	19.56	0	0.12	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12.291	19.67	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13.217	19.68	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13.279	19.7	0	0.03	i	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13.345	19.63	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
14.358	19.61	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.307	19.71	0	0.02	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.37	19.65	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18.385	19.63	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20.336	19.63	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20.336	19.63	0	0.02	i	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22.286	19.7	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25.378	19.82	0	0.05	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28.167	19.9	0	0.02	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30.204	19.92	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31.5	20.03	0	0.02	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.166	20.13	0	0.02	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.232	20.09	0	0.03	i	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35.196	20.15	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.189	20.18	0	0.03	i	NOT	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.368	20.21	0	0.03	i	GROND	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38.215	20.15	0	0.02	i	GTC	days	AB	apparent	False	observer	NaN	https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract	NaN	NaN	NaN	NaN	NaN	NaN	NaN
