date	time	band	integration	mag	mag_limit	dmag	date_unit	time_unit	integration_unit	mag_unit	mag_type	instrument	time_frame	extinction_corrected	dtime	reference	flux_density	dflux_density	flux_density_unit
NaN	2.44862	UVW2	74516	23.73	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<1.17	NaN	microJy
NaN	4.07964	UVW2	138747	24.2	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<0.76	NaN	microJy
NaN	7.52954	UVW2	377712	25.39	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<0.25	NaN	microJy
NaN	0.01818	UVM2	319	20.81	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<17.14	NaN	microJy
NaN	0.07515	UVM2	1431	21.97	0	0.31	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	5.89	1.94	microJy
NaN	0.61452	UVM2	899	21.9	0	0.21	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	6.34	1.33	microJy
NaN	0.95369	UVM2	12104	22.0	0	0.15	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	5.74	0.83	microJy
NaN	1.18487	UVM2	18396	22.47	0	0.23	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	3.74	0.87	microJy
NaN	1.48860	UVM2	23468	22.46	0	0.19	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	3.76	0.73	microJy
NaN	1.85629	UVM2	29528	22.97	0	0.22	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	2.35	0.53	microJy
NaN	2.51507	UVM2	40973	23.34	0	0.3	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	1.68	0.53	microJy
NaN	4.08285	UVM2	138701	24.25	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<0.73	NaN	microJy
NaN	0.01846	UVW1	318	21.15	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<12.64	NaN	microJy
NaN	0.07752	UVW1	1431	22.1	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<5.26	NaN	microJy
NaN	0.65205	UVW1	5571	21.81	0	0.17	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	6.88	1.15	microJy
NaN	0.96984	UVW1	16520	21.72	0	0.16	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	7.46	1.19	microJy
NaN	1.37145	UVW1	18904	22.23	0	0.26	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	4.65	1.25	microJy
NaN	1.71425	UVW1	29052	22.46	0	0.25	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	3.76	0.97	microJy
NaN	2.44380	UVW1	74329	22.97	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<2.36	NaN	microJy
NaN	4.07673	UVW1	138760	23.22	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<1.86	NaN	microJy
NaN	0.01789	U	169	20.46	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<23.68	NaN	microJy
NaN	0.07228	U	2579	21.59	0	0.28	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	8.42	2.47	microJy
NaN	1.28374	U	103571	22.33	0	0.26	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	4.24	1.14	microJy
NaN	2.44533	U	74215	21.82	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<6.80	NaN	microJy
NaN	4.07781	U	138647	22.06	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<5.46	NaN	microJy
NaN	0.01817	B	169	19.94	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<38.37	NaN	microJy
NaN	0.06802	B	1430	20.86	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<16.51	NaN	microJy
NaN	0.16319	B	6726	21.53	0	0.3	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	8.83	2.0	microJy
NaN	0.30647	B	8349	21.83	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<6.76	NaN	microJy
NaN	1.14624	B	127458	22.19	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<4.85	NaN	microJy
NaN	2.44615	B	74224	21.0	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<14.47	NaN	microJy
NaN	4.07834	B	138632	21.33	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<10.64	NaN	microJy
NaN	0.01789	V	318	19.35	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<66.30	NaN	microJy
NaN	0.07278	V	1431	20.36	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<26.12	NaN	microJy
NaN	0.18317	V	6538	21.04	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<13.96	NaN	microJy
NaN	0.31290	V	5819	20.69	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<19.20	NaN	microJy
NaN	1.11739	V	3780	22.47	0	0.19	NaN	days	seconds	AB	apparent	1.23mCAHA	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	3.73	0.65	microJy
NaN	1.18728	V	121098	21.08	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<13.39	NaN	microJy
NaN	2.45087	V	74279	20.5	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<22.93	NaN	microJy
NaN	4.08128	V	138537	20.92	1	NaN	NaN	days	seconds	AB	apparent	UVOT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<15.56	NaN	microJy
NaN	39.11207	g'	1080	26.3	1	NaN	NaN	days	seconds	AB	apparent	OSIRIS/10.4mGTC	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<0.11	NaN	microJy
NaN	39.49403	g'	900	26.8	0	0.35	NaN	days	seconds	AB	apparent	GMOS/8mGemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.07	0.03	microJy
NaN	180.00000	g'	8400	27.21	0	0.27	NaN	days	seconds	AB	apparent	OSIRIS/10.4mGTC	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.047	0.01	microJy
NaN	1.04545	R	3420	22.61	0	0.16	NaN	days	seconds	AB	apparent	1.23mCAHA	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	3.28	0.48	microJy
NaN	0.29887	r'	900	22.43	0	0.14	NaN	days	seconds	AB	apparent	CQUEAN/2.1mMcD	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	3.87	0.5	microJy
NaN	2.08833	r'	30	23.39	0	0.12	NaN	days	seconds	AB	apparent	OSIRIS/10.4mGTC	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	1.60	0.18	microJy
NaN	21.15017	r'	600	24.21	0	0.14	NaN	days	seconds	AB	apparent	OSIRIS/10.4mGTC	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.75	0.1	microJy
NaN	28.49818	r'	9000	24.81	0	0.13	NaN	days	seconds	AB	apparent	GMOS/8mGemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.43	0.05	microJy
NaN	39.10159	r'	480	24.77	0	0.13	NaN	days	seconds	AB	apparent	OSIRIS/10.4mGTC	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.45	0.05	microJy
NaN	39.47981	r'	9000	25.24	0	0.15	NaN	days	seconds	AB	apparent	GMOS/8mGemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.29	0.04	microJy
NaN	44.08258	r'	720	24.7	1	NaN	NaN	days	seconds	AB	apparent	OSIRIS/10.4mGTC	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<0.48	NaN	microJy
NaN	180.00000	r'	6400	26.9	0	0.14	NaN	days	seconds	AB	apparent	OSIRIS/10.4mGTC	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.063	0.008	microJy
NaN	1.17359	I	3060	22.18	0	0.35	NaN	days	seconds	AB	apparent	1.23mCAHA	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	4.88	1.57	microJy
NaN	61.96267	I	2400	25.17	0	0.35	NaN	days	seconds	AB	apparent	SCORPIO/6mBTA	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.31	0.1	microJy
NaN	0.29516	i'	900	22.72	0	0.18	NaN	days	seconds	AB	apparent	CQUEAN/2.1mMcD	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	2.96	0.49	microJy
NaN	10.09449	i'	8100	24.01	0	0.13	NaN	days	seconds	AB	apparent	RAT/2.0mLT	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.90	0.11	microJy
NaN	39.12164	i'	300	24.36	0	0.17	NaN	days	seconds	AB	apparent	OSIRIS/10.4mGTC	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.65	0.11	microJy
NaN	39.46336	i'	900	24.61	0	0.09	NaN	days	seconds	AB	apparent	GMOS/8mGemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.52	0.04	microJy
NaN	0.30384	z'	900	22.65	0	0.34	NaN	days	seconds	AB	apparent	CQUEAN/2.1mMcD	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	3.16	1.0	microJy
NaN	39.09432	z'	360	24.73	0	0.42	NaN	days	seconds	AB	apparent	OSIRIS/10.4mGTC	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.47	0.18	microJy
NaN	39.44619	z'	1260	24.77	0	0.25	NaN	days	seconds	AB	apparent	GMOS/8mGemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.45	0.1	microJy
NaN	0.30745	Y	900	22.5	1	NaN	NaN	days	seconds	AB	apparent	CQUEAN/2.1mMcD	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<3.63	NaN	microJy
NaN	37.45092	J	1920	23.4	1	NaN	NaN	days	seconds	AB	apparent	NIRI/8mGemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	<1.58	NaN	microJy
NaN	28.46873	K_{s}	2640	24.48	0	0.35	NaN	days	seconds	AB	apparent	NIRI/8mGemini	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2011Natur.480...72T/abstract	0.59	0.19	microJy
