time	band	mag	mag_limit	dmag	mag_unit	time_unit	mag_type	time_frame	extinction_corrected	instrument	dtime	reference	exinction_corrected	integration	integration_unit
46.583	R_{c}	23.29	0	0.06	Vega	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
49.554	R_{c}	23.32	0	0.05	Vega	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.452	B	18.22	0	0.09	Vega	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.452	z	17.36	0	0.08	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.481	z	17.29	0	0.07	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.515	z	17.22	0	0.06	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.551	z	17.49	0	0.07	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.571	B	18.4	0	0.04	Vega	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.594	z	17.49	0	0.07	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
1.574	z	18.43	0	0.17	AB	days	apparent	observer	True	PROMPT	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
4.601	R_{c}	20.24	0	0.04	Vega	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
4.613	g	20.91	0	0.04	AB	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
4.626	I_{c}	19.92	0	0.03	Vega	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
4.638	z	20.51	0	0.04	AB	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
17.598	R_{c}	21.9	0	0.06	Vega	days	apparent	observer	True	CTIO	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
46.583	R_{c}	23.29	0	0.06	Vega	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
49.554	R_{c}	23.32	0	0.05	Vega	days	apparent	observer	True	Gemini-S	NaN	https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract	NaN	NaN	NaN
0.0016203703703703	UWh	17.27	0	0.18	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0017361111111111	UWh	17.51	0	0.21	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0018518518518518	UWh	17.93	0	0.27	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0019675925925925	UWh	17.86	0	0.26	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0020833333333333	UWh	18.01	0	0.3	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.002199074074074	UWh	18.37	1	NaN	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0023148148148148	UWh	18.36	1	NaN	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0024305555555555	UWh	17.69	0	0.23	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0025462962962962	UWh	18.17	0	0.35	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.002662037037037	UWh	17.44	0	0.21	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0032175925925925	v	17.5	0	0.3	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
0.0035069444444444	v	17.81	1	NaN	AB	days	apparent	observer	False	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2007ApJ...662..443G/abstract	NaN	NaN	NaN
