time	integration	mag	mag_limit	dmag	band	instrument	time_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
287670	2200	20.16	0	0.11	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
253230	361	19.57	0	0.23	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
193930	549	19.21	0	0.12	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
331140	3288	20.59	0	0.13	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
318970	1374	19.75	0	0.13	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
206100	545	19.37	0	0.14	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
397340	4561	20.57	0	0.11	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
449220	2304	20.39	0	0.16	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
220980	559	19.37	0	0.15	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
487280	4656	20.99	0	0.14	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
662390	3622	21.55	0	0.35	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
286960	1100	19.77	0	0.14	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
662770	13555	21.45	0	0.12	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
897363	2368	21.58	1	NaN	u	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
330430	1648	19.93	0	0.13	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
897780	9498	22.02	0	0.23	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
396620	2276	20.09	0	0.11	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1099600	13675	22.43	0	0.29	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
486600	2323	20.29	0	0.13	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1487290	17912	23.04	1	NaN	uvw2	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
662230	7331	21.2	0	0.15	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
897220	4748	21.2	0	0.18	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1012900	17014	21.65	0	0.15	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1614900	12901	21.82	0	0.22	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1697900	14706	22.46	0	0.32	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
1874500	24764	22.68	0	0.27	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
2091400	20552	22.11	0	0.2	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
2394800	39794	22.63	0	0.38	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
3431882	44673	22.76	1	NaN	uvw1	UVOT	seconds	seconds	AB	apparent	observer	False	NaN
