date	seeing	instrument	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit	time_frame	dtime	reference	integration	integration_unit
NaN	NaN	SMARTS	I	19.22	0	0.03	NaN	unspecified	1.31	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.15	0	0.03	NaN	unspecified	2.31	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.22	0	0.03	NaN	unspecified	3.33	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.13	0	0.03	NaN	unspecified	4.37	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.07	0	0.03	NaN	unspecified	5.38	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.06	0	0.03	NaN	unspecified	6.38	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.14	0	0.03	NaN	unspecified	7.31	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.09	0	0.03	NaN	unspecified	8.33	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.05	0	0.03	NaN	unspecified	9.34	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.09	0	0.03	NaN	unspecified	10.32	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.09	0	0.03	NaN	unspecified	11.32	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.07	0	0.03	NaN	unspecified	12.34	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.1	0	0.03	NaN	unspecified	13.36	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.05	0	0.03	NaN	unspecified	15.35	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.08	0	0.03	NaN	unspecified	17.34	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.05	0	0.03	NaN	unspecified	20.37	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.04	0	0.03	NaN	unspecified	23.36	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.01	0	0.03	NaN	unspecified	26.33	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	18.99	0	0.03	NaN	unspecified	30.32	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.04	0	0.03	NaN	unspecified	34.37	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.08	0	0.03	NaN	unspecified	38.32	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.18	0	0.03	NaN	unspecified	44.31	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.21	0	0.03	NaN	unspecified	50.34	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.19	0	0.03	NaN	unspecified	57.31	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
NaN	NaN	SMARTS	I	19.22	0	0.03	NaN	unspecified	69.24	days	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2004ApJ...608L..93C/abstract	NaN	NaN
