band	instrument	time	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	extinction	dtime	reference
R	Kuiper	0.020430555555555556	60.0	19.5	0	0.07	0.0522	0.0033	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.03994444444444444	60.0	20.774	0	0.21	0.0194	0.0037	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kuiper	0.021630555555555556	60.0	19.65	0	0.08	0.0455	0.0033	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.04115069444444445	60.0	20.387	0	0.15	0.0277	0.0038	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kuiper	0.02284027777777778	60.0	19.6	0	0.07	0.0477	0.003	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
V	Kuiper	0.06783819444444444	1120.0	21.663	0	0.3	0.0085	0.0024	days	seconds	AB	apparent	milliJy	observer	False	0.09	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kuiper	0.04478402777777778	240.0	20.81	0	0.1	0.0156	0.0014	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kuiper	0.04807638888888889	240.0	20.83	0	0.1	0.0153	0.0014	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
I	KAIT	0.0053437499999999995	60.0	19.56	0	0.45	0.0571	0.0243	days	seconds	AB	apparent	milliJy	observer	False	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kuiper	0.051361111111111114	240.0	20.95	0	0.1	0.0137	0.0012	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
I	KAIT	0.005902777777777778	60.0	18.84	0	0.25	0.1109	0.0257	days	seconds	AB	apparent	milliJy	observer	False	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kuiper	0.05465972222222223	240.0	21.03	0	0.11	0.0128	0.0012	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
I	KAIT	0.007673611111111111	60.0	18.5	0	0.18	0.1517	0.0252	days	seconds	AB	apparent	milliJy	observer	False	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kuiper	0.05795833333333334	240.0	21.26	0	0.18	0.0103	0.0017	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
I	KAIT	0.009305555555555555	60.0	18.59	0	0.22	0.1397	0.0285	days	seconds	AB	apparent	milliJy	observer	False	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
R	Kuiper	0.061632638888888897	240.0	21.13	0	0.12	0.0116	0.0013	days	seconds	AB	apparent	milliJy	observer	False	0.07	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
I	KAIT	0.011416666666666667	120.0	18.75	0	0.11	0.1205	0.0122	days	seconds	AB	apparent	milliJy	observer	False	NaN	NaN	https://ui.adsabs.harvard.edu/abs/2009MNRAS.395.1941M/abstract
