date	mag	mag_limit	dmag	band	instrument	date_unit	mag_unit	time_unit	time	dtime
58893.083	17.5741	0	0.0278	B	LCO	MJD	Vega	days	10.323	NaN
58893.086	16.4563	0	0.0301	V	LCO	MJD	Vega	days	10.326	NaN
58893.089	16.6416	0	0.0261	g	LCO	MJD	AB	days	10.329	NaN
58893.093	15.9546	0	0.0153	r	LCO	MJD	AB	days	10.333	NaN
58893.096	15.8804	0	0.0252	i	LCO	MJD	AB	days	10.336	NaN
58897.693	17.8932	0	0.1563	U	LCO	MJD	Vega	days	14.933	NaN
58897.697	17.5939	0	0.0341	B	LCO	MJD	Vega	days	14.937	NaN
58897.7	16.5606	0	0.0546	V	LCO	MJD	Vega	days	14.94	NaN
58901.375	18.0192	0	0.0187	U	LCO	MJD	Vega	days	18.615	NaN
58901.387	16.9802	0	0.0173	g	LCO	MJD	AB	days	18.627	NaN
58901.39	16.6045	0	0.1347	r	LCO	MJD	AB	days	18.63	NaN
58901.393	16.4566	0	0.0167	i	LCO	MJD	AB	days	18.633	NaN
58903.928	17.9126	0	0.1375	U	LCO	MJD	Vega	days	21.168	NaN
58903.935	17.6419	0	0.0269	B	LCO	MJD	Vega	days	21.175	NaN
58903.938	16.6628	0	0.0532	V	LCO	MJD	Vega	days	21.178	NaN
58910.221	18.2454	0	0.0794	U	LCO	MJD	Vega	days	27.461	NaN
58910.23	17.7196	0	0.0109	B	LCO	MJD	Vega	days	27.47	NaN
58910.233	16.9582	0	0.0348	V	LCO	MJD	Vega	days	27.473	NaN
58910.236	17.1218	0	0.0258	g	LCO	MJD	AB	days	27.476	NaN
58910.239	16.7717	0	0.0191	r	LCO	MJD	AB	days	27.479	NaN
58910.242	16.7208	0	0.0536	i	LCO	MJD	AB	days	27.482	NaN
58916.326	17.9879	0	0.0809	B	LCO	MJD	Vega	days	33.566	NaN
58916.329	16.9846	0	0.0539	V	LCO	MJD	Vega	days	33.569	NaN
58916.333	17.1909	0	0.0464	g	LCO	MJD	AB	days	33.573	NaN
58916.335	17.1369	0	0.1021	r	LCO	MJD	AB	days	33.575	NaN
58921.67	18.4098	0	0.0552	U	LCO	MJD	Vega	days	38.91	NaN
58921.677	17.9089	0	0.035	B	LCO	MJD	Vega	days	38.917	NaN
58921.68	17.1469	0	0.0242	V	LCO	MJD	Vega	days	38.92	NaN
58921.683	17.2326	0	0.0323	g	LCO	MJD	AB	days	38.923	NaN
58928.036	18.5493	0	0.0287	U	LCO	MJD	Vega	days	45.276	NaN
58928.042	18.1952	0	0.0444	B	LCO	MJD	Vega	days	45.282	NaN
58928.046	17.4641	0	0.0132	V	LCO	MJD	Vega	days	45.286	NaN
58928.048	17.5478	0	0.0336	g	LCO	MJD	AB	days	45.288	NaN
58928.052	17.2406	0	0.0213	r	LCO	MJD	AB	days	45.292	NaN
58928.055	17.1496	0	0.0719	i	LCO	MJD	AB	days	45.295	NaN
58949.643	18.4718	0	0.0819	B	LCO	MJD	Vega	days	66.883	NaN
58960.387	18.3234	0	0.0795	V	LCO	MJD	Vega	days	77.627	NaN
58960.388	18.4437	0	0.0643	g	LCO	MJD	AB	days	77.628	NaN
58960.39	18.254	0	0.0841	r	LCO	MJD	AB	days	77.63	NaN
58960.391	17.8462	0	0.0731	i	LCO	MJD	AB	days	77.631	NaN
