date	obs_wavelength	flux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	dtime	rest_wavelength
2020-02-05T13:08:02	3579.10989904404	4.0034009047327596e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3491.133338903668
2020-02-05T13:08:02	3580.851273536685	3.94940308374089e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3492.8319094193184
2020-02-05T13:08:02	3582.59264802933	4.0721336579355054e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3494.530479934969
2020-02-05T13:08:02	3584.3340225219754	4.0129652301962413e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3496.22905045062
2020-02-05T13:08:02	3586.0753970146206	3.8796914780884735e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3497.927620966271
2020-02-05T13:08:02	3587.816771507265	4.015467947857581e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3499.626191481921
2020-02-05T13:08:02	3589.558145999911	4.397554716545544e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3501.3247619975728
2020-02-05T13:08:02	3591.2995204925564	4.263928386973481e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3503.0233325132235
2020-02-05T13:08:02	3593.0408949852017	4.1187456163251135e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3504.7219030288743
2020-02-05T13:08:02	3594.782269477847	4.2670875551689437e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3506.4204735445255
2020-02-05T13:08:02	3596.523643970492	4.2522305972741037e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3508.119044060176
2020-02-05T13:08:02	3598.265018463137	4.135525074312425e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3509.8176145758266
2020-02-05T13:08:02	3600.0063929557828	4.358855634070067e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3511.516185091478
2020-02-05T13:08:02	3601.747767448428	4.2868247463289485e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3513.2147556071286
2020-02-05T13:08:02	3603.489141941073	4.1726457638302523e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3514.9133261227794
2020-02-05T13:08:02	3605.230516433719	4.0318040370365645e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3516.611896638431
2020-02-05T13:08:02	3606.971890926364	3.9881373710232376e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3518.3104671540814
2020-02-05T13:08:02	3608.7132654190086	4.083167850260269e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3520.0090376697317
2020-02-05T13:08:02	3610.4546399116543	4.301298951210748e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3521.707608185383
2020-02-05T13:08:02	3612.1960144043	4.066277748594223e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3523.4061787010346
2020-02-05T13:08:02	3613.937388896945	4.213333256149409e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3525.104749216685
2020-02-05T13:08:02	3615.678763389591	4.2399044150069815e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3526.8033197323366
2020-02-05T13:08:02	3617.4201378822354	4.1836863089021216e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3528.5018902479865
2020-02-05T13:08:02	3619.1615123748807	4.1252135069707886e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3530.2004607636372
2020-02-05T13:08:02	3620.9028868675255	4.2498263471928816e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3531.899031279288
2020-02-05T13:08:02	3622.644261360171	4.3065899954553325e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3533.5976017949392
2020-02-05T13:08:02	3624.385635852816	4.3328609870122207e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3535.2961723105896
2020-02-05T13:08:02	3626.1270103454617	4.275854610870822e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3536.994742826241
2020-02-05T13:08:02	3627.8683848381065	3.909539595660735e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3538.693313341891
2020-02-05T13:08:02	3629.609759330752	4.005442518833439e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3540.3918838575423
2020-02-05T13:08:02	3631.3511338233975	4.2384676353702014e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3542.0904543731936
2020-02-05T13:08:02	3633.0925083160414	4.0955954117832654e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3543.789024888843
2020-02-05T13:08:02	3634.833882808688	3.8383295357850655e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3545.487595404495
2020-02-05T13:08:02	3636.575257301333	4.0275829012834814e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3547.1861659201454
2020-02-05T13:08:02	3638.3166317939786	4.0736519644934597e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3548.884736435797
2020-02-05T13:08:02	3640.058006286624	4.17988366036454e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3550.583306951448
2020-02-05T13:08:02	3641.7993807792686	4.2141922004974847e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3552.281877467098
2020-02-05T13:08:02	3643.5407552719134	4.2740332253364284e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3553.9804479827485
2020-02-05T13:08:02	3645.28212976456	3.813692523722991e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3555.6790184984006
2020-02-05T13:08:02	3647.023504257205	3.6447814485462733e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3557.377589014051
2020-02-05T13:08:02	3648.7648787498497	3.7592002472481613e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3559.0761595297017
2020-02-05T13:08:02	3650.506253242496	3.8005322787006174e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3560.7747300453534
2020-02-05T13:08:02	3652.2476277351407	4.0969064599669375e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3562.4733005610037
2020-02-05T13:08:02	3653.9890022277855	4.2841354167214165e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3564.171871076654
2020-02-05T13:08:02	3655.730376720431	3.9465104662260166e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3565.8704415923053
2020-02-05T13:08:02	3657.471751213077	3.745254379167211e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3567.569012107957
2020-02-05T13:08:02	3659.2131257057217	3.608528438403789e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3569.2675826236073
2020-02-05T13:08:02	3660.954500198367	3.478775431680843e-16	0.025235	FTN FLOYDS-N Global SN Project	utc	angstroms	uncalibrated	1.7872453703703703	days	NaN	3570.966153139258
