date	obs_wavelength	flux	sky_flux	redshift	instrument	date_unit	wavelength_unit	flux_unit
2020-02-08T05:52:18	5289.60	1.11115	3152.82	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5298.80	1.08637	3206.88	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5308.00	1.04424	3193.38	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5317.20	1.04274	3247.16	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5326.40	1.06603	3071.54	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5335.60	0.989842	3101.47	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5344.80	1.09223	3124.00	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5354.00	1.06037	3205.32	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5363.20	1.00739	3167.34	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5372.40	1.01480	3064.59	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5381.60	0.989534	3179.35	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5390.80	1.00143	3064.89	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5400.00	1.04351	2961.54	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5409.20	1.03908	2957.70	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5418.40	1.05511	2996.74	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5427.60	1.00370	3025.58	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5436.80	0.945715	3029.01	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5446.00	0.945477	3049.28	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5455.20	0.991135	3064.29	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5464.40	1.03535	3015.82	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5473.60	0.999830	2958.09	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5482.80	1.00465	2956.47	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5492.00	0.923188	3051.78	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5501.20	0.978535	2972.29	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5510.40	0.920566	2993.44	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5519.60	1.02020	2939.74	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5528.80	1.02259	2927.58	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5538.00	0.996209	2909.32	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5547.20	0.973745	2951.39	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5556.40	0.890280	2935.92	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5565.60	0.962903	3228.22	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	5574.80	0.931863	5490.91	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
