time	obs_wavelength	flux	instrument	time_unit	wavelength_unit	flux_unit	redshift
0.76	7177.6	2.445000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7203.2	2.505000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7228.8	2.459000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7254.3	2.290000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7279.9	2.307000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7305.5	2.455000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7331.1	2.492000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7356.6	2.301000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7382.2	2.333000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7407.8	2.618000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7433.3	2.474000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7458.9	2.130000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7484.5	2.012000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7510.0	2.124000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7535.6	2.299000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7561.2	2.316000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7586.8	2.212000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7612.3	2.453000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7637.9	2.516000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7663.5	2.172000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7689.0	2.098000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7714.6	2.128000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7740.2	2.105000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7765.8	1.973000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7791.3	1.849000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7816.9	1.908000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7842.5	1.871000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7868.0	1.868000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7893.6	2.081000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7919.2	2.275000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7944.7	2.139000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7970.3	1.847000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	7995.9	1.773000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8021.5	1.860000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8047.0	1.814000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8072.6	1.629000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8098.2	1.454000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8123.7	1.501000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8149.3	1.661000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8174.9	1.714000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8200.5	1.655000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8226.0	1.677000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8251.6	1.729000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8277.2	1.739000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8302.7	1.705000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8328.3	1.626000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8353.9	1.525000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8379.5	1.333000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8405.0	1.217000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8430.6	1.222000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8456.2	1.145000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8481.7	1.232000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8507.3	1.578000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8532.9	1.578000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8558.4	1.225000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8584.0	1.181000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8609.6	1.400000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8635.2	1.392000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8660.7	1.276000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8686.3	1.364000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8711.9	1.493000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8737.4	1.475000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8763.0	1.360000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8788.6	1.266000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8814.2	1.290000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8839.7	1.318000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8865.3	1.313000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8890.9	1.267000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8916.4	1.183000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8942.0	1.121000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8967.6	1.009000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	8993.2	8.357000e-17	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	9018.7	8.194000e-17	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	9044.3	9.271000e-17	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	9069.9	9.838000e-17	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	9095.4	1.011000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	9121.0	1.066000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	9146.6	1.291000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	9172.1	1.297000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	9197.7	1.042000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
0.76	9223.3	1.251000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	3776.7	7.055000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	3802.3	8.803000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	3827.9	9.388000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	3853.4	9.859000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	3879.0	7.441000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	3904.6	8.475000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	3930.1	8.910000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	3955.7	7.265000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	3981.3	1.034000e-15	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4006.8	8.469000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4032.4	7.524000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4058.0	6.858000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4083.6	7.497000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4109.1	7.478000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4134.7	7.459000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4160.3	7.984000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4185.8	8.505000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4211.4	1.056000e-15	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
3.7	4237.0	7.361000e-16	LT/SPRAT	days	angstroms	erg/s/cm2/A	0.025235
