date	time	instrument	band	mag	mag_limit	dmag	date_unit	time_unit	mag_unit	dtime
58895.1417	12.47	Swift+UVOT	UVM2	20.97	0	0.01	MJD	days	AB	NaN
58895.4968	12.83	P48+ZTF	r	16.35	0	0.03	MJD	days	AB	NaN
58895.4972	12.83	P48+ZTF	r	16.33	0	0.04	MJD	days	AB	NaN
58896.3318	13.66	P48+ZTF	i	16.72	0	0.03	MJD	days	AB	NaN
58896.3934	13.72	P48+ZTF	i	16.7	0	0.03	MJD	days	AB	NaN
58898.1568	15.49	LT+IOO	r	16.32	0	0.02	MJD	days	AB	NaN
58898.1576	15.49	LT+IOO	i	16.76	0	0.02	MJD	days	AB	NaN
58898.1585	15.49	LT+IOO	g	16.75	0	0.02	MJD	days	AB	NaN
58898.1593	15.49	LT+IOO	u	18.66	0	0.04	MJD	days	AB	NaN
58898.445	15.77	P48+ZTF	g	16.92	0	0.04	MJD	days	AB	NaN
58898.4558	15.79	P48+ZTF	g	16.9	0	0.03	MJD	days	AB	NaN
58898.4955	15.83	P48+ZTF	r	16.38	0	0.03	MJD	days	AB	NaN
58898.5119	15.84	P48+ZTF	r	16.39	0	0.04	MJD	days	AB	NaN
58898.5128	15.84	P48+ZTF	r	16.35	0	0.04	MJD	days	AB	NaN
58898.5335	15.86	P48+ZTF	r	16.36	0	0.03	MJD	days	AB	NaN
58898.5463	15.88	P48+ZTF	g	16.93	0	0.04	MJD	days	AB	NaN
58899.4051	16.74	P48+ZTF	g	16.92	0	0.04	MJD	days	AB	NaN
58899.4351	16.77	P48+ZTF	g	16.94	0	0.04	MJD	days	AB	NaN
58899.4828	16.81	P48+ZTF	r	16.34	0	0.04	MJD	days	AB	NaN
58899.5057	16.84	P48+ZTF	r	16.36	0	0.03	MJD	days	AB	NaN
58899.5302	16.86	P48+ZTF	g	16.95	0	0.05	MJD	days	AB	NaN
58900.3929	17.72	P48+ZTF	g	16.98	0	0.05	MJD	days	AB	NaN
58900.4467	17.78	P48+ZTF	r	16.26	0	0.04	MJD	days	AB	NaN
58900.4499	17.78	P60+SEDM	r	16.38	0	0.01	MJD	days	AB	NaN
58900.4516	17.78	P60+SEDM	g	16.98	0	0.02	MJD	days	AB	NaN
58900.4532	17.78	P60+SEDM	i	16.64	0	0.02	MJD	days	AB	NaN
58900.4787	17.81	P48+ZTF	r	16.35	0	0.03	MJD	days	AB	NaN
58900.4938	17.82	P48+ZTF	r	16.34	0	0.04	MJD	days	AB	NaN
58900.5289	17.86	P48+ZTF	g	16.98	0	0.07	MJD	days	AB	NaN
58901.4137	18.74	P48+ZTF	r	16.38	0	0.03	MJD	days	AB	NaN
58901.4335	18.76	P48+ZTF	r	16.39	0	0.03	MJD	days	AB	NaN
58901.4546	18.78	P48+ZTF	r	16.37	0	0.03	MJD	days	AB	NaN
58901.4546	18.78	P48+ZTF	r	16.37	0	0.03	MJD	days	AB	NaN
58902.6701	20.0	Swift+UVOT	UVW1	20.56	0	0.01	MJD	days	AB	NaN
58902.6715	20.0	Swift+UVOT	U	19.52	0	0.01	MJD	days	AB	NaN
58902.6725	20.0	Swift+UVOT	B	17.82	0	0.01	MJD	days	AB	NaN
58902.6748	20.0	Swift+UVOT	UVW2	20.22	0	0.01	MJD	days	AB	NaN
58902.6772	20.01	Swift+UVOT	V	16.49	0	0.01	MJD	days	AB	NaN
58902.6791	20.01	Swift+UVOT	UVM2	22.23	0	0.01	MJD	days	AB	NaN
58903.36	20.69	P48+ZTF	g	17.21	0	0.06	MJD	days	AB	NaN
58903.412	20.74	P48+ZTF	r	16.48	0	0.03	MJD	days	AB	NaN
58903.4217	20.75	P48+ZTF	r	16.45	0	0.03	MJD	days	AB	NaN
58903.4571	20.79	P48+ZTF	r	16.48	0	0.03	MJD	days	AB	NaN
58903.4605	20.79	P48+ZTF	r	16.46	0	0.05	MJD	days	AB	NaN
58903.4953	20.83	P48+ZTF	r	16.47	0	0.03	MJD	days	AB	NaN
58903.4962	20.83	P48+ZTF	r	16.51	0	0.04	MJD	days	AB	NaN
58903.5079	20.84	P48+ZTF	r	16.45	0	0.04	MJD	days	AB	NaN
58903.5409	20.87	P48+ZTF	g	17.22	0	0.05	MJD	days	AB	NaN
58904.3954	21.73	P48+ZTF	i	16.79	0	0.03	MJD	days	AB	NaN
58904.4029	21.73	P48+ZTF	i	16.81	0	0.02	MJD	days	AB	NaN
58904.4461	21.78	P48+ZTF	g	17.28	0	0.05	MJD	days	AB	NaN
58904.489	21.82	P48+ZTF	r	16.5	0	0.03	MJD	days	AB	NaN
58906.3392	23.67	P48+ZTF	g	17.44	0	0.05	MJD	days	AB	NaN
58906.4339	23.76	P48+ZTF	i	16.89	0	0.02	MJD	days	AB	NaN
58906.4868	23.82	P48+ZTF	r	16.56	0	0.04	MJD	days	AB	NaN
58906.4878	23.82	P48+ZTF	r	16.57	0	0.03	MJD	days	AB	NaN
58906.5057	23.84	P48+ZTF	r	16.57	0	0.03	MJD	days	AB	NaN
