date	mag	mag_limit	dmag	band	instrument	date_unit	mag_unit	time	time_unit	time_frame	dtime
58935.91	18.8299	0	0.0557551	g	KON	MJD	AB	53.24	days	observer	NaN
58939.96	18.9569	0	0.0805666	g	KON	MJD	AB	57.29	days	observer	NaN
58941.06	18.8987	0	0.061867	g	KON	MJD	AB	58.39	days	observer	NaN
58945.06	18.9828	0	0.170928	g	KON	MJD	AB	62.39	days	observer	NaN
58947.06	18.9917	0	0.180165	g	KON	MJD	AB	64.39	days	observer	NaN
58954.07	19.2445	0	0.171033	g	KON	MJD	AB	71.4	days	observer	NaN
58955.03	19.2404	0	0.0611189	g	KON	MJD	AB	72.36	days	observer	NaN
58960.01	19.4627	0	0.213894	g	KON	MJD	AB	77.34	days	observer	NaN
58898.0	16.3844	0	0.0350355	r	KON	MJD	AB	15.33	days	observer	NaN
58899.93	16.4026	0	0.0300233	r	KON	MJD	AB	17.26	days	observer	NaN
58913.79	16.8895	0	0.228689	r	KON	MJD	AB	31.12	days	observer	NaN
58921.94	17.5633	0	0.0437607	r	KON	MJD	AB	39.27	days	observer	NaN
58922.9	17.5976	0	0.0384489	r	KON	MJD	AB	40.23	days	observer	NaN
58924.11	17.6819	0	0.0338612	r	KON	MJD	AB	41.44	days	observer	NaN
58925.1	17.748	0	0.032403	r	KON	MJD	AB	42.43	days	observer	NaN
58925.92	17.7454	0	0.0481906	r	KON	MJD	AB	43.25	days	observer	NaN
58935.91	18.1962	0	0.0356091	r	KON	MJD	AB	53.24	days	observer	NaN
58939.96	18.2794	0	0.0562791	r	KON	MJD	AB	57.29	days	observer	NaN
58941.06	18.3315	0	0.0456018	r	KON	MJD	AB	58.39	days	observer	NaN
58945.06	18.4034	0	0.0963234	r	KON	MJD	AB	62.39	days	observer	NaN
58947.06	18.3533	0	0.099519	r	KON	MJD	AB	64.39	days	observer	NaN
58954.07	18.7539	0	0.0864857	r	KON	MJD	AB	71.4	days	observer	NaN
58955.03	18.7577	0	0.0417026	r	KON	MJD	AB	72.36	days	observer	NaN
58960.01	18.9881	0	0.115553	r	KON	MJD	AB	77.34	days	observer	NaN
58898.0	16.7113	0	0.0390753	i	KON	MJD	AB	15.33	days	observer	NaN
58899.93	16.6891	0	0.0339193	i	KON	MJD	AB	17.26	days	observer	NaN
58913.79	17.077	0	0.324298	i	KON	MJD	AB	31.12	days	observer	NaN
58921.94	17.7214	0	0.0476976	i	KON	MJD	AB	39.27	days	observer	NaN
58922.9	17.6573	0	0.0609731	i	KON	MJD	AB	40.23	days	observer	NaN
58924.11	17.9215	0	0.0447056	i	KON	MJD	AB	41.44	days	observer	NaN
58925.1	18.0107	0	0.0513559	i	KON	MJD	AB	42.43	days	observer	NaN
58925.92	17.8849	0	0.0619244	i	KON	MJD	AB	43.25	days	observer	NaN
58935.91	18.3742	0	0.0537132	i	KON	MJD	AB	53.24	days	observer	NaN
58939.96	18.5063	0	0.0807167	i	KON	MJD	AB	57.29	days	observer	NaN
58941.06	18.6081	0	0.0642618	i	KON	MJD	AB	58.39	days	observer	NaN
58945.06	18.3865	0	0.164865	i	KON	MJD	AB	62.39	days	observer	NaN
58947.06	18.8117	0	0.313671	i	KON	MJD	AB	64.39	days	observer	NaN
58954.07	19.1285	0	0.169897	i	KON	MJD	AB	71.4	days	observer	NaN
58955.03	19.3094	0	0.0851604	i	KON	MJD	AB	72.36	days	observer	NaN
58960.01	19.5563	0	0.281867	i	KON	MJD	AB	77.34	days	observer	NaN
58898.0	16.3391	0	0.0715497	z	KON	MJD	AB	15.33	days	observer	NaN
58899.93	16.301	0	0.0606193	z	KON	MJD	AB	17.26	days	observer	NaN
58913.79	17.0123	0	0.792648	z	KON	MJD	AB	31.12	days	observer	NaN
58921.94	17.203	0	0.0659962	z	KON	MJD	AB	39.27	days	observer	NaN
58922.9	17.107	0	0.101668	z	KON	MJD	AB	40.23	days	observer	NaN
58924.11	17.5723	0	0.0687693	z	KON	MJD	AB	41.44	days	observer	NaN
58925.1	17.7779	0	0.0885373	z	KON	MJD	AB	42.43	days	observer	NaN
58925.92	17.2556	0	0.0831562	z	KON	MJD	AB	43.25	days	observer	NaN
58935.91	17.7593	0	0.097381	z	KON	MJD	AB	53.24	days	observer	NaN
58939.96	17.968	0	0.133627	z	KON	MJD	AB	57.29	days	observer	NaN
58941.06	18.5669	0	0.152606	z	KON	MJD	AB	58.39	days	observer	NaN
58945.06	17.9961	0	0.310696	z	KON	MJD	AB	62.39	days	observer	NaN
58947.06	18.0327	0	0.392437	z	KON	MJD	AB	64.39	days	observer	NaN
58954.07	19.2	0	0.285632	z	KON	MJD	AB	71.4	days	observer	NaN
58955.03	19.1862	0	0.234288	z	KON	MJD	AB	72.36	days	observer	NaN
