event,time,magnitude,e_magnitude,band,ra,dec,source,refs
2011kl,54357.855671296296,18.75,0.1,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.855671296296,18.01,0.16,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.855671296296,20.05,0.04,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.855671296296,19.36,0.02,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.855671296296,19.65,0.02,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.855671296296,19.15,0.02,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.90625,18.4,0.12,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.90625,18.75,0.11,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.90625,18.09,0.18,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.90625,20.14,0.05,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.90625,19.43,0.03,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.90625,19.75,0.04,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54357.90625,19.19,0.04,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.775578703695,19.01,0.14,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.775578703695,19.66,0.13,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.775578703695,18.71,0.17,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.775578703695,20.81,0.04,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.775578703695,20.11,0.02,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.775578703695,20.35,0.03,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.775578703695,19.89,0.05,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.90451388889,19.11,0.12,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.90451388889,19.65,0.11,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.90451388889,18.98,0.21,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.90451388889,20.85,0.06,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.90451388889,20.2,0.03,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.90451388889,20.49,0.02,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54358.90451388889,19.95,0.07,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54359.80983796296,19.39,0.12,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54359.80983796296,19.87,0.08,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54359.80983796296,19.1,0.18,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54359.80983796296,21.16,0.06,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54359.80983796296,20.43,0.03,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54359.80983796296,20.74,0.03,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54359.80983796296,20.22,0.05,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54360.80868055556,19.88,0.16,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54360.80868055556,20.17,0.11,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54360.80868055556,19.65,0.26,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54360.80868055556,21.49,0.05,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54360.80868055556,20.81,0.02,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54360.80868055556,21.08,0.03,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54360.80868055556,20.6,0.04,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54361.79953703704,19.99,0.15,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54361.79953703704,20.25,0.11,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54361.79953703704,19.94,0.32,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54361.79953703704,21.59,0.03,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54361.79953703704,20.9,0.02,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54361.79953703704,21.19,0.02,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54361.79953703704,20.71,0.04,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54362.80671296296,20.25,0.19,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54362.80671296296,20.62,0.16,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54362.80671296296,19.67,0.27,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54362.80671296296,21.85,0.05,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54362.80671296296,21.18,0.04,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54362.80671296296,21.46,0.03,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54362.80671296296,20.94,0.05,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54363.74513888889,20.36,0.29,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54363.74513888889,20.7,0.23,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54363.74513888889,19.86,0.35,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54363.74513888889,22.03,0.05,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54363.74513888889,21.4,0.09,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54363.74513888889,21.67,0.08,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54363.74513888889,21.17,0.08,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54365.76458333333,20.71,0.4,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54365.76458333333,21.23,0.21,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54365.76458333333,20.49,0.46,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54365.76458333333,22.39,0.03,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54365.76458333333,21.75,0.04,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54365.76458333333,22.01,0.03,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54365.76458333333,21.57,0.06,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54368.75381944445,20.82,0.25,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54368.75381944445,21.83,0.24,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54368.75381944445,20.57,0.52,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54368.75381944445,22.86,0.06,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54368.75381944445,22.2,0.07,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54368.75381944445,22.42,0.04,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54368.75381944445,22.03,0.09,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54377.765625,21.76,0.27,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54377.765625,21.79,0.24,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54377.765625,20.7,0.75,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54377.765625,23.26,0.09,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54377.765625,22.4,0.07,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54377.765625,22.68,0.05,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54377.765625,22.3,0.09,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54383.79305555556,21.86,0.36,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54383.79305555556,22.15,0.32,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54383.79305555556,20.32,,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54383.79305555556,23.45,0.19,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54383.79305555556,22.63,0.11,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54383.79305555556,23.0,0.09,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54383.79305555556,22.36,0.14,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54391.77511574073,21.85,,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54391.77511574073,22.25,,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54391.77511574073,20.22,,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54391.77511574073,23.8,0.12,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54391.77511574073,22.81,0.1,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54391.77511574073,23.11,0.08,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54391.77511574073,22.46,0.12,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54405.2875,21.05,,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54405.2875,21.54,,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54405.2875,19.19,,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54405.2875,24.27,0.24,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54405.2875,23.26,0.23,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54405.2875,23.6,0.13,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54405.2875,23.0,0.32,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54410.77083333333,21.62,,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54410.77083333333,22.06,,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54410.77083333333,20.33,,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54410.77083333333,24.47,0.35,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54410.77083333333,23.38,0.16,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54410.77083333333,23.92,0.15,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54410.77083333333,23.15,0.21,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54428.24398148148,20.91,,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54428.24398148148,21.52,,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54428.24398148148,20.06,,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54428.24398148148,24.57,,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54428.24398148148,23.68,0.32,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54428.24398148148,24.45,0.28,r',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54428.24398148148,23.47,0.44,z',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54636.98912037037,21.84,,H,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54636.98912037037,22.39,,J,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54636.98912037037,20.56,,Ks,,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54636.98912037037,25.66,0.31,g',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
2011kl,54636.98912037037,24.36,0.22,i',,,2015Natur.523..189G,"[{'name': 'Greiner et al. (2015)', 'url': 'https://ui.adsabs.harvard.edu/abs/2015Natur.523..189G/abstract'}]"
