time	integration	band	mag	mag_limit	dmag	instrument	time_unit	time_frame	integration_unit	mag_unit	mag_type	extinction_corrected	dtime
19.364	1500	r	20.2	0	0.03	NOT	days	observer	seconds	apparent	AB	False	NaN
6.556	1593	z	19.55	0	0.05	GROND	days	observer	seconds	apparent	AB	False	NaN
20.455	600	R	20.23	0	0.11	VLT	days	observer	seconds	apparent	AB	False	NaN
9.535	2390	z	19.63	0	0.05	GROND	days	observer	seconds	apparent	AB	False	NaN
21.507	1216	r	20.28	0	0.08	GROND	days	observer	seconds	apparent	AB	False	NaN
11.528	2374	z	19.68	0	0.04	GROND	days	observer	seconds	apparent	AB	False	NaN
22.341	900	r	20.21	0	0.09	NOT	days	observer	seconds	apparent	AB	False	NaN
13.539	4153	z	19.64	0	0.05	GROND	days	observer	seconds	apparent	AB	False	NaN
25.451	2403	r	20.36	0	0.08	GROND	days	observer	seconds	apparent	AB	False	NaN
15.544	2180	z	19.67	0	0.05	GROND	days	observer	seconds	apparent	AB	False	NaN
30.353	1500	r	20.36	0	0.04	NOT	days	observer	seconds	apparent	AB	False	NaN
18.495	2418	z	19.7	0	0.06	GROND	days	observer	seconds	apparent	AB	False	NaN
30.457	780	r	20.34	0	0.05	GROND	days	observer	seconds	apparent	AB	False	NaN
21.507	1216	z	19.74	0	0.08	GROND	days	observer	seconds	apparent	AB	False	NaN
33.272	900	r	20.34	0	0.02	TNG	days	observer	seconds	apparent	AB	False	NaN
25.451	2403	z	19.87	0	0.08	GROND	days	observer	seconds	apparent	AB	False	NaN
33.475	776	r	20.33	0	0.08	GROND	days	observer	seconds	apparent	AB	False	NaN
30.457	780	z	19.82	0	0.05	GROND	days	observer	seconds	apparent	AB	False	NaN
34.434	2410	r	20.39	0	0.06	GROND	days	observer	seconds	apparent	AB	False	NaN
33.475	776	z	19.87	0	0.08	GROND	days	observer	seconds	apparent	AB	False	NaN
40.409	2415	r	20.4	0	0.06	GROND	days	observer	seconds	apparent	AB	False	NaN
34.434	2410	z	19.85	0	0.06	GROND	days	observer	seconds	apparent	AB	False	NaN
44.597	600	r	20.38	0	0.05	LBT	days	observer	seconds	apparent	AB	False	NaN
40.409	2415	z	19.86	0	0.06	GROND	days	observer	seconds	apparent	AB	False	NaN
46.411	2396	r	20.38	0	0.06	GROND	days	observer	seconds	apparent	AB	False	NaN
46.411	2396	z	19.85	0	0.06	GROND	days	observer	seconds	apparent	AB	False	NaN
