date	obs_wavelength	flux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength	reference
2017-11-01.25	6630.35	1.299345e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	4985.225563909775	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6690.368	1.119899e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5030.3518796992485	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6750.386	1.211451e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5075.478195488722	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6810.404	1.169393e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5120.604511278196	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6870.422	1.216301e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5165.7308270676685	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6930.441	1.310015e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5210.857894736841	https://www.wis-tns.org/object/2017htp
2017-11-01.25	6990.459	1.445601e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5255.984210526315	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7050.477	1.376934e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5301.110526315789	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7110.495	1.465579e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5346.236842105262	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7170.513	1.341789e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5391.363157894736	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7230.531	1.314372e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5436.48947368421	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7290.55	9.875644e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5481.616541353384	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7350.568	1.217791e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5526.742857142857	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7410.586	1.249022e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5571.869172932331	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7470.604	1.109593e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5616.995488721805	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7530.622	9.793066e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5662.121804511278	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7590.64	8.848578e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5707.248120300752	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7650.658	8.945492e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5752.374436090226	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7710.677	1.161494e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5797.501503759398	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7770.695	1.195510e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5842.627819548871	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7830.713	1.092307e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5887.754135338346	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7890.731	1.039788e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5932.88045112782	https://www.wis-tns.org/object/2017htp
2017-11-01.25	7950.749	8.473932e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	5978.006766917293	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8010.767	9.195042e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6023.133082706767	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8070.786	9.000074e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6068.26015037594	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8130.804	9.420444e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6113.386466165413	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8190.822	8.852562e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6158.512781954887	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8250.84	9.378346e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6203.639097744361	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8310.859	1.044517e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6248.766165413534	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8370.877	9.844230e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6293.892481203007	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8430.895	1.085700e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6339.018796992481	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8490.913	1.075847e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6384.145112781955	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8550.931	9.558518e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6429.271428571428	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8610.949	9.635402e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6474.397744360902	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8670.968	9.227538e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6519.524812030076	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8730.986	1.103393e-18	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6564.651127819549	https://www.wis-tns.org/object/2017htp
2017-11-01.25	8791.004	9.719304e-19	0.328	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	21.45775	days	observer	NaN	6609.777443609023	https://www.wis-tns.org/object/2017htp
