date	obs_wavelength	flux	dflux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength
2018-08-21.078	3605.068000000016	3.271365e-18	2.089851e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3227.4556848702023
2018-08-21.078	3615.070000000016	4.062433e-18	2.104538e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3236.410026857669
2018-08-21.078	3625.072000000016	5.708672e-18	2.245976e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3245.3643688451352
2018-08-21.078	3635.074000000017	6.204969e-18	2.160382e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3254.3187108326024
2018-08-21.078	3645.076000000017	-2.478460e-19	2.141829e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3263.2730528200686
2018-08-21.078	3655.0780000000177	5.682920e-18	2.209702e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3272.227394807536
2018-08-21.078	3665.0800000000177	3.945274e-18	2.135611e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3281.1817367950025
2018-08-21.078	3675.0820000000185	3.217696e-19	2.043245e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3290.1360787824697
2018-08-21.078	3685.0840000000185	8.752059e-19	1.895165e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3299.090420769936
2018-08-21.078	3695.0860000000193	5.440473e-19	1.914899e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3308.044762757403
2018-08-21.078	3705.08800000002	4.795577e-18	1.754944e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3316.9991047448702
2018-08-21.078	3715.09000000002	5.647052e-18	1.803642e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3325.953446732337
2018-08-21.078	3725.092000000021	5.390884e-19	1.609788e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3334.907788719804
2018-08-21.078	3735.094000000021	4.745925e-18	1.506572e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3343.8621307072704
2018-08-21.078	3745.096000000021	1.089092e-18	1.537533e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3352.8164726947366
2018-08-21.078	3755.098000000022	1.221355e-18	1.635585e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3361.7708146822038
2018-08-21.078	3765.100000000022	5.931679e-18	1.674057e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3370.725156669671
2018-08-21.078	3775.102000000023	5.734878e-18	1.793780e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3379.679498657138
2018-08-21.078	3785.104000000023	5.915022e-18	1.876946e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3388.6338406446043
2018-08-21.078	3795.106000000024	6.611043e-18	1.744679e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3397.5881826320715
2018-08-21.078	3805.108000000024	6.286528e-19	1.850635e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3406.5425246195377
2018-08-21.078	3815.110000000024	6.230436e-18	1.817155e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3415.4968666070044
