date	obs_wavelength	flux	dflux	redshift	instrument	date_unit	wavelength_unit	flux_unit	time	time_unit	time_frame	dtime	rest_wavelength	reference
2018-08-21.078	3675.0820000000185	3.217696159704189e-19	2.043244647911208e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3290.1360787824697	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3685.0840000000185	8.752058712442831e-19	1.8951653920280105e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3299.090420769936	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3695.0860000000193	5.440473263287068e-19	1.914898793290521e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3308.044762757403	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3705.08800000002	4.795577246312025e-18	1.7549442708052413e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3316.9991047448702	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3715.09000000002	5.647051718427084e-18	1.803642070301316e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3325.953446732337	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3725.092000000021	5.39088439741987e-19	1.6097876206555617e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3334.907788719804	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3735.094000000021	4.745925391750466e-18	1.506572355100994e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3343.8621307072704	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3745.096000000021	1.0890917515999028e-18	1.5375325882221517e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3352.8164726947366	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3755.098000000022	1.2213552163816317e-18	1.6355849395212414e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3361.770814682204	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3765.100000000022	5.931679198721992e-18	1.6740566737166198e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3370.725156669671	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3775.102000000023	5.734877715336245e-18	1.793780403521899e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3379.679498657138	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3785.104000000023	5.9150216349874214e-18	1.8769458506438188e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3388.6338406446043	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3795.106000000024	6.611043243065718e-18	1.7446792431056555e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3397.5881826320715	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3805.108000000024	6.2865275859129425e-19	1.8506352805020635e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3406.5425246195377	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3815.110000000024	6.23043640217096e-18	1.8171550147628807e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3415.4968666070044	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3825.1120000000246	5.559185522129933e-18	1.6067681204728093e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3424.451208594472	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3835.1140000000246	5.095402734369893e-18	1.5451628742606548e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3433.405550581938	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3845.1160000000255	5.177633328249184e-18	1.6775257404280252e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3442.359892569405	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3855.1180000000254	9.671476883218425e-18	1.6239212024724362e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3451.3142345568717	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3865.120000000026	9.321517594002848e-18	1.6740721817768513e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3460.2685765443384	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3875.122000000026	2.461130240975084e-18	1.521140911345281e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3469.222918531805	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3885.124000000027	7.019909557281062e-18	1.462255543502971e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3478.1772605192723	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3895.126000000027	6.979072691390965e-18	1.5413919371646221e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3487.1316025067385	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3905.128000000028	8.093372954480755e-18	1.4814038924664704e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3496.0859444942057	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3915.130000000028	8.022836004248767e-18	1.5277108482250413e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3505.0402864816724	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3925.1320000000287	3.1585541704656398e-18	1.3280947883989918e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3513.99462846914	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3935.1340000000287	7.741767547687718e-18	1.0334926119510081e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3522.948970456606	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3945.1360000000295	7.169949931129077e-18	1.3526033935005009e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3531.903312444073	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3955.1380000000295	4.315826845179068e-18	1.4803971226433785e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3540.8576544315392	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3965.1400000000303	5.156941579171226e-18	1.2064883910415152e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3549.8119964190064	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3975.142000000031	7.506783805764729e-18	1.339662306382629e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3558.766338406474	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3985.144000000031	9.113751542482184e-18	1.6056059516250986e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3567.7206803939403	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	3995.146000000032	6.461274990457072e-18	1.647165892565638e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3576.6750223814074	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	4005.148000000032	1.0059868641546529e-17	1.6817904660161653e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3585.6293643688737	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	4015.150000000032	1.04177745473494e-17	1.7090547897118436e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3594.5837063563404	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	4025.152000000033	8.147358039250419e-18	1.7190859079107413e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3603.538048343808	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	4035.1540000000327	1.1163960048893124e-17	1.647805806365202e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3612.492390331274	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	4045.1560000000336	5.8026817237842416e-18	1.6173668972102368e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3621.446732318741	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	4055.1580000000336	8.200133838121433e-18	1.6192517484341065e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3630.401074306207	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
2018-08-21.078	4065.1600000000335	8.356157532893859e-18	1.669395605573762e-18	0.117	VLT-UT2 X-Shooter STARGATE	yyyy-mm-deciday	angstroms	uncalibrated	23.34952546296296	days	observer	NaN	3639.355416293674	https://ui.adsabs.harvard.edu/abs/2018TNSTR1245....1L
