instrument	time	integration	wavelength	flux_density	dflux_density	band	mag	mag_limit	dmag	time_unit	exposure_unit	wavelength_unit	flux_density_unit	mag_unit	reference	date	seeing	date_unit
CTIO OSIRIS	9.56642361111111	8 \times 120	NaN	NaN	NaN	J	20.1	-1	NaN	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-01-08:07-08:39	0.9	yyyy-mm-dd-hh:mm-hh:mm
CTIO OSIRIS	11.555659722222222	10 \times 120	NaN	NaN	NaN	J	20.1	-1	NaN	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-03-07:50-08:25	1.2	yyyy-mm-dd-hh:mm-hh:mm
ESO Melipal/FORS1	13.498020833333332	3 \times 600	NaN	NaN	NaN	V	24.3	0	0.02	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-05-06:28-07:01	0.9	yyyy-mm-dd-hh:mm-hh:mm
ESO Melipal/FORS1	13.5209375	3 \times 600	NaN	NaN	NaN	R_{C}	23.2	0	0.08	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-05-07:02-07:33	0.9	yyyy-mm-dd-hh:mm-hh:mm
ESO Melipal/FORS1	13.543854166666666	3 \times 600	NaN	NaN	NaN	I_{C}	22.35	0	0.25	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-05-07:34-08:07	0.9	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	13.5303125	40 \times 90	NaN	NaN	NaN	J_{s}	22.41	0	0.15	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-05-06:53-08:09	0.6	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	15.525104166666669	40 \times 90	NaN	NaN	NaN	J_{s}	22.69	0	0.1	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-07-06:45-08:02	0.6	yyyy-mm-dd-hh:mm-hh:mm
ESO Melipal/FORS1	16.484479166666667	600	NaN	NaN	NaN	V	24.09	0	0.02	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-08-06:20-06:30	0.8	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	17.52753472222222	40 \times 90	NaN	NaN	NaN	J_{s}	22.52	0	0.15	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-09-06:49-08:05	0.7	yyyy-mm-dd-hh:mm-hh:mm
ESO Melipal/FORS1	17.535173611111112	600	NaN	NaN	NaN	V	23.94	0	0.02	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-09-07:33-07:43	1.0	yyyy-mm-dd-hh:mm-hh:mm
ESO Melipal/FORS1	18.503229166666667	600	NaN	NaN	NaN	R_{C}	23.65	0	0.08	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-10-06:47-06:57	0.8	yyyy-mm-dd-hh:mm-hh:mm
ESO Melipal/FORS1	19.54315972222222	3 \times 600	NaN	NaN	NaN	R_{C}	23.45	0	0.08	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-11-07:33-08:06	0.6	yyyy-mm-dd-hh:mm-hh:mm
ESO Melipal/FORS1	19.562951388888887	2 \times 600	NaN	NaN	NaN	V	24.18	0	0.02	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-11-08:07-08:29	0.7	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	21.5521875	40 \times 90	NaN	NaN	NaN	J_{s}	22.89	0	0.15	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-13-07:19-08:46	0.7	yyyy-mm-dd-hh:mm-hh:mm
ESO 1.54 m Danish	23.43829861111111	4 \times 900	NaN	NaN	NaN	I_{C}	24.7	-1	NaN	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-15-05:10-05:27	1.2	yyyy-mm-dd-hh:mm-hh:mm
ESO 1.54 m Danish	24.425104166666667	2 \times 900	NaN	NaN	NaN	I_{C}	23.9	-1	NaN	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-16-04:51-05:08	1.3	yyyy-mm-dd-hh:mm-hh:mm
ESO 1.54 m Danish	25.427881944444444	4 \times 900	NaN	NaN	NaN	I_{C}	23.8	-1	NaN	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-17-04:55-05:12	2.0	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	25.552881944444444	40 \times 90	NaN	NaN	NaN	J_{s}	22.79	0	0.3	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-17-07:20-08:47	1.0	yyyy-mm-dd-hh:mm-hh:mm
ESO 1.54 m Danish	26.420590277777777	2 \times 900	NaN	NaN	NaN	I_{C}	23.8	-1	NaN	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2001-Dec-18-04:45-05:01	1.1	yyyy-mm-dd-hh:mm-hh:mm
ESO Antu/ISAAC	79.41434027777778	40 \times 90	NaN	NaN	NaN	J_{s}	24.85	-1	NaN	days	seconds	NaN	NaN	unspecified	https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1223G/abstract	2002-Feb-09-04:04-05:24	0.5	yyyy-mm-dd-hh:mm-hh:mm
OGLE 1.3 m	0.4323	NaN	NaN	NaN	NaN	R	19.06	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.2149	NaN	yyyy-month-deciday
OGLE 1.3 m	0.4388	NaN	NaN	NaN	NaN	R	19.09	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.2214	NaN	yyyy-month-deciday
OGLE 1.3 m	0.4693	NaN	NaN	NaN	NaN	I	18.55	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.2519	NaN	yyyy-month-deciday
OGLE 1.3 m	0.4811	NaN	NaN	NaN	NaN	V	19.87	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.2637	NaN	yyyy-month-deciday
CTIO 0.9 m	0.4888	NaN	NaN	NaN	NaN	R	19.26	0	0.4	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.2714	NaN	yyyy-month-deciday
CTIO 0.9 m	0.497	NaN	NaN	NaN	NaN	R	19.31	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.2796	NaN	yyyy-month-deciday
OGLE 1.3 m	0.4998	NaN	NaN	NaN	NaN	B	20.68	0	0.8	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.2824	NaN	yyyy-month-deciday
CTIO 0.9 m	0.5045	NaN	NaN	NaN	NaN	I	18.61	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.2871	NaN	yyyy-month-deciday
CTIO 0.9 m	0.5121	NaN	NaN	NaN	NaN	B	20.71	0	0.6	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.2947	NaN	yyyy-month-deciday
CTIO 0.9 m	0.5195	NaN	NaN	NaN	NaN	V	20.0	0	0.4	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.3021	NaN	yyyy-month-deciday
OGLE 1.3 m	0.5231	NaN	NaN	NaN	NaN	R	19.45	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.3057	NaN	yyyy-month-deciday
OGLE 1.3 m	0.5295	NaN	NaN	NaN	NaN	V	20.05	0	0.5	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.3121	NaN	yyyy-month-deciday
OGLE 1.3 m	0.5357	NaN	NaN	NaN	NaN	I	18.81	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.3183	NaN	yyyy-month-deciday
OGLE 1.3 m	0.5439	NaN	NaN	NaN	NaN	R	19.5	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.3265	NaN	yyyy-month-deciday
OGLE 1.3 m	0.5531	NaN	NaN	NaN	NaN	V	20.16	0	0.4	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.3357	NaN	yyyy-month-deciday
CTIO 0.9 m	0.5626	NaN	NaN	NaN	NaN	U	20.46	0	0.15	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.3452	NaN	yyyy-month-deciday
OGLE 1.3 m	0.5628	NaN	NaN	NaN	NaN	I	18.86	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.3454	NaN	yyyy-month-deciday
OGLE 1.3 m	0.5716	NaN	NaN	NaN	NaN	R	19.59	0	0.3	days	NaN	NaN	NaN	Vega	https://ui.adsabs.harvard.edu/abs/2003ApJ...582..924G/abstract	2001-Nov-22.3542	NaN	yyyy-month-deciday
