col1	col2	col3	col4	col5	col6	col7
5550.705	2.572	-3.843	4.823042e+00	9.662455e-01	-9.662836e-01	4
5556.727	4.274	-3.450	4.102683e+00	7.965276e-01	-7.965606e-01	4
5563.620	3.329	-2.618	5.581816e+00	1.019099e+00	-1.019148e+00	4
5570.363	2.934	-3.414	5.231579e+00	9.551551e-01	-9.552074e-01	4
5577.219	3.981	-3.922	3.914563e+00	7.842419e-01	-7.842793e-01	4
5584.378	2.945	-3.177	5.430629e+00	9.914959e-01	-9.915415e-01	4
5802.811	15.868	-16.727	4.594433e+00	9.654441e-01	-9.654441e-01	7
9061.490	7.225	-7.819	4.596450e+00	1.003028e+00	-1.003028e+00	7
9083.378	15.425	-14.663	2.163070e+00	4.861189e-01	-4.861189e-01	7
9109.832	11.536	-11.030	2.910945e+00	6.509071e-01	-6.509071e-01	7
9139.041	14.923	-17.672	1.968037e+00	4.430335e-01	-4.430335e-01	7
9162.857	8.657	-8.894	3.891424e+00	8.532600e-01	-8.532600e-01	7
9184.675	14.420	-13.161	2.343609e+00	5.275801e-01	-5.275801e-01	7
9209.999	14.169	-10.904	2.585034e+00	5.790005e-01	-5.790005e-01	7
9233.444	10.783	-9.275	3.246949e+00	7.297052e-01	-7.297052e-01	7
9255.007	11.787	-10.779	2.887510e+00	6.489263e-01	-6.489263e-01	7
9276.946	9.906	-10.153	3.285080e+00	7.357983e-01	-7.357983e-01	7
9296.879	10.031	-10.027	3.272571e+00	7.342278e-01	-7.342278e-01	7
9319.069	12.915	-12.159	2.594809e+00	5.831460e-01	-5.831460e-01	7
9345.521	11.536	-13.537	2.580949e+00	5.829736e-01	-5.829736e-01	7
9369.592	10.031	-12.534	2.848150e+00	6.400807e-01	-6.400807e-01	7
9390.426	11.763	-10.803	2.993452e+00	6.563646e-01	-6.563646e-01	7
9412.673	9.575	-10.484	3.531619e+00	7.563977e-01	-7.563977e-01	7
9433.982	15.846	-11.735	2.587336e+00	5.558520e-01	-5.558520e-01	7
9464.995	14.922	-15.166	2.168135e+00	4.889022e-01	-4.889022e-01	7
9498.596	16.423	-18.680	1.967524e+00	4.314127e-01	-4.314127e-01	7
9524.509	13.076	-9.490	3.042602e+00	6.682122e-01	-6.682122e-01	7
9548.030	12.121	-10.445	3.040143e+00	6.698216e-01	-6.698216e-01	7
9569.154	8.549	-9.002	4.070256e+00	8.717622e-01	-8.717622e-01	7
9593.593	14.191	-15.890	3.336044e+00	6.037361e-01	-6.037361e-01	7
11530.905	9.780	-10.279	2.772495e+00	6.228518e-01	-6.228518e-01	7
11550.772	9.971	-10.087	2.847016e+00	6.221904e-01	-6.221904e-01	7
11578.865	21.995	-18.122	2.447564e+00	4.044149e-01	-4.044149e-01	7
14829.563	13.075	-14.505	2.886619e+00	6.354487e-01	-6.354487e-01	7
14863.295	9.432	-20.656	2.734387e+00	5.709161e-01	-5.709161e-01	7
14896.286	34.109	-23.560	1.224509e+00	2.771897e-01	-2.771897e-01	7
14956.834	21.200	-26.439	1.543198e+00	3.392166e-01	-3.392166e-01	7
14998.388	17.257	-20.353	1.950920e+00	4.319986e-01	-4.319986e-01	7
15043.036	27.770	-27.391	1.353986e+00	2.976251e-01	-2.976251e-01	7
15101.901	19.051	-31.095	1.490600e+00	3.286160e-01	-3.286160e-01	7
15142.759	23.325	-21.807	1.565643e+00	3.527781e-01	-3.527781e-01	7
15198.012	23.234	-31.927	1.342497e+00	2.955319e-01	-2.955319e-01	7
15239.930	23.940	-18.685	1.825325e+00	3.913305e-01	-3.913305e-01	7
15282.171	14.295	-18.301	2.165588e+00	4.887112e-01	-4.887112e-01	7
15315.894	20.689	-19.428	1.759692e+00	3.946829e-01	-3.946829e-01	7
15354.507	17.179	-17.924	1.991602e+00	4.494475e-01	-4.494475e-01	7
15391.613	27.712	-19.927	1.471879e+00	3.326729e-01	-3.326729e-01	7
15441.010	15.925	-21.685	1.873241e+00	4.207943e-01	-4.207943e-01	7
15491.525	35.615	-34.590	1.001396e+00	2.252932e-01	-2.252932e-01	7
