time	integration	band	mag	mag_limit	dmag	time_unit	integration_unit	mag_unnit	mag_type	extinction_corrected	dtime	time_frame	reference	Instrument	mag_unit	telescope	Unnamed: 11	teslescope
49.12	1.7	r'	24.49	0	0.32	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
49.12	1.7	i'	23.41	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
49.12	1.7	z'	23.28	0	0.26	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
54.09	1.9	g'	21.26	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
54.09	1.9	r'	23.88	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
54.09	1.9	i'	18.86	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
54.09	1.9	z'	22.51	0	0.0	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
1.07	0.75	J	19.04	0	0.08	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
1.07	0.75	H	18.81	0	0.09	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
1.08	0.73	J	19.09	0	0.08	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
1.08	0.73	H	18.88	0	0.09	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
1.243	1.75	J	19.23	0	0.06	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
1.243	1.75	H	18.99	0	0.07	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
2.08	1.75	J	20.09	0	0.09	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
2.08	1.75	H	19.86	0	0.1	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
2.198	1.77	J	20.09	0	0.07	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
2.198	1.77	H	19.9	0	0.12	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
3.207	1.76	J	20.54	0	0.32	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
3.207	1.76	H	20.52	0	0.22	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
4.212	1.75	J	20.88	0	0.18	days	kiloseconds	AB	apparent	True	NaN	observer	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract	NaN	NaN	NaN	NaN	NaN
