date	time	band	instrument	integration	mag	mag_limit	dmag	seeing	date_unit	time_unit	mag_unit	dtime	reference
2000-Dec-22.208	101.9056273148148	I	Antu	3 $\times$ 300	23.0	1	NaN	1.1	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2001-Aug-14.166	336.863625	I	NOT	15 $\times$ 600	24.3	0	0.2	0.9	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2001-Sep-17.377	371.0746203703704	I	Antu	3 $\times$ 360	24.25	0	0.15	0.9	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2001-Sep-18.399	372.0966226851852	I	Antu	3 $\times$ 360	24.45	0	0.25	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2001-Sep-24.375	378.0726296296296	I	Antu	3 $\times$ 360	23.78	0	0.17	0.6	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-22.230	10.92762962962963	J	NTT	900	22.0	0	0.2	0.9	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Dec-22.125	101.82262962962965	J	Antu	1800	23.4	1	NaN	0.6	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-22.240	10.937618055555555	H	NTT	900	21.3	0	0.2	0.9	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-28.200	16.897618055555554	H	NTT	3240	22.1	1	NaN	1.3	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Dec-22.063	101.7606273148148	H	Antu	5400	22.6	0	0.35	0.6	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
2000-Sep-22.250	10.94762962962963	$K_{\rm s}$	NTT	900	19.9	0	0.1	0.8	yyyy-month-deciday	days	unspecified	NaN	https://ui.adsabs.harvard.edu/abs/2005A%26A...438..841M/abstract
