time	integration	mag	mag_limit	dmag	band	time_unit	time_frame	extinction_corrected	mag_type	mag_unit	integration_unit	instrument	dtime	reference
0.071	1.75	18.25	0	0.07	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.071	1.8	18.39	0	0.05	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.071	1.8	17.94	0	0.04	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.071	1.8	17.74	0	0.04	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.092	1.72	18.68	0	0.16	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.092	1.72	18.67	0	0.11	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.092	1.72	18.57	0	0.09	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.092	1.72	18.5	0	0.07	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.092	1.77	18.58	0	0.05	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.092	1.77	18.1	0	0.04	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.092	1.77	17.9	0	0.05	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.912	2.53	20.42	0	0.16	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.912	2.53	20.29	0	0.13	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.912	2.53	20.15	0	0.1	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.912	2.53	20.03	0	0.08	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.902	0.75	20.11	0	0.07	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.902	0.75	19.41	1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.902	0.75	19.16	1	NaN	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
3.807	1.73	22.0	0	0.34	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
3.807	1.73	22.09	0	0.27	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
3.807	1.73	21.99	0	0.28	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
3.807	1.73	21.88	0	0.28	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.917	1.79	20.2	0	0.06	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.917	1.79	19.59	0	0.1	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.917	1.79	19.54	0	0.1	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
10.85	5.33	23.46	1	NaN	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
10.85	5.33	23.32	0	0.15	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
10.85	5.33	22.99	0	0.23	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
10.85	5.33	23.17	0	0.25	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
3.808	1.78	20.96	1	NaN	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
3.808	1.78	20.03	1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
3.808	1.78	19.24	1	NaN	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
15.91	5.32	23.87	1	NaN	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
15.91	5.32	23.17	0	0.2	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
15.91	5.32	23.2	0	0.35	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
15.91	5.32	22.43	1	NaN	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
10.85	5.37	21.67	1	NaN	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
10.85	5.37	20.84	1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
10.85	5.37	19.44	1	NaN	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
18.83	7.17	23.75	1	NaN	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
18.83	7.17	23.27	0	0.3	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
18.83	7.17	22.97	0	0.32	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
18.83	7.17	22.76	0	0.31	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
15.91	5.38	21.67	1	NaN	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
15.91	5.38	20.76	1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
15.91	5.38	19.83	1	NaN	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
22.86	7.11	24.03	1	NaN	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
22.86	7.11	23.51	0	0.25	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
22.86	7.11	23.45	0	0.38	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
22.86	7.11	23.15	0	0.36	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
18.83	7.21	21.15	1	NaN	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
18.83	7.21	19.67	1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
18.83	7.21	19.62	1	NaN	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
28.89	3.53	23.29	1	NaN	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
28.89	3.53	22.78	1	NaN	r	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
28.89	3.53	22.18	1	NaN	g	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
28.89	3.53	21.12	1	NaN	z	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
22.86	7.16	21.43	1	NaN	J	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
22.86	7.16	20.69	1	NaN	H	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
22.86	7.16	20.0	1	NaN	K_{s}	days	observer	True	apparent	AB	kiloseconds	GROND	NaN	https://ui.adsabs.harvard.edu/abs/2015A%26A...577A..44O/abstract
0.0020416666666666	2.5	16.35	0	0.06	r'	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0039375	0.01	17.14	0	0.24	r'	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0043888888888888	0.01	17.41	0	0.31	r'	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0048472222222222	0.01	17.11	0	0.24	r'	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0053055555555555	0.01	17.2	0	0.26	r'	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0057569444444444	0.01	17.39	0	0.31	r'	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0062083333333333	0.01	17.28	0	0.32	r'	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0010902777777777	0.08	15.41	0	0.29	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0012638888888888	0.08	15.0	0	0.14	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0014444444444444	0.08	14.47	0	0.2	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0016527777777777	0.08	14.8	0	0.12	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0018333333333333	0.08	15.09	0	0.12	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.002	0.08	15.34	0	0.18	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0023611111111111	0.08	15.43	0	0.19	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0029236111111111	0.5	16.11	0	0.14	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0038402777777777	0.52	16.2	0	0.14	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0074166666666666	0.5	16.68	0	0.24	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0114652777777777	0.85	17.37	0	0.23	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0178263888888888	1.17	17.42	0	0.21	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0353125	1.18	17.9	0	0.31	H	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0053333333333333	0.39	16.8	0	0.18	K_{s}	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0084236111111111	0.59	17.21	0	0.19	K_{s}	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0130902777777777	1.01	17.57	0	0.17	K_{s}	days	observer	False	apparent	AB	NaN	REM	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0010486111111111	0.08	17.06	0	0.04	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0011527777777777	0.08	16.64	0	0.03	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0013194444444444	0.17	16.07	0	0.02	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0014652777777777	0.17	15.93	0	0.02	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0016180555555555	0.17	15.84	0	0.02	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0017708333333333	0.17	15.9	0	0.02	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0019166666666666	0.17	15.92	0	0.02	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0020694444444444	0.17	16.14	0	0.03	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0022222222222222	0.17	16.1	0	0.03	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.002375	0.17	16.47	0	0.04	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0025208333333333	0.17	16.51	0	0.04	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0026666666666666	0.17	16.5	0	0.04	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0028125	0.17	16.65	0	0.04	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0029583333333333	0.17	16.93	0	0.05	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0031111111111111	0.17	16.75	0	0.05	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0032569444444444	0.17	16.79	0	0.05	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0034027777777777	0.17	16.73	0	0.04	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0035555555555555	0.17	16.99	0	0.06	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0037013888888888	0.17	16.97	0	0.06	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0038472222222222	0.17	17.34	0	0.08	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0042777777777777	0.97	17.14	0	0.03	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0053055555555555	1.76	17.43	0	0.07	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0066180555555555	1.77	17.93	0	0.11	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0079305555555555	1.76	17.9	0	0.11	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0096805555555555	3.01	18.3	0	0.12	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0118611111111111	3.0	18.61	0	0.16	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0151388888888888	6.18	18.75	0	0.13	r'	days	observer	False	apparent	AB	NaN	RAPTOR	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0078958333333333	0.33	18.4	0	0.35	u	days	observer	False	apparent	AB	NaN	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0096319444444444	0.33	18.14	0	0.29	u	days	observer	False	apparent	AB	NaN	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.2907083333333333	4.92	20.34	0	0.39	u	days	observer	False	apparent	AB	NaN	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.2942222222222222	4.92	20.15	0	0.33	u	days	observer	False	apparent	AB	NaN	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.6897777777777777	6.95	20.4	0	0.35	u	days	observer	False	apparent	AB	NaN	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0098680555555555	0.16	18.19	0	0.32	b	days	observer	False	apparent	AB	NaN	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0026249999999999	0.4	16.77	0	0.16	v	days	observer	False	apparent	AB	NaN	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0029097222222222	0.42	16.87	0	0.17	v	days	observer	False	apparent	AB	NaN	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0032013888888888	0.42	17.97	0	0.35	v	days	observer	False	apparent	AB	NaN	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
0.0034930555555555	0.42	17.31	0	0.22	v	days	observer	False	apparent	AB	NaN	UVOT	NaN	https://ui.adsabs.harvard.edu/abs/2013ApJ...774..114J/abstract
