date	time	mag	mag_limit	dmag	dmag2	instrument	band	date_unit	time_frame	time_unit	mag_unit	extinction_corrected	dtime	reference
55310.5	36.30000	23.4	0	0.07	NaN	FORS2	B	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55310.5	36.30000	22.02	0	0.11	0.04	FORS2	V	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55310.5	36.30000	21.44	0	0.17	0.06	FORS2	R	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55310.5	36.30000	21.11	0	0.15	0.07	FORS2	I	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55314.5	40.10000	22.8	1	NaN	NaN	FORS2	B	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55314.5	40.10000	22.48	0	0.19	0.09	FORS2	V	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55314.5	40.10000	21.66	0	0.23	0.11	FORS2	R	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55314.5	40.10000	21.04	0	0.27	0.18	FORS2	I	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55334.5	59.00000	23.4	1	NaN	NaN	FORS2	B	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55334.5	59.00000	22.89	0	0.28	0.13	FORS2	V	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55334.5	59.00000	22.13	0	0.72	0.54	FORS2	R	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55334.5	59.00000	21.9	0	0.47	0.29	FORS2	I	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55456.8	166.50000	22.7	1	NaN	NaN	FORS2	U	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55456.8	166.50000	21.7	1	NaN	NaN	FORS2	B	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55456.8	166.50000	21.9	1	NaN	NaN	FORS2	V	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55456.8	166.50000	21.4	1	NaN	NaN	FORS2	R	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
55456.8	166.50000	21.3	1	NaN	NaN	FORS2	I	MJD	observer	days	Vega	False	NaN	https://ui.adsabs.harvard.edu/abs/2012ApJ...753...67B/abstract
NaN	8.65000	21.86	0	0.06	NaN	HST	F336W	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	15.81000	22.8	0	0.08	NaN	HST	F336W	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	24.86000	23.56	0	0.11	NaN	HST	F336W	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	47.34000	24.05	0	0.14	NaN	HST	F336W	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	8.66300	19.5	0	0.01	NaN	HST	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	15.82200	19.81	0	0.01	NaN	HST	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	24.86900	20.52	0	0.02	NaN	HST	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	47.35200	21.63	0	0.03	NaN	HST	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	137.49000	23.07	0	0.08	NaN	HST	V	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	8.67500	19.0	0	0.01	NaN	HST	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	15.84400	19.12	0	0.01	NaN	HST	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	24.88100	19.59	0	0.01	NaN	HST	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	47.37000	20.87	0	0.02	NaN	HST	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	137.51800	22.7	0	0.06	NaN	HST	i	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	8.72000	19.89	0	0.07	NaN	HST	F125W	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	15.87000	20.09	0	0.07	NaN	HST	F125W	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	25.48000	20.1	0	0.07	NaN	HST	F125W	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	8.73000	19.93	0	0.08	NaN	HST	F160W	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	15.88000	20.18	0	0.08	NaN	HST	F160W	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	25.52000	20.32	0	0.07	NaN	HST	F160W	NaN	observer	days	AB	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	0.59800	20.45	0	0.03	NaN	GS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	11.01500	19.33	0	0.02	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	3.48900	20.53	0	0.01	NaN	GS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	11.98500	19.32	0	0.04	NaN	FTS	R_c	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
NaN	5.46700	20.22	0	0.01	NaN	GS	B	NaN	observer	days	Vega	True	NaN	https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract
