date	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit	dtime	instrument	reference	integration	seeing
2002-Apr-7.381	R	21.32	0	0.06	yyyy-month-deciday	Vega	2.3522256944444444	days	NaN	1.54D DFOSC	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	600	1.2
2002-Apr-8.280	V	22.49	0	0.02	yyyy-month-deciday	Vega	3.25121875	days	NaN	NTT SUSI2	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	10\times60	0.8
2002-Apr-8.294	R	22.09	0	0.03	yyyy-month-deciday	Vega	3.2652233796296297	days	NaN	NTT SUSI2	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	10\times60	0.8
2002-Apr-8.310	I	21.44	0	0.02	yyyy-month-deciday	Vega	3.281230324074074	days	NaN	NTT SUSI2	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	5 \times 60+3 \times300	0.8
2002-Apr-9.205	R	22.23	0	0.04	yyyy-month-deciday	Vega	4.176230324074074	days	NaN	NTT EMMI	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	2\times 300	1.0
2002-Apr-9.194	V	22.76	0	0.06	yyyy-month-deciday	Vega	4.16522337962963	days	NaN	NTT EMMI	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	2\times 300	1.0
2002-Apr-9.215	I	21.7	0	0.06	yyyy-month-deciday	Vega	4.18621875	days	NaN	NTT EMMI	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	2\times 300	1.0
2002-Apr-12.097	V	23.59	0	0.04	yyyy-month-deciday	Vega	7.068221064814815	days	NaN	Yepun FORS2	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	3\times180	0.7
2002-Apr-12.107	R	23.09	0	0.04	yyyy-month-deciday	Vega	7.078221064814815	days	NaN	Yepun FORS2	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	3\times180	0.7
2002-Apr-15.238	V	23.99	0	0.07	yyyy-month-deciday	Vega	10.20922800925926	days	NaN	Melipal FORS1	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	2\times180	0.7
2002-Apr-15.244	R	23.36	0	0.04	yyyy-month-deciday	Vega	10.215223379629627	days	NaN	Melipal FORS1	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	2\times180	0.6
2002-Apr-15.250	I	22.53	0	0.06	yyyy-month-deciday	Vega	10.221230324074076	days	NaN	Melipal FORS1	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	2\times180	0.6
2002-Apr-27.193	J_{s}	22.4	0	0.1	yyyy-month-deciday	Vega	22.16422800925925	days	NaN	Antu ISAAC	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	3600	0.5
2002-May-8.193	J_{s}	22.7	1	NaN	yyyy-month-deciday	Vega	33.16422800925926	days	NaN	Antu ISAAC	https://ui.adsabs.harvard.edu/abs/2003A%26A...404..465M/abstract	3600	0.6
