time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
0.604	18.96	0	0.07	H	GROND	days	AB	apparent	observer	False	NaN
0.604	18.6	0	0.16	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.613	20.23	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.613	19.92	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.613	19.72	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.613	19.51	0	0.022	z	GROND	days	AB	apparent	observer	False	NaN
0.613	19.23	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.613	19.05	0	0.08	H	GROND	days	AB	apparent	observer	False	NaN
0.613	19.0	0	0.21	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.622	20.25	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.622	19.92	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.622	19.73	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.622	19.52	0	0.022	z	GROND	days	AB	apparent	observer	False	NaN
0.622	19.21	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.622	18.94	0	0.07	H	GROND	days	AB	apparent	observer	False	NaN
0.622	18.55	0	0.14	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.631	20.28	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.631	19.95	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.631	19.77	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.631	19.56	0	0.023	z	GROND	days	AB	apparent	observer	False	NaN
0.631	19.25	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.631	19.08	0	0.09	H	GROND	days	AB	apparent	observer	False	NaN
0.631	18.6	0	0.14	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.64	20.28	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.64	19.98	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.64	19.78	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.64	19.6	0	0.022	z	GROND	days	AB	apparent	observer	False	NaN
0.64	19.32	0	0.05	J	GROND	days	AB	apparent	observer	False	NaN
0.64	19.05	0	0.07	H	GROND	days	AB	apparent	observer	False	NaN
0.64	18.52	0	0.14	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.648	20.31	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.648	19.99	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.648	19.77	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.648	19.56	0	0.021	z	GROND	days	AB	apparent	observer	False	NaN
0.648	19.4	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.648	19.12	0	0.08	H	GROND	days	AB	apparent	observer	False	NaN
0.648	18.85	0	0.17	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.657	20.3	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.657	19.99	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.657	19.79	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.657	19.62	0	0.021	z	GROND	days	AB	apparent	observer	False	NaN
0.657	19.29	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.657	19.1	0	0.08	H	GROND	days	AB	apparent	observer	False	NaN
0.657	18.7	0	0.15	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.666	20.36	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.666	20.01	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.666	19.85	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.666	19.61	0	0.023	z	GROND	days	AB	apparent	observer	False	NaN
0.666	19.34	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.666	19.03	0	0.07	H	GROND	days	AB	apparent	observer	False	NaN
0.666	18.66	0	0.15	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.675	20.33	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.675	20.04	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.675	19.81	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.675	19.62	0	0.021	z	GROND	days	AB	apparent	observer	False	NaN
0.675	19.37	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.675	19.14	0	0.08	H	GROND	days	AB	apparent	observer	False	NaN
0.675	18.55	0	0.13	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.684	20.37	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.684	20.05	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.684	19.85	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.684	19.65	0	0.018	z	GROND	days	AB	apparent	observer	False	NaN
0.684	19.47	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.684	19.16	0	0.07	H	GROND	days	AB	apparent	observer	False	NaN
0.684	18.47	0	0.12	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.693	20.37	0	0.01	g	GROND	days	AB	apparent	observer	False	NaN
0.693	20.05	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.693	19.87	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.693	19.68	0	0.022	z	GROND	days	AB	apparent	observer	False	NaN
0.693	19.48	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.693	19.16	0	0.07	H	GROND	days	AB	apparent	observer	False	NaN
0.693	18.79	0	0.16	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.702	20.36	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.702	20.06	0	0.01	r	GROND	days	AB	apparent	observer	False	NaN
0.702	19.88	0	0.02	g	GROND	days	AB	apparent	observer	False	NaN
0.702	19.68	0	0.023	z	GROND	days	AB	apparent	observer	False	NaN
0.702	19.49	0	0.06	J	GROND	days	AB	apparent	observer	False	NaN
0.702	19.22	0	0.07	H	GROND	days	AB	apparent	observer	False	NaN
0.702	18.91	0	0.16	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.709	19.5	0	0.09	J	GROND	days	AB	apparent	observer	False	NaN
0.709	19.33	0	0.11	H	GROND	days	AB	apparent	observer	False	NaN
0.709	18.82	0	0.19	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.714	19.47	0	0.09	J	GROND	days	AB	apparent	observer	False	NaN
0.714	19.26	0	0.12	H	GROND	days	AB	apparent	observer	False	NaN
0.714	19.03	0	0.26	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.719	19.59	0	0.1	J	GROND	days	AB	apparent	observer	False	NaN
0.719	19.16	0	0.1	H	GROND	days	AB	apparent	observer	False	NaN
0.719	18.75	0	0.18	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.724	19.36	0	0.1	J	GROND	days	AB	apparent	observer	False	NaN
0.724	19.15	0	0.1	H	GROND	days	AB	apparent	observer	False	NaN
0.724	18.72	0	0.18	K_{s}	GROND	days	AB	apparent	observer	False	NaN
0.728	19.58	0	0.18	J	GROND	days	AB	apparent	observer	False	NaN
0.728	19.24	0	0.11	H	GROND	days	AB	apparent	observer	False	NaN
0.728	18.97	0	0.23	K_{s}	GROND	days	AB	apparent	observer	False	NaN
1.7	21.63	0	0.05	g	GROND	days	AB	apparent	observer	False	NaN
1.7	21.32	0	0.03	r	GROND	days	AB	apparent	observer	False	NaN
1.7	21.09	0	0.06	g	GROND	days	AB	apparent	observer	False	NaN
1.7	20.81	0	0.07	z	GROND	days	AB	apparent	observer	False	NaN
1.7	20.73	0	0.18	J	GROND	days	AB	apparent	observer	False	NaN
1.7	20.51	0	0.23	H	GROND	days	AB	apparent	observer	False	NaN
1.7	19.96	0	0.31	K_{s}	GROND	days	AB	apparent	observer	False	NaN
2.626	22.37	0	0.05	g	GROND	days	AB	apparent	observer	False	NaN
2.626	22.01	0	0.04	r	GROND	days	AB	apparent	observer	False	NaN
2.626	21.72	0	0.06	g	GROND	days	AB	apparent	observer	False	NaN
2.626	21.59	0	0.07	z	GROND	days	AB	apparent	observer	False	NaN
2.626	21.6	1	NaN	J	GROND	days	AB	apparent	observer	False	NaN
2.626	21.15	1	NaN	H	GROND	days	AB	apparent	observer	False	NaN
2.626	19.93	1	NaN	K_{s}	GROND	days	AB	apparent	observer	False	NaN
3.707	23.25	0	0.27	g	GROND	days	AB	apparent	observer	False	NaN
3.707	22.65	0	0.12	r	GROND	days	AB	apparent	observer	False	NaN
3.707	22.01	0	0.18	g	GROND	days	AB	apparent	observer	False	NaN
3.707	22.41	0	0.26	z	GROND	days	AB	apparent	observer	False	NaN
3.707	21.27	1	NaN	J	GROND	days	AB	apparent	observer	False	NaN
3.707	20.76	1	NaN	H	GROND	days	AB	apparent	observer	False	NaN
3.707	20.14	1	NaN	K_{s}	GROND	days	AB	apparent	observer	False	NaN
5.686	23.73	0	0.09	g	GROND	days	AB	apparent	observer	False	NaN
5.686	23.2	0	0.06	r	GROND	days	AB	apparent	observer	False	NaN
5.686	22.69	0	0.09	g	GROND	days	AB	apparent	observer	False	NaN
5.686	22.51	0	0.09	z	GROND	days	AB	apparent	observer	False	NaN
5.686	21.65	1	NaN	J	GROND	days	AB	apparent	observer	False	NaN
5.686	21.15	1	NaN	H	GROND	days	AB	apparent	observer	False	NaN
5.686	20.09	1	NaN	K_{s}	GROND	days	AB	apparent	observer	False	NaN
7.675	24.08	0	0.16	g	GROND	days	AB	apparent	observer	False	NaN
7.675	23.68	0	0.11	r	GROND	days	AB	apparent	observer	False	NaN
7.675	23.02	0	0.15	g	GROND	days	AB	apparent	observer	False	NaN
7.675	22.95	0	0.17	z	GROND	days	AB	apparent	observer	False	NaN
7.675	21.64	1	NaN	J	GROND	days	AB	apparent	observer	False	NaN
7.675	21.16	1	NaN	H	GROND	days	AB	apparent	observer	False	NaN
7.675	20.04	1	NaN	K_{s}	GROND	days	AB	apparent	observer	False	NaN
18.654	24.54	0	0.3	g	GROND	days	AB	apparent	observer	False	NaN
18.654	24.08	0	0.16	r	GROND	days	AB	apparent	observer	False	NaN
18.654	23.27	0	0.13	g	GROND	days	AB	apparent	observer	False	NaN
18.654	22.95	0	0.1	z	GROND	days	AB	apparent	observer	False	NaN
18.654	22.35	1	NaN	J	GROND	days	AB	apparent	observer	False	NaN
18.654	21.8	1	NaN	H	GROND	days	AB	apparent	observer	False	NaN
18.654	20.89	1	NaN	K_{s}	GROND	days	AB	apparent	observer	False	NaN
25.669	24.96	0	0.23	g	GROND	days	AB	apparent	observer	False	NaN
25.669	24.17	0	0.12	r	GROND	days	AB	apparent	observer	False	NaN
25.669	23.61	0	0.18	g	GROND	days	AB	apparent	observer	False	NaN
25.669	23.29	0	0.16	z	GROND	days	AB	apparent	observer	False	NaN
25.669	22.26	1	NaN	J	GROND	days	AB	apparent	observer	False	NaN
25.669	21.78	1	NaN	H	GROND	days	AB	apparent	observer	False	NaN
25.669	20.91	1	NaN	K_{s}	GROND	days	AB	apparent	observer	False	NaN
59.538	25.12	0	0.26	g	GROND	days	AB	apparent	observer	False	NaN
59.538	24.33	0	0.13	r	GROND	days	AB	apparent	observer	False	NaN
59.538	23.72	0	0.21	g	GROND	days	AB	apparent	observer	False	NaN
59.538	23.4	0	0.21	z	GROND	days	AB	apparent	observer	False	NaN
59.538	22.23	1	NaN	J	GROND	days	AB	apparent	observer	False	NaN
59.538	21.82	1	NaN	H	GROND	days	AB	apparent	observer	False	NaN
59.538	20.52	1	NaN	K_{s}	GROND	days	AB	apparent	observer	False	NaN
89.434	25.5	0	0.31	g	GROND	days	AB	apparent	observer	False	NaN
89.434	24.4	0	0.18	r	GROND	days	AB	apparent	observer	False	NaN
89.434	24.01	0	0.22	g	GROND	days	AB	apparent	observer	False	NaN
89.434	23.29	0	0.15	z	GROND	days	AB	apparent	observer	False	NaN
89.434	22.28	1	NaN	J	GROND	days	AB	apparent	observer	False	NaN
89.434	21.68	1	NaN	H	GROND	days	AB	apparent	observer	False	NaN
89.434	20.6	1	NaN	K_{s}	GROND	days	AB	apparent	observer	False	NaN
1499.564	25.16	0	0.17	g	GROND	days	AB	apparent	observer	False	NaN
1499.564	24.52	0	0.12	r	GROND	days	AB	apparent	observer	False	NaN
1499.564	24.04	0	0.14	g	GROND	days	AB	apparent	observer	False	NaN
1499.564	23.8	0	0.2	z	GROND	days	AB	apparent	observer	False	NaN
1499.564	22.34	1	NaN	J	GROND	days	AB	apparent	observer	False	NaN
1499.564	21.84	1	NaN	H	GROND	days	AB	apparent	observer	False	NaN
1499.564	20.74	1	NaN	K_{s}	GROND	days	AB	apparent	observer	False	NaN
