date	time	instrument	band	integration	mag	mag_limit	dmag	dmag2	date_unit	time_unit	time_frame	integration_time	mag_unit	mag_type	extinction_corrected	dtime	reference	flux	dflux	integration_unit	flux_unit
56040.089	0.78840	GROND	r'	8x369	22.12	0	0.08	0.08	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56040.161	0.86061	P60	r'	900	22.28	0	0.1	0.1	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56040.888	1.58720	NOT/MOSCA	r'	4x300	22.28	0	0.08	0.08	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56041.068	1.76691	GROND	r'	16x115	22.34	0	0.09	0.09	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56041.104	1.80337	GROND	r'	16x115	22.47	0	0.12	0.12	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56041.949	2.64880	NOT/MOSCA	r'	12x300	22.23	0	0.06	0.06	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56042.938	3.63700	NOT/ALFOSC	r'	24x150	22.07	0	0.06	0.06	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56043.247	3.94664	Gemini/GMOS	r'	1x100	22.12	0	0.06	0.06	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56048.018	8.71728	GROND	r'	8x369	21.48	0	0.05	0.05	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56048.967	9.66670	NOT/StanCAM	R	8x150	21.45	0	0.1	0.1	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56050.011	10.71016	GROND	r'	8x369	21.33	0	0.04	0.04	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56052.958	13.65712	Gemini/GMOS	r'	1x30	21.41	0	0.1	0.1	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56053.886	14.58560	NOT/StanCAM	R	12x150	21.25	0	0.06	0.06	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56053.972	14.67108	GTC/OSIRIS	r'	1x100	21.37	0	0.14	0.14	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56054.258	14.95755	Gemini/GMOS	r'	1x30	21.26	0	0.05	0.05	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56056.895	17.59490	NOT/ALFOSC	r'	8x150	21.23	0	0.07	0.07	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56059.032	19.73145	Gemini/GMOS	r'	1x120	21.27	0	0.05	0.05	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56059.005	19.70420	GROND	r'	8x369	21.21	0	0.04	0.04	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56061.962	22.66105	Gemini/GMOS	r'	1x30	21.32	0	0.06	0.06	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56063.912	24.61170	NOT/ALFOSC	r'	15x90	21.36	0	0.08	0.08	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56065.897	26.59600	NOT/MOSCA	r'	16x90	21.48	0	0.05	0.05	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56065.968	26.66782	Gemini/GMOS	r'	1x100	21.51	0	0.04	0.04	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56066.028	26.72720	Magellan/LDSS3	r'	3x180	21.55	0	0.04	0.04	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56067.938	28.63729	GROND	r'	4x369	21.65	0	0.04	0.04	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56067.957	28.65610	NOT/MOSCA	r'	15x90	21.54	0	0.08	0.08	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56067.979	28.67800	DuPont/CCD	r'	4x500	21.58	0	0.05	0.05	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
56069.966	30.66538	Gemini/GMOS	r'	1x100	21.73	0	0.04	0.04	MJD	days	observer	seconds	AB	apparent	True	NaN	https://ui.adsabs.harvard.edu/abs/2014A%26A...566A.102S/abstract	NaN	NaN	NaN	NaN
