date	time	instrument	band	integration	mag	mag_limit	dmag	dmag2	date_unit	time_unit	time_frame	integration_time	mag_unit	mag_type	extinction_corrected	dtime
56039.339	3328.3	Swift/UVOT	b	451.6	20.93	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.539	20641.6	Swift/UVOT	b	1523.7	21.46	0	0.39	0.28	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.652	116790.9	Swift/UVOT	b	1444	21.58	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56061.463	1914851.0	Swift/UVOT	b	7250.3	22.05	0	0.36	0.27	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56093.296	4665241.0	Swift/UVOT	b	449.7	20.33	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.302	90.4	Swift/UVOT	v	9	17.52	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.311	912.0	Swift/UVOT	v	77.7	18.83	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.541	20785.9	Swift/UVOT	v	1607.4	20.28	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.111	156431.0	Swift/UVOT	v	1282.9	20.27	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56093.3	4665526.0	Swift/UVOT	v	449.8	19.17	1	NaN	NaN	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.99	59563.0	GROND	g'	4x115	22.21	0	0.1	0.1	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.015	61702.0	GROND	g'	4x369	22.12	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.036	63556.0	GROND	g'	4x369	22.15	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.04	63883.0	Gemini/GMOS	g'	1x60	22.22	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.057	65383.0	GROND	g'	4x369	22.11	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.089	68118.0	GROND	g'	8x369	22.18	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.173	75361.0	P60	g'	900	22.14	0	0.1	0.1	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.067	152661.0	GROND	g'	16x115	22.59	0	0.1	0.1	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.104	155811.0	GROND	g'	16x115	22.79	0	0.16	0.16	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56043.239	340286.0	Gemini/GMOS	g'	1x100	22.86	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56048.018	753173.0	GROND	g'	8x369	22.38	0	0.1	0.1	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56050.011	925358.0	GROND	g'	8x369	22.35	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56053.969	1267371.0	GTC/OSIRIS	g'	1x100	22.14	0	0.11	0.11	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56054.249	1291574.0	Gemini/GMOS	g'	1x30	22.16	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56059.005	1702443.0	GROND	g'	8x369	22.22	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56059.02	1703734.0	Gemini/GMOS	g'	1x120	22.19	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56067.938	2474262.0	GROND	g'	4x369	22.82	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56078.217	3362396.0	GROND	g'	24x115	23.29	0	0.2	0.2	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.414	9793.0	Gemini/GMOS	r'	1x60	21.11	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.99	59563.0	GROND	r'	4x115	22.19	0	0.14	0.14	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.015	61702.0	GROND	r'	4x369	22.17	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.036	63556.0	GROND	r'	4x369	22.02	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.047	64459.0	Gemini/GMOS	r'	1x60	22.1	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.057	65383.0	GROND	r'	4x369	22.22	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.089	68118.0	GROND	r'	8x369	22.12	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.161	74357.0	P60	r'	900	22.28	0	0.1	0.1	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.888	137134.0	NOT/MOSCA	r'	4x300	22.28	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.068	152661.0	GROND	r'	16x115	22.34	0	0.09	0.09	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.104	155811.0	GROND	r'	16x115	22.47	0	0.12	0.12	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.949	228856.0	NOT/MOSCA	r'	12x300	22.23	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56042.938	314237.0	NOT/ALFOSC	r'	24x150	22.07	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56043.247	340990.0	Gemini/GMOS	r'	1x100	22.12	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56048.018	753173.0	GROND	r'	8x369	21.48	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56048.967	835203.0	NOT/StanCAM	R	8x150	21.45	0	0.1	0.1	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56050.011	925358.0	GROND	r'	8x369	21.33	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56052.958	1179975.0	Gemini/GMOS	r'	1x30	21.41	0	0.1	0.1	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56053.886	1260196.0	NOT/StanCAM	R	12x150	21.25	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56053.972	1267581.0	GTC/OSIRIS	r'	1x100	21.37	0	0.14	0.14	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56054.258	1292332.0	Gemini/GMOS	r'	1x30	21.26	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56056.895	1520199.0	NOT/ALFOSC	r'	8x150	21.23	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56059.032	1704797.0	Gemini/GMOS	r'	1x120	21.27	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56059.005	1702443.0	GROND	r'	8x369	21.21	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56061.962	1957915.0	Gemini/GMOS	r'	1x30	21.32	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56063.912	2126451.0	NOT/ALFOSC	r'	15x90	21.36	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56065.897	2297894.0	NOT/MOSCA	r'	16x90	21.48	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56065.968	2304100.0	Gemini/GMOS	r'	1x100	21.51	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56066.028	2309230.0	Magellan/LDSS3	r'	3x180	21.55	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56067.938	2474262.0	GROND	r'	4x369	21.65	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56067.957	2475887.0	NOT/MOSCA	r'	15x90	21.54	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56067.979	2477779.0	DuPont/CCD	r'	4x500	21.58	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56069.966	2649489.0	Gemini/GMOS	r'	1x100	21.73	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56069.902	2643961.0	NOT/MOSCA	r'	15x90	21.79	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56070.957	2735091.0	Gemini/GMOS	r'	1x100	21.77	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56071.907	2817199.0	NOT/ALFOSC	r'	10x90	21.96	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56078.217	3362396.0	GROND	r'	24x115	22.43	0	0.11	0.11	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56079.955	3512502.0	Gemini/GMOS	r'	1x30	22.41	0	0.11	0.11	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56083.915	3854715.0	NOT/ALFOSC	r'	20x90	22.39	0	0.47	0.47	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.322	1880.0	Gemini/GMOS	i'	1x240	20.93	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.896	51451.0	NOT/MOSCA	I	12x300	22.19	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.99	59563.0	GROND	i'	4x115	22.01	0	0.18	0.18	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.015	61702.0	GROND	i'	4x369	22.13	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.036	63556.0	GROND	i'	4x369	22.27	0	0.1	0.1	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.047	64459.0	Gemini/GMOS	i'	1x60	22.16	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.078	67209.0	GROND	i'	12x369	22.32	0	0.09	0.09	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.149	73289.0	P60	i'	900	22.23	0	0.17	0.17	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.871	135683.0	NOT/MOSCA	i'	4x300	22.48	0	0.12	0.12	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.067	152661.0	GROND	i'	16x115	22.5	0	0.16	0.16	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.104	155811.0	GROND	i'	16x115	22.59	0	0.19	0.19	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.924	226705.0	NOT/MOSCA	i'	6x300	22.37	0	0.13	0.13	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56042.866	308045.0	GTC/OSIRIS	i'	1x10	22.33	0	0.14	0.14	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56042.885	309735.0	NOT/ALFOSC	i'	13x300	22.35	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56043.255	341689.0	Gemini/GMOS	i'	1x100	22.29	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56043.874	395133.0	NOT/ALFOSC	i'	12x150	22.18	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56047.89	742159.0	NOT/ALFOSC	i'	3150a	21.56	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56048.018	753173.0	GROND	i'	8x369	21.56	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56048.987	836905.0	NOT/StanCam	ii	8x150	21.52	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56050.011	925358.0	GROND	i'	8x369	21.49	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56053.916	1262736.0	NOT/StanCAM	ii	12x150	21.34	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56053.903	1261613.0	GTC/OSIRIS	i'	1x100	21.2	0	0.09	0.09	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56063.974	1267805.0	GTC/OSIRIS	i'	1x100	21.27	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56054.163	1284132.0	P60	i'	1800	21.21	0	0.14	0.14	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56054.264	1292809.0	Gemini/GMOS	i'	1x30	21.29	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56055.175	1371560.0	P60	i'	3600	21.26	0	0.11	0.11	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56055.884	1432840.0	NOT/StanCAM	ii	8x150	21.35	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56058.889	1692472.0	NOT/ALFOSC	i'	11x150	21.32	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56059.005	1702443.0	GROND	i'	8x369	21.27	0	0.03	0.03	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56059.005	1702494.0	Gemini/GMOS	i'	1x120	21.24	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56061.176	1890072.0	P60	i'	3240	21.22	0	0.14	0.14	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56062.181	1976858.0	P60	i'	3600	21.27	0	0.15	0.15	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56062.886	2037796.0	NOT/ALFOSC	i'	15x90	21.46	0	0.22	0.22	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56063.18	2063213.0	P60	i'	3600	21.33	0	0.1	0.1	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56063.891	2124602.0	NOT/ALFOSC	i'	10x120	21.41	0	0.17	0.17	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56065.921	2300003.0	NOT/MOSCA	i'	10x120	21.29	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56066.04	2310267.0	Magellan/LDSS3	i'	3x180	21.33	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56067.934	2473900.0	NOT/MOSCA	i'	10x120	21.35	0	0.05	0.05	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56067.938	2474262.0	GROND	i'	4x369	21.47	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56068.014	2480838.0	DuPont/CCD	i'	4x500	21.41	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56068.923	2559358.0	NOT/MOSCA	i'	19x60	21.39	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56069.1911	2582542.0	P60	i'	720	21.5	0	0.09	0.09	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56070.0313	2655131.0	Magellan/LDSS3	i'	3x300	21.4	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56070.1766	2667689.0	P60	i'	2340	21.59	0	0.15	0.15	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56070.9694	2736187.0	Gemini/GMOS	i'	1x120	21.62	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56071.8946	2816120.0	NOT/ALFOSC	i'	13x90	21.63	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56076.8994	3248536.0	NOT/ALFOSC	i'	20x90	21.98	0	0.09	0.09	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56078.2172	3362396.0	GROND	i'	24x115	22.06	0	0.12	0.12	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56079.8939	3507261.0	NOT/ALFOSC	i'	30x90	22.08	0	0.11	0.11	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56083.8841	3852020.0	NOT/ALFOSC	i'	20x90	22.15	0	0.21	0.21	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.99	59563.0	GROND	z'	4x115	22.01	0	0.2	0.2	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.036	63541.0	GROND	z'	12x369	22.09	0	0.11	0.11	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.0599	65605.0	Gemini/GMOS	z'	1x60	22.16	0	0.11	0.11	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.089	68118.0	GROND	z'	8x369	22.37	0	0.17	0.17	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.0675	152661.0	GROND	z'	8x369	22.17	0	0.16	0.16	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56041.1039	155811.0	GROND	z'	8x369	22.28	0	0.27	0.27	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56043.2633	342383.0	Gemini/GMOS	z'	1x100	22.59	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56048.0179	753173.0	GROND	z'	8x369	21.86	0	0.15	0.15	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56049.8781	913895.0	CAHA/Omega2000	z'	20x90	21.93	0	0.08	0.08	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56050.0107	925358.0	GROND	z'	8x369	21.78	0	0.12	0.12	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56052.2596	1119664.0	UKIRT/WFCAM	z'	4x360	21.44	0	0.13	0.13	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56053.977	1268047.0	GTC/OSIRIS	z'	3x70	21.58	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56054.2708	1293429.0	Gemini/GMOS	z'	1x30	21.63	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56058.9733	1699722.0	Gemini/GMOS	z'	1x120	21.48	0	0.04	0.04	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56059.0048	1702443.0	GROND	z'	8x369	21.48	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56067.9101	2471861.0	NOT/MOSCA	z'	12x120	21.74	0	0.15	0.15	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56067.9379	2474262.0	GROND	z'	4x369	21.62	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56068.897	2557129.0	NOT/MOSCA	z'	13x120	21.59	0	0.12	0.12	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56070.9776	2736894.0	Gemini/GMOS	z'	1x120	21.86	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56078.2172	3362396.0	GROND	z'	24x115	21.81	0	0.12	0.12	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56049.9204	917552.0	CAHA/Omega2000	Y	20x90	21.93	0	0.17	0.17	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.3537	4589.0	UKIRT/WFCAM	J	360	20.2	0	0.06	0.06	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.359	5048.0	UKIRT/WFCAM	J	360	20.33	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.3644	5514.0	UKIRT/WFCAM	J	360	20.36	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.3698	5979.0	UKIRT/WFCAM	J	360	20.41	0	0.07	0.07	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56048.9026	829616.0	CAHA/Omega2000	J	60x60	21.6	0	0.17	0.17	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56049.9727	922069.0	CAHA/Omega2000	J	30x60	21.83	0	0.2	0.2	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56052.2354	1117569.0	UKIRT/WFCAM	J	4x360	21.75	0	0.24	0.24	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56054.2834	1294514.0	Gemini-N/NIRI	J	1x60	21.96	0	0.11	0.11	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56065.2816	2244761.0	UKIRT/WFCAM	J	6x360	21.9	0	0.15	0.15	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56049.1898	854426.0	P200/WIRC	J	15x240	21.68	0	0.16	0.16	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.3757	6493.0	UKIRT/WFCAM	H	360	20.29	0	0.09	0.09	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.3812	6963.0	UKIRT/WFCAM	H	360	20.32	0	0.09	0.09	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.3866	7432.0	UKIRT/WFCAM	H	360	20.51	0	0.11	0.11	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56039.3919	7894.0	UKIRT/WFCAM	H	360	20.34	0	0.1	0.1	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56040.3685	92266.0	UKIRT/WFCAM	H	4x360	21.65	0	0.42	0.42	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56042.3348	262155.0	UKIRT/WFCAM	H	4x360	22.29	0	0.31	0.31	MJD	seconds	observer	seconds	AB	apparent	True	NaN
56054.2376	1290555.0	Gemini-N/NIRI	K	1x60	21.46	0	0.14	0.14	MJD	seconds	observer	seconds	AB	apparent	True	NaN
