date	instrument	band	mag	mag_limit	dmag	date_unit	mag_type	mag_unit	time_frame	extinction_corrected	time	time_unit	dtime	reference	dmag2
1997-Mar-26	HST_WFC2	R_{c}	25.17	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	25.876377314814818	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...523..593C/abstract	NaN
1997-Mar-26	HST_WFC2	I_{c}	23.94	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	25.876377314814818	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...523..593C/abstract	NaN
1997-Apr-07	HST_WFC2	V	26.52	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	37.87637731481482	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...523..593C/abstract	NaN
1997-Apr-07	HST_WFC2	R_{c}	25.52	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	37.87637731481482	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...523..593C/abstract	NaN
1997-Apr-07	HST_WFC2	I_{c}	24.31	0	NaN	yyyy-month-deciday	apparent	AB	observer	True	37.87637731481482	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...523..593C/abstract	NaN
1997-Feb-28.81	RAO	R_{c}	20.5	0	0.5	yyyy-month-deciday	apparent	unspecified	observer	False	0.6863657407407409	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	0.5
1997-Feb-28.83	BUT	R_{c}	21.7	0	0.5	yyyy-month-deciday	apparent	unspecified	observer	False	0.7063657407407409	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	0.3
1997-Feb-28.99	WHT	R_{c}	20.9	0	0.14	yyyy-month-deciday	apparent	unspecified	observer	False	0.8663657407407408	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	0.14
1997-Mar-1.79	BUT	R_{c}	22.2	1	NaN	yyyy-month-deciday	apparent	unspecified	observer	False	1.6663773148148149	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	NaN
1997-Mar-3.10	APO	R_{c}	22.3	0	0.8	yyyy-month-deciday	apparent	unspecified	observer	False	2.976458333333333	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	0.8
1997-Mar-4.86	NOT	R_{c}	23.4	1	NaN	yyyy-month-deciday	apparent	unspecified	observer	False	4.736377314814815	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	NaN
1997-Mar-6.32	Keck	R_{c}	24.1	0	0.5	yyyy-month-deciday	apparent	unspecified	observer	False	6.196377314814815	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	0.4
1997-Mar-8.88	INT+WHT	R_{c}	22.7	1	NaN	yyyy-month-deciday	apparent	unspecified	observer	False	8.756377314814815	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	NaN
1997-Mar-9.9	INT	R_{c}	24.6	0	0.7	yyyy-month-deciday	apparent	unspecified	observer	False	9.776400462962965	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	0.4
1997-Mar-13.00	NTT	R_{c}	25.1	0	1.3	yyyy-month-deciday	apparent	unspecified	observer	False	12.876377314814816	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	0.6
1997-Mar-26.2	HST	R_{c}	25.17	0	0.13	yyyy-month-deciday	apparent	unspecified	observer	False	26.07636574074074	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	0.13
1997-Mar-7.23	HST	R_{c}	25.5	0	0.13	yyyy-month-deciday	apparent	unspecified	observer	False	7.106377314814814	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	0.13
1997-Sep-4.71	HST	R_{c}	27.25	0	0.27	yyyy-month-deciday	apparent	unspecified	observer	False	188.58638888888888	days	NaN	https://ui.adsabs.harvard.edu/abs/1997Natur.387..479G/abstract	0.27
1997-Mar-26	HST/WFPC2	F606W/V	26.05	0	0.07	yyyy-month-deciday	apparent	AB	observer	True	25.876377314814818	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...516..683F/abstract	NaN
1997-Mar-26	HST/WFPC2	F814W/I	24.1	0	0.07	yyyy-month-deciday	apparent	AB	observer	True	25.876377314814818	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...516..683F/abstract	NaN
1997-Apr-7	HST/WFPC2	F606W/V	26.35	0	0.1	yyyy-month-deciday	apparent	AB	observer	True	37.87637731481482	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...516..683F/abstract	NaN
1997-Apr-7	HST/WFPC2	F814W/I	24.65	0	0.1	yyyy-month-deciday	apparent	AB	observer	True	37.87637731481482	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...516..683F/abstract	NaN
1997-Sep-4	HST/STIS	50CCD/V	28.0	0	0.25	yyyy-month-deciday	apparent	AB	observer	True	187.8763888888889	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...516..683F/abstract	NaN
1998-Feb-24	HST/NICMOS2	F160W/H	25.9	1	NaN	yyyy-month-deciday	apparent	AB	observer	True	360.87638888888887	days	NaN	https://ui.adsabs.harvard.edu/abs/1999ApJ...516..683F/abstract	NaN
