date	time	band	integration	instrument	mag	dmag	date_unit	time_unit	mag_unit
2003-Jul-27.232	3.962	B	300	VLT/FORS1	24.57	0.10	yyyy-month-deciday	days	Unspecified
2003-Jul-27.236	3.966	V	300	VLT/FORS1	24.04	0.06	yyyy-month-deciday	days	Unspecified
2003-Jul-27.241	3.971	V	300	VLT/FORS1	24.12	0.12	yyyy-month-deciday	days	Unspecified
2003-Jul-27.245	3.975	R	300	VLT/FORS1	23.64	0.05	yyyy-month-deciday	days	Unspecified
2003-Jul-27.249	3.979	R	300	VLT/FORS1	23.56	0.05	yyyy-month-deciday	days	Unspecified
2003-Jul-27.255	3.985	i	300	VLT/FORS1	23.08	0.08	yyyy-month-deciday	days	Unspecified
2003-Jul-27.260	3.990	i	300	VLT/FORS1	23.08	0.08	yyyy-month-deciday	days	Unspecified
2003-Jul-29.150	5.880	R	300	VLT/FORS1	24.63	0.13	yyyy-month-deciday	days	Unspecified
2003-Jul-29.154	5.884	R	300	VLT/FORS1	24.38	0.11	yyyy-month-deciday	days	Unspecified
2003-Jul-29.158	5.888	R	300	VLT/FORS1	24.62	0.13	yyyy-month-deciday	days	Unspecified
2003-Jul-31.100	7.830	R	6\times300	VLT/FORS2	25.00	0.14	yyyy-month-deciday	days	Unspecified
2003-Aug-3.240	10.970	R	12\times300	VLT/FORS2	25.16	0.07	yyyy-month-deciday	days	Unspecified
2003-Aug-6.228	13.958	V	6\times600	NTT/SUSI2	24.39	0.08	yyyy-month-deciday	days	Unspecified
2003-Aug-6.240	13.970	i	6\times600	NTT/SUSI2	23.92	0.23	yyyy-month-deciday	days	Unspecified
2003-Aug-6.254	13.984	R	6\times600	NTT/SUSI2	24.28	0.07	yyyy-month-deciday	days	Unspecified
2003-Aug-6.308	14.038	R	6\times600	VLT/FORS1	24.14	0.03	yyyy-month-deciday	days	Unspecified
2003-Aug-6.368	14.098	B	6\times600	NTT/SUSI2	25.04	0.10	yyyy-month-deciday	days	Unspecified
2003-Aug-7.291	15.021	R	180	VLT/FORS2	24.16	0.09	yyyy-month-deciday	days	Unspecified
2003-Aug-7.296	15.026	R	180	VLT/FORS2	24.20	0.11	yyyy-month-deciday	days	Unspecified
2003-Aug-8.327	16.057	R	180	VLT/FORS2	24.04	0.13	yyyy-month-deciday	days	Unspecified
2003-Aug-8.331	16.061	R	180	VLT/FORS2	24.03	0.10	yyyy-month-deciday	days	Unspecified
2003-Aug-9.396	17.126	R	6\times300	VLT/FORS2	24.16	0.04	yyyy-month-deciday	days	Unspecified
2003-Aug-10.335	18.065	R	14\times600	D1.5m/DFOSC	23.88	0.44	yyyy-month-deciday	days	Unspecified
2003-Aug-14.168	21.898	K_{s}	150\times60	VLT/ISAAC	21.19	0.11	yyyy-month-deciday	days	Unspecified
2003-Aug-17.052	24.782	R	15\times600	NTT/SUSI2	25.08	0.09	yyyy-month-deciday	days	Unspecified
2003-Aug-19.007	26.737	B	3\times600	VLT/FORS1	>26.8	NaN	yyyy-month-deciday	days	Unspecified
2003-Aug-19.091	26.821	U	15\times600	VLT/FORS1	>27.0	NaN	yyyy-month-deciday	days	Unspecified
2003-Aug-19.168	26.898	R	3\times600	VLT/FORS1	24.99	0.06	yyyy-month-deciday	days	Unspecified
2003-Aug-19.191	26.921	i	3\times600	VLT/FORS1	23.88	0.05	yyyy-month-deciday	days	Unspecified
2003-Sep-3.291	42.021	R	6\times600	VLT/FORS1	25.97	0.12	yyyy-month-deciday	days	Unspecified
2003-Sep-25.135	63.865	R	4\times600+480	VLT/FORS1	26.58	0.29	yyyy-month-deciday	days	Unspecified
