date	date_unit	mag	dmag	mag_limit	mag_unit	mag_type	band	instrument	time	time_unit	time_frame	dtime
50954.33	MJD	14.89	0.05	0	unspecified	apparent	B	NaN	25.420844907407407	days	observer	NaN
50954.33	MJD	13.81	0.05	0	unspecified	apparent	R	NaN	25.420844907407407	days	observer	NaN
50954.33	MJD	14.99	0.1	0	unspecified	apparent	U	NaN	25.420844907407407	days	observer	NaN
50954.33	MJD	14.01	0.05	0	unspecified	apparent	V	NaN	25.420844907407407	days	observer	NaN
50954.33	MJD	14.04	0.05	0	unspecified	apparent	V	NaN	25.420844907407407	days	observer	NaN
50954.4	MJD	13.85	0.05	0	unspecified	apparent	I	NaN	25.490844907407407	days	observer	NaN
50954.69	MJD	13.82	0.05	0	unspecified	apparent	I	NaN	25.780844907407406	days	observer	NaN
50954.72	MJD	14.71	0.05	0	unspecified	apparent	B	NaN	25.810844907407407	days	observer	NaN
50954.72	MJD	14.85	0.05	0	unspecified	apparent	B	NaN	25.810844907407407	days	observer	NaN
50954.72	MJD	14.9	0.05	0	unspecified	apparent	B	NaN	25.810844907407407	days	observer	NaN
50954.72	MJD	13.81	0.05	0	unspecified	apparent	R	NaN	25.810844907407407	days	observer	NaN
50954.72	MJD	14.0	0.05	0	unspecified	apparent	V	NaN	25.810844907407407	days	observer	NaN
50955.38	MJD	13.9	0.05	0	unspecified	apparent	I	NaN	26.470844907407407	days	observer	NaN
50955.41	MJD	14.99	0.05	0	unspecified	apparent	B	NaN	26.50084490740741	days	observer	NaN
50955.41	MJD	13.83	0.05	0	unspecified	apparent	R	NaN	26.50084490740741	days	observer	NaN
50955.41	MJD	15.08	0.1	0	unspecified	apparent	U	NaN	26.50084490740741	days	observer	NaN
50955.41	MJD	14.08	0.05	0	unspecified	apparent	V	NaN	26.50084490740741	days	observer	NaN
50956.27	MJD	13.9	0.05	0	unspecified	apparent	I	NaN	27.360844907407408	days	observer	NaN
50956.3	MJD	15.04	0.05	0	unspecified	apparent	B	NaN	27.390844907407406	days	observer	NaN
50956.3	MJD	13.86	0.05	0	unspecified	apparent	R	NaN	27.390844907407406	days	observer	NaN
50956.3	MJD	15.18	0.1	0	unspecified	apparent	U	NaN	27.390844907407406	days	observer	NaN
50956.3	MJD	14.14	0.05	0	unspecified	apparent	V	NaN	27.390844907407406	days	observer	NaN
50961.09	MJD	14.1	0.05	0	unspecified	apparent	I	NaN	32.180844907407405	days	observer	NaN
50961.13	MJD	15.44	0.05	0	unspecified	apparent	B	NaN	32.220844907407404	days	observer	NaN
50961.13	MJD	14.24	0.05	0	unspecified	apparent	R	NaN	32.220844907407404	days	observer	NaN
50961.13	MJD	15.67	0.1	0	unspecified	apparent	U	NaN	32.220844907407404	days	observer	NaN
50961.13	MJD	14.47	0.05	0	unspecified	apparent	V	NaN	32.220844907407404	days	observer	NaN
50965.23	MJD	14.36	0.05	0	unspecified	apparent	I	NaN	36.320844907407405	days	observer	NaN
50965.36	MJD	15.71	0.05	0	unspecified	apparent	B	NaN	36.45084490740741	days	observer	NaN
50965.36	MJD	14.39	0.05	0	unspecified	apparent	R	NaN	36.45084490740741	days	observer	NaN
