date	time	band	mag	mag_limit	dmag	instrument	date_unit	time_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
50956	26.4	U	15.08	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50956	26.4	V	14.92	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50956	26.4	B	14.02	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50956	26.4	R_{c}	13.78	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50956	26.4	I_{c}	13.79	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50957	27.4	U	15.21	0	0.07	CTIO	MJD	days	AB	apparent	observer	True	NaN
50957	27.4	V	15.03	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50957	27.4	B	14.1	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50957	27.4	R_{c}	13.84	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50957	27.4	I_{c}	13.82	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50958	28.4	U	15.34	0	0.05	CTIO	MJD	days	AB	apparent	observer	True	NaN
50958	28.4	V	15.13	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50958	28.4	B	14.18	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50958	28.4	R_{c}	13.89	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50958	28.4	I_{c}	13.86	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50959	29.4	U	15.45	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50959	29.4	V	15.22	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50959	29.4	B	14.25	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50959	29.4	R_{c}	13.95	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50959	29.4	I_{c}	13.9	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50960	30.3	U	15.55	0	0.08	CTIO	MJD	days	AB	apparent	observer	True	NaN
50960	30.3	V	15.31	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50960	30.3	B	14.32	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50960	30.3	R_{c}	14.0	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50960	30.3	I_{c}	13.94	0	0.05	CTIO	MJD	days	AB	apparent	observer	True	NaN
50961	31.3	U	15.64	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50961	31.3	V	15.39	0	0.05	CTIO	MJD	days	AB	apparent	observer	True	NaN
50961	31.3	B	14.38	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50961	31.3	R_{c}	14.06	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50961	31.3	I_{c}	13.99	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50962	32.3	U	15.72	0	0.09	CTIO	MJD	days	AB	apparent	observer	True	NaN
50962	32.3	V	15.46	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50962	32.3	B	14.45	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50962	32.3	R_{c}	14.11	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50962	32.3	I_{c}	14.04	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50963	33.3	U	15.8	0	0.07	CTIO	MJD	days	AB	apparent	observer	True	NaN
50963	33.3	V	15.53	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50963	33.3	B	14.51	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50963	33.3	R_{c}	14.16	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50963	33.3	I_{c}	14.08	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50964	34.3	U	15.87	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50964	34.3	V	15.59	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50964	34.3	B	14.57	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50964	34.3	R_{c}	14.22	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50964	34.3	I_{c}	14.13	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50965	35.3	U	15.93	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50965	35.3	V	15.64	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50965	35.3	B	14.63	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50965	35.3	R_{c}	14.27	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50965	35.3	I_{c}	14.19	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50966	36.3	U	15.98	0	0.05	CTIO	MJD	days	AB	apparent	observer	True	NaN
50966	36.3	V	15.69	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50966	36.3	B	14.68	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50966	36.3	R_{c}	14.32	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50966	36.3	I_{c}	14.24	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50967	37.3	U	16.02	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50967	37.3	V	15.73	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50967	37.3	B	14.73	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50967	37.3	R_{c}	14.37	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50967	37.3	I_{c}	14.29	0	0.05	CTIO	MJD	days	AB	apparent	observer	True	NaN
50968	38.3	U	16.07	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50968	38.3	V	15.77	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50968	38.3	B	14.78	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50968	38.3	R_{c}	14.42	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50968	38.3	I_{c}	14.34	0	0.06	CTIO	MJD	days	AB	apparent	observer	True	NaN
50969	39.3	U	16.11	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50969	39.3	V	15.8	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50969	39.3	B	14.83	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50969	39.3	R_{c}	14.46	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50969	39.3	I_{c}	14.39	0	0.06	CTIO	MJD	days	AB	apparent	observer	True	NaN
50970	40.3	U	16.14	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50970	40.3	V	15.84	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50970	40.3	B	14.87	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50970	40.3	R_{c}	14.51	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50970	40.3	I_{c}	14.44	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50971	41.3	U	16.17	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50971	41.3	V	15.87	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50971	41.3	B	14.91	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50971	41.3	R_{c}	14.55	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50971	41.3	I_{c}	14.48	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50972	42.2	U	16.2	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50972	42.2	V	15.89	0	0.06	CTIO	MJD	days	AB	apparent	observer	True	NaN
50972	42.2	B	14.95	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50972	42.2	R_{c}	14.6	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50972	42.2	I_{c}	14.53	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50973	43.2	U	16.23	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50973	43.2	V	15.92	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50973	43.2	B	14.99	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50973	43.2	R_{c}	14.64	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50973	43.2	I_{c}	14.57	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50974	44.2	U	16.26	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50974	44.2	V	15.95	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50974	44.2	B	15.03	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50974	44.2	R_{c}	14.68	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50974	44.2	I_{c}	14.61	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50975	45.2	U	16.28	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50975	45.2	V	15.97	0	0.06	CTIO	MJD	days	AB	apparent	observer	True	NaN
50975	45.2	B	15.07	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50975	45.2	R_{c}	14.72	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50975	45.2	I_{c}	14.64	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50976	46.2	U	16.31	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50976	46.2	V	16.0	0	0.06	CTIO	MJD	days	AB	apparent	observer	True	NaN
50976	46.2	B	15.11	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50976	46.2	R_{c}	14.75	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50976	46.2	I_{c}	14.67	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50977	47.2	U	16.33	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50977	47.2	V	16.02	0	0.06	CTIO	MJD	days	AB	apparent	observer	True	NaN
50977	47.2	B	15.14	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50977	47.2	R_{c}	14.79	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50977	47.2	I_{c}	14.7	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50978	48.2	U	16.35	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50978	48.2	V	16.05	0	0.06	CTIO	MJD	days	AB	apparent	observer	True	NaN
50978	48.2	B	15.18	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50978	48.2	R_{c}	14.82	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50978	48.2	I_{c}	14.73	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50979	49.2	U	16.38	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50979	49.2	V	16.08	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50979	49.2	B	15.21	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50979	49.2	R_{c}	14.86	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50979	49.2	I_{c}	14.75	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50980	50.2	U	16.4	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50980	50.2	V	16.1	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50980	50.2	B	15.24	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50980	50.2	R_{c}	14.89	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50980	50.2	I_{c}	14.78	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50981	51.2	U	16.42	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50981	51.2	V	16.13	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50981	51.2	B	15.27	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50981	51.2	R_{c}	14.92	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50981	51.2	I_{c}	14.8	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50982	52.2	U	16.44	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50982	52.2	V	16.16	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50982	52.2	B	15.3	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50982	52.2	R_{c}	14.95	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50982	52.2	I_{c}	14.82	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50983	53.2	U	16.46	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50983	53.2	V	16.18	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50983	53.2	B	15.33	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50983	53.2	R_{c}	14.98	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50983	53.2	I_{c}	14.84	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50984	54.1	U	16.48	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50984	54.1	V	16.2	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50984	54.1	B	15.35	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50984	54.1	R_{c}	15.01	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50984	54.1	I_{c}	14.86	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50985	55.1	U	16.49	0	0.05	CTIO	MJD	days	AB	apparent	observer	True	NaN
50985	55.1	V	16.23	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50985	55.1	B	15.38	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50985	55.1	R_{c}	15.04	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50985	55.1	I_{c}	14.88	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50986	56.1	U	16.51	0	0.05	CTIO	MJD	days	AB	apparent	observer	True	NaN
50986	56.1	V	16.25	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50986	56.1	B	15.41	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50986	56.1	R_{c}	15.06	0	0.06	CTIO	MJD	days	AB	apparent	observer	True	NaN
50986	56.1	I_{c}	14.9	0	0.03	CTIO	MJD	days	AB	apparent	observer	True	NaN
50987	57.1	U	16.52	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50987	57.1	V	16.27	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50987	57.1	B	15.43	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50987	57.1	R_{c}	15.09	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50987	57.1	I_{c}	14.92	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50988	58.1	U	16.54	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50988	58.1	V	16.29	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50988	58.1	B	15.46	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50988	58.1	R_{c}	15.12	0	0.02	CTIO	MJD	days	AB	apparent	observer	True	NaN
50988	58.1	I_{c}	14.94	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50989	59.1	U	16.55	0	0.05	CTIO	MJD	days	AB	apparent	observer	True	NaN
50989	59.1	V	16.31	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50989	59.1	B	15.48	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50989	59.1	R_{c}	15.14	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50989	59.1	I_{c}	14.96	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50990	60.1	U	16.57	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
50990	60.1	V	16.33	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50990	60.1	B	15.5	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50990	60.1	R_{c}	15.17	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50990	60.1	I_{c}	14.98	0	0.01	CTIO	MJD	days	AB	apparent	observer	True	NaN
50991	61.1	U	16.58	0	0.04	CTIO	MJD	days	AB	apparent	observer	True	NaN
