date	band	mag	mag_limit	dmag	date_unit	mag_unit	mag_type	instrument	time_frame	extinction_corrected	time	time_unit	dtime
51079.73	I	16.7	0	0.03	MJD	AB	apparent	CTIO	observer	True	150.8208449074074	days	NaN
51093.62	B	18.17	0	0.04	MJD	AB	apparent	CTIO	observer	True	164.71084490740742	days	NaN
51093.62	V	17.68	0	0.03	MJD	AB	apparent	CTIO	observer	True	164.71084490740742	days	NaN
51093.62	I	17.01	0	0.03	MJD	AB	apparent	CTIO	observer	True	164.71084490740742	days	NaN
51094.63	B	18.19	0	0.04	MJD	AB	apparent	CTIO	observer	True	165.7208449074074	days	NaN
51094.63	V	17.7	0	0.03	MJD	AB	apparent	CTIO	observer	True	165.7208449074074	days	NaN
51094.63	I	17.03	0	0.03	MJD	AB	apparent	CTIO	observer	True	165.7208449074074	days	NaN
51096.63	B	18.13	0	0.05	MJD	AB	apparent	CTIO	observer	True	167.7208449074074	days	NaN
51096.63	V	17.61	0	0.04	MJD	AB	apparent	CTIO	observer	True	167.7208449074074	days	NaN
51096.63	I	16.93	0	0.05	MJD	AB	apparent	CTIO	observer	True	167.7208449074074	days	NaN
51097.63	B	18.19	0	0.03	MJD	AB	apparent	CTIO	observer	True	168.7208449074074	days	NaN
51097.63	V	17.74	0	0.03	MJD	AB	apparent	CTIO	observer	True	168.7208449074074	days	NaN
51097.63	I	17.05	0	0.03	MJD	AB	apparent	CTIO	observer	True	168.7208449074074	days	NaN
51098.62	B	18.21	0	0.03	MJD	AB	apparent	CTIO	observer	True	169.71084490740742	days	NaN
51098.62	V	17.79	0	0.03	MJD	AB	apparent	CTIO	observer	True	169.71084490740742	days	NaN
51098.62	I	17.06	0	0.03	MJD	AB	apparent	CTIO	observer	True	169.71084490740742	days	NaN
51115.55	B	18.35	0	0.06	MJD	AB	apparent	CTIO	observer	True	186.6408449074074	days	NaN
51115.55	V	18.09	0	0.05	MJD	AB	apparent	CTIO	observer	True	186.6408449074074	days	NaN
51115.55	I	17.33	0	0.065	MJD	AB	apparent	CTIO	observer	True	186.6408449074074	days	NaN
