date	time	mag	mag_limit	dmag	integration	band	instrument	date_unit	extinction_corrected	time_frame	mag_unit	mag_type	time_unit	dtime	reference	seeing	airmass
2006-Mar-02.8673	12.7183	17.07	0	0.06	3x100	V	LT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-03.0345	12.8855	17.08	0	0.03	2x30	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-04.0331	13.8841	17.14	0	0.03	2x30	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-05.0134	14.8644	17.18	0	0.03	2x30	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-06.0379	15.8889	17.27	0	0.03	2x30	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-06.8912	16.7422	17.26	0	0.08	2x100	V	LT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-08.0018	17.8528	17.46	0	0.03	60	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-08.0347	17.8857	17.47	0	0.03	60	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-08.9998	18.8508	17.54	0	0.03	60	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
2006-Mar-09.0067	18.8577	17.54	0	0.03	60	V	VLT	yyyy-month-deciday	True	observer	unspecified	apparent	days	NaN	https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract	NaN	NaN
