Title: Revealing the Jet Structure of GRB030329 with High-Resolution 
       Multicolor Photometry  
Authors: Gorosabel J., Castro-Tirado A.J., Ramirez-Ruiz E., Granot J., Caon N., 
         Cairos L.M., Rubio-Herrera E., Guziy S., de Ugarte Postigo A., 
	 Jelinek M.
Table: Light-Curve Data for GRB 030329
================================================================================
Byte-by-byte Description of file: datafile1.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label      Explanations
--------------------------------------------------------------------------------
   1- 12 F12.7  d       MJD-start  Starting Modified Julian Date of observation
  14- 25 F12.7  d       MJD-end    Ending Modified Julian Date of observation
      27 A1     ---     Filt       Filter used in the observation
  29- 34 F6.3   mag     mag        Observed magnitude in Filt
  36- 40 F5.3   mag   e_mag        Error in mag
--------------------------------------------------------------------------------
2728.4786343 2728.4787500 V 15.115 0.009
2728.4790509 2728.4791667 R 14.790 0.023
2728.4794444 2728.4796181 B 15.468 0.013
2728.4798958 2728.4800116 V 15.116 0.009
2728.4802778 2728.4803935 R 14.801 0.023
2728.4806713 2728.4808449 B 15.460 0.014
2728.4811227 2728.4812384 V 15.121 0.009
2728.4815162 2728.4816319 R 14.802 0.023
2728.4819097 2728.4820833 B 15.477 0.013
2728.4823958 2728.4825116 V 15.130 0.010
2728.4828819 2728.4829977 R 14.809 0.023
2728.4834259 2728.4835995 B 15.482 0.014
2728.4839815 2728.4840972 V 15.141 0.010
2728.4843866 2728.4845023 R 14.808 0.023
2728.4847801 2728.4849537 B 15.489 0.014
2728.4852546 2728.4853704 V 15.140 0.011
2728.4856829 2728.4857986 R 14.815 0.024
2728.4862500 2728.4864236 B 15.495 0.014
2728.4867014 2728.4868171 V 15.150 0.012
2728.4871296 2728.4872454 R 14.810 0.024
2728.4875347 2728.4877083 B 15.503 0.014
2728.4880093 2728.4881250 V 15.149 0.011
2728.4883912 2728.4885069 R 14.827 0.023
2728.4887847 2728.4889583 B 15.488 0.014
2728.4892361 2728.4893519 V 15.150 0.010
2728.4896644 2728.4897801 R 14.827 0.023
2728.4901389 2728.4903125 B 15.502 0.014
2728.4905903 2728.4907060 V 15.153 0.011
2728.4909954 2728.4911111 R 14.833 0.024
2728.4914120 2728.4915856 B 15.502 0.014
2728.4918519 2728.4919676 V 15.156 0.010
2728.4922454 2728.4923611 R 14.832 0.024
2728.4926505 2728.4928241 B 15.511 0.013
2728.4931366 2728.4932523 V 15.168 0.012
2728.4935764 2728.4936921 R 14.833 0.023
2728.4940162 2728.4941898 B 15.517 0.014
2728.4944792 2728.4945949 V 15.166 0.010
2728.4948727 2728.4949884 R 14.840 0.023
2728.4952894 2728.4954630 B 15.516 0.016
2728.4957523 2728.4958681 V 15.173 0.013
2728.4961343 2728.4962500 R 14.847 0.025
2728.4965509 2728.4967245 B 15.522 0.014
2728.4969907 2728.4971065 V 15.172 0.012
2728.4973958 2728.4975116 R 14.846 0.027
2728.4978241 2728.4979977 B 15.525 0.018
2728.4983218 2728.4984375 V 15.173 0.013
2728.4987963 2728.4989120 R 14.857 0.024
2728.4991898 2728.4993634 B 15.520 0.014
2728.4996759 2728.4997917 V 15.181 0.013
2728.5000810 2728.5001968 R 14.848 0.026
2728.5005787 2728.5007523 B 15.541 0.015
2728.5010185 2728.5011343 V 15.184 0.014
2728.5014236 2728.5015394 R 14.859 0.027
2728.5018056 2728.5019792 B 15.530 0.015
2728.5022685 2728.5023843 V 15.182 0.010
2728.5026736 2728.5027894 R 14.866 0.023
2728.5030903 2728.5032639 B 15.534 0.014
2728.5035301 2728.5036458 V 15.199 0.010
2728.5039815 2728.5040972 R 14.870 0.023
2728.5044329 2728.5046065 B 15.546 0.013
2728.5048958 2728.5050116 V 15.202 0.010
2728.5052778 2728.5053935 R 14.867 0.023
2728.5056713 2728.5058449 B 15.540 0.014
2728.5061111 2728.5062269 V 15.198 0.010
2728.5067014 2728.5068171 R 14.878 0.023
2728.5075231 2728.5076968 B 15.552 0.013
2728.5081944 2728.5083102 V 15.205 0.010
2728.5086921 2728.5088079 R 14.879 0.023
2728.5091319 2728.5093056 B 15.560 0.014
2728.5096991 2728.5098148 V 15.206 0.010
2728.5101389 2728.5102546 R 14.889 0.025
2728.5105440 2728.5107176 B 15.547 0.014
2728.5110069 2728.5111227 V 15.221 0.013
2728.5116898 2728.5118056 R 14.896 0.026
2728.5121296 2728.5123032 B 15.565 0.014
2728.5127894 2728.5129051 V 15.219 0.012
2728.5132407 2728.5133565 R 14.902 0.024
