time	freq	flux_density	flux_density_limit	dflux_density	time_unit	freq_unit	flux_density_unit	dtime	time_frame	instrument	reference
52.30700	5.5	0.34	0	0.02	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
72.51500	5.5	0.24	0	0.02	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
119.28200	5.5	0.14	0	0.015	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
138.21700	5.5	0.126	0	0.013	days	GHz	milliJy	NaN	observer	ATCA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
2.81500	1.26	0.144	0	0.017	days	GHz	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
9.71000	1.26	0.303	0	0.012	days	GHz	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
49.69000	1.26	0.153	0	0.015	days	GHz	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
68.66900	1.26	0.162	0	0.012	days	GHz	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
21.75200	0.65	0.104	0	0.03	days	GHz	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
48.54400	0.65	0.12	0	0.0	days	GHz	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
66.56500	0.65	0.18	0	0.0	days	GHz	milliJy	NaN	observer	uGMRT	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
2.24000	227.399	1.459	0	0.043	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
2.24000	229.505	1.443	0	0.045	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
2.24000	240.581	1.559	0	0.048	days	GHz	milliJy	NaN	observer	ALMA	https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5685M/abstract
