time	integration	mag	mag_limit	dmag	band	instrument	integration_unit	time_unit	time_frame	mag_unit	mag_type	extinction_corrected	dtime	reference
0.0537208333333333	20.0	17.59	0	0.32	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0545402777777777	20.0	17.32	0	0.23	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0553597222222222	20.0	17.64	0	0.36	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.056180324074074	20.0	17.68	0	0.31	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0569997685185185	20.0	17.38	0	0.3	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.057830787037037	20.0	17.49	0	0.3	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0586502314814814	20.0	17.36	0	0.35	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0602798611111111	20.0	17.41	0	0.45	I	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0032763888888888	20.0	15.11	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.004399074074074	20.0	15.39	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0055564814814814	20.0	15.52	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0067138888888888	20.0	15.67	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0078712962962962	20.0	15.89	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0090171296296296	20.0	16.13	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.010174537037037	20.0	16.31	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0113087962962962	20.0	16.39	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0124430555555555	20.0	16.44	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0136004629629629	20.0	16.54	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0147462962962962	20.0	16.64	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0159037037037037	20.0	16.69	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0170611111111111	20.0	16.78	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0182185185185185	20.0	16.92	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0189824074074074	20.0	17.99	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0197347222222222	20.0	17.01	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0205796296296296	20.0	17.0	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0213435185185185	20.0	17.04	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0221652777777777	20.0	17.09	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.022987037037037	20.0	17.07	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0238087962962962	20.0	17.08	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0246305555555555	20.0	17.12	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0254523148148148	20.0	17.09	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.026274074074074	20.0	17.16	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0270958333333333	20.0	17.13	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0279175925925925	20.0	17.17	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0287393518518518	20.0	17.17	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0339476851851851	20.0	17.26	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0347694444444444	20.0	17.26	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0355912037037037	20.0	17.27	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0364129629629629	20.0	17.33	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0372347222222222	20.0	17.38	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0380564814814814	20.0	17.38	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0403134259259259	20.0	17.45	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0411351851851851	20.0	17.53	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0419569444444444	20.0	17.56	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0428018518518518	20.0	17.64	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0436236111111111	20.0	17.62	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
0.0444453703703703	20.0	17.71	0	0.01	R	KAIT	seconds	days	observer	unspecified	apparent	False		https://ui.adsabs.harvard.edu/abs/2018ApJ...859..163H/abstract
