"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"42552","SN 2019mof","00:06:05.055","-28:00:51.27","SN Ic-BL","0.027","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS19rhi","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","18.246","orange-ATLAS","2019-08-04 13:55:12.000","ATLAS_Bot1","",""
"42549","SN 2019moc","23:55:45.950","+21:57:19.73","SN Ic-BL","0.0558","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS19rgu","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.54","cyan-ATLAS","2019-08-04 11:15:21.000","ATLAS_Bot1","",""
"41871","SN 2019loe","23:51:55.741","+10:52:49.11","SN Ic-BL","0.115","","","ZTF","ZTF","ePESSTO+","ZTF","ZTF19abeyuxt","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","20.25","g-ZTF","2019-07-08 10:14:40.000","ZTF_AMPEL_COMPLETE","",""
"41557","SN 2019lci","16:31:01.620","+08:28:23.74","SN Ic-BL","0.0292","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19abfsxpw","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.15","g-ZTF","2019-07-11 07:05:55.000","ZTF_AMPEL_NEW","",""
"39256","SN 2019hsx","18:12:56.219","+68:21:45.21","SN Ic-BL","0.020652","","","ZTF","ZTF","ZTF","ZTF","ZTF19aawqcgy","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.62","r-ZTF","2019-06-02 07:55:12.000","ZTF_Bot1","",""
"38660","SN 2019gwc","16:03:26.890","+38:11:02.62","SN Ic-BL","0.038003","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19aaxfcpq","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.73","r-ZTF","2019-06-04 06:42:59.000","ZTF_AMPEL_NEW","",""
"38146","SN 2019gcl","11:56:55.020","+22:08:31.51","SN Ic-BL","0.027","","","ZTF, ATLAS","ZTF, ATLAS","Global SN Project, ZTF","ATLAS; ZTF","ZTF19aavkvpw","ATLAS1 - ACAM1, P48 - ZTF-Cam","FTN - FLOYDS-N, P200 - DBSP","1","1","","17.94","r-ZTF","2019-05-30 04:28:35.000","ZTF_AMPEL_NEW","",""
"37613","SN 2019fie","09:04:50.224","+00:56:40.50","SN Ic-BL","0.076","","","ZTF","ZTF","None","ZTF","ZTF19aauvlxk","P48 - ZTF-Cam","SOAR - Goodman","1","1","","18.99","r-ZTF","2019-05-14 05:03:52.000","ZTF_AMPEL_COMPLETE","",""
"37230","SN 2019eto","09:49:50.515","+12:41:44.20","SN Ic-BL","0.03","NGC 3016","0.02985","ASAS-SN","ASAS-SN","ASAS-SN","ASAS-SN","ASASSN-19ma","ASASSN-1 - Brutus, ASASSN-3 - Paczynski","LT - SPRAT","1","1","","17.134","g-Sloan","2019-05-07 07:56:38.000","Bersier","",""
"35774","SN 2019cqr","16:54:10.474","+61:11:42.42","SN Ic-BL","0.1","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS19els","ATLAS1 - ACAM1, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.116","orange-ATLAS","2019-03-30 14:12:28.000","ATLAS_Bot1","",""
"35173","SN 2019but","13:24:07.052","+08:55:35.88","SN Ic-BL","0.15","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","ePESSTO","ATLAS; Pan-STARRS1","ATLAS19dyx","ATLAS1 - ACAM1, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.115","orange-ATLAS","2019-03-14 12:27:21.000","ATLAS_Bot1","",""
"34616","SN 2019azq","15:16:39.560","-07:23:33.32","SN Ic-BL","0.034","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","Padova-Asiago","ATLAS; GaiaAlerts; ZTF","ATLAS19dkk","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","Ekar - AFOSC","1","1","","18.216","orange-ATLAS","2019-02-22 13:26:24.000","ATLAS_Bot1","",""
"33678","SN 2019qg","13:41:01.790","+38:59:09.74","SN Ic-BL","0.08","","","ZTF, ATLAS","ZTF, ATLAS","SCAT","ATLAS; ZTF","ZTF18aacdbzx","ATLAS1 - ACAM1, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.74","g-ZTF","2019-01-08 11:49:37.000","ZTF_AMPEL_NEW","",""
"32663","SN 2018kqr","08:50:03.608","+55:10:09.53","SN Ic-BL","0.045","","","Pan-STARRS1, ZTF","Pan-STARRS1, ZTF","ZTF","Pan-STARRS1; ZTF","PS18ckp","P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","19.97","w-PS1","2018-12-17 12:36:00.000","PS1_Bot1","",""
"32349","SN 2018keq","23:22:41.965","+21:00:43.26","SN Ic-BL","0.04","","","ZTF","ZTF","ZTF","ZTF","ZTF18acxgoki","P48 - ZTF-Cam","","1","1","","19.0308","r-ZTF","2018-12-17 02:13:51.000","ZTF_AMPEL_NEW","",""
"31405","SN 2018ium","10:10:31.700","+10:02:37.03","SN Ic-BL","0.03167","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF18achdzwk","Gaia - Gaia-photometric, P48 - ZTF-Cam","","1","1","","19.4667","r-ZTF","2018-11-10 12:55:53.000","ZTF_AMPEL_NEW","",""
"30806","SN 2018hxo","21:09:05.805","+14:32:27.72","SN Ic-BL","0.048","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS18wan","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","18.36","orange-ATLAS","2018-09-25 09:54:43.000","ATLAS_Bot1","",""
"30665","SN 2018hsf","02:40:12.772","-19:58:44.94","SN Ic-BL","0.119","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF18acbvpzj","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","19.42","r-ZTF","2018-10-31 08:00:57.000","ZTF_Bot1","",""
"30567","SN 2018hom","22:59:22.950","+08:45:04.64","SN Ic-BL","0.0362","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS18xyr","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.291","orange-ATLAS","2018-10-24 10:20:38.000","ATLAS_Bot1","",""
"29993","SN 2018gsy","06:19:14.609","+60:56:22.60","SN Ic-BL","0.073","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF18abvfjwt","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","19.35","g-ZTF","2018-09-13 10:52:19.000","ZTF_Bot1","",""
"29755","SN 2018gju","00:08:11.786","-04:17:06.81","SN Ic-BL","0.05","","","ATLAS","ATLAS","ePESSTO","ATLAS","ATLAS18vhr","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","19.344","orange-ATLAS","2018-09-15 11:49:55.000","ATLAS_Bot1","",""
"29729","SN 2018giu","20:27:49.216","+09:54:51.90","SN Ic-BL","0.026","","","ATLAS","ATLAS","ePESSTO","ATLAS","ATLAS18vgb","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","18.726","orange-ATLAS","2018-09-15 08:52:48.000","ATLAS_Bot1","",""
"29620","SN 2018gep","16:43:48.201","+41:02:43.38","SN Ic-BL","0.032","SDSS J164348.22+410243.3","0.033","ZTF, ATLAS","ZTF, ATLAS","Global SN Project","ATLAS","ZTF18abukavn","ATLAS1 - ACAM1, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","20.48","r-ZTF","2018-09-09 03:55:17.000","Ho","",""
"29047","SN 2018fip","16:54:15.750","-54:02:39.27","SN Ic-BL","0.117","","","MASTER","MASTER","STARGATE","MASTER","MASTER OT J165415.75-540239.27","Other - Other","VLT-UT2 - X-Shooter","1","1","2018-08-25","14.5","Clear-","2018-07-28 17:29:38.000","Lipunov","",""
"28651","SN 2018etk","15:17:02.530","+03:56:38.80","SN Ic-BL","0.04415","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS18thw","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP, P60 - SEDM","1","1","","18.517","orange-ATLAS","2018-08-06 07:16:19.000","ATLAS_Bot1","",""
"28442","SN 2018ell","16:49:57.015","+27:38:26.78","SN Ic-BL","0.0638","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF18abhhnnv","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.81","r-ZTF","2018-07-19 06:27:21.000","ZTF_Bot1","",""
"27170","SN 2018cow","16:16:00.220","+22:16:04.91","SN Ic-BL","0","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","ZTF, None","ATLAS; GaiaAlerts; ZTF","ATLAS18qqn","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","Keck1 - LRIS, P60 - SEDM","1","1","","14.739","orange-ATLAS","2018-06-16 10:35:02.000","ATLAS_Bot1","",""
