"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"72263","SN 2020aboq","06:38:23.730","-35:13:29.14","SN Ic-BL","0.02","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts","ATLAS20bgoz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.634","orange-ATLAS","2020-12-04 11:26:52.800","ATLAS_Bot1","","2020TNSTR3653....1T","2020TNSCR3887....1P",""
"66784","SN 2020tsc","08:07:53.306","-18:41:58.40","SN Ic-BL","0.051","","","ATLAS","ATLAS","None","ATLAS","ATLAS20bbix","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","TNG - DOLORES","1","1","","16.01","cyan-ATLAS","2020-09-18 14:39:50.400","ATLAS_Bot1","","2020TNSTR2857....1T","2020TNSCR3230....1M",""
"66594","SN 2020tkx","18:40:09.000","+34:06:59.54","SN Ic-BL","","","","GaiaAlerts, ATLAS, ZTF, Pan-STARRS","GaiaAlerts, ATLAS, ZTF, Pan-STARRS","None","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","Gaia20ehu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","LT - SPRAT","1","1","","18.47","G-Gaia","2020-09-14 11:48:28.800","Gaia_Bot1","","2020TNSTR2816....1H","2020TNSCR2903....1S",""
"65338","SN 2020rph","03:15:17.813","+37:00:50.74","SN Ic-BL","0.03","WISEA J031517.67+370055.3","","ALeRCE, ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF20abswdbg","P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","20.3646","r-ZTF","2020-08-11 11:38:56.996","ALeRCE","","2020TNSTR2527....1F","2020TNSCR2608....1D",""
"65085","SN 2020rfr","22:39:49.314","-06:26:15.91","SN Ic-BL","0.0725","SDSS J223949.25-062616.3","0.475","ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20abrmmah","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","Keck1 - LRIS","1","1","","19.6744","g-ZTF","2020-08-12 08:01:12.996","ALeRCE","","2020TNSTR2457....1F","2020TNSCR2954....1D",""
"60604","SN 2020lao","17:06:54.600","+30:16:17.40","SN Ic-BL","0.031162","CGCG 169-041","0.031162","ALeRCE, ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","Global SN Project","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF20abbplei","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","FTN - FLOYDS-N","1","1","","19.6895","g-ZTF","2020-05-25 09:54:55.002","ALeRCE","","2020TNSTR1550....1F","2020TNSCR1666....1B",""
"59926","SN 2020kba","15:58:42.585","+08:59:44.66","SN Ic-BL","0.066","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF, DEHVILS","ATLAS; Pan-STARRS; ZTF","ATLAS20mjj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","LT - SPRAT, NOT - ALFOSC, SALT - RSS","1","1","","19.507","orange-ATLAS","2020-05-15 12:33:07.200","ATLAS_Bot1","","2020TNSTR1348....1T","2020TNSCR1708....1P, 2020TNSCR2050....1J, 2022TNSCR2002....1S",""
"59648","SN 2020jqm","13:49:18.564","-03:46:10.27","SN Ic-BL","0.03696","LCRS B134642.6-033118","0.036962","ALeRCE, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20aazkjfv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.4171","r-ZTF","2020-05-11 06:32:22.004","ALeRCE","","2020TNSTR1297....1F","2020TNSCR1592....1D",""
"58487","SN 2020hyj","16:23:47.232","+29:58:58.50","SN Ic-BL","0.055","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF20aavcvrm","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.33","g-ZTF","2020-04-16 09:58:06.240","ZTF_AMPEL_COMPLETE","","2020TNSTR1112....1N","2020TNSCR1186....1D",""
"57922","SN 2020hes","17:47:05.720","+42:46:39.83","SN Ic-BL","0.07","SDSS J174705.68+424639.9","0.295","ALeRCE, ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF20aaurexl","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.6205","g-ZTF","2020-04-14 10:22:06.001","ALeRCE","","2020TNSTR1027....1F","2020TNSCR1130....1D",""
"56627","SN 2020fhj","16:08:28.420","+29:00:46.27","SN Ic-BL","0.085","","","YSE, ATLAS, Pan-STARRS","Pan-STARRS, ATLAS","None","ATLAS; Pan-STARRS","PS20anq","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS1 - GPC1, PS2 - GPC2","Ekar - AFOSC","1","1","","18.91","g-Sloan","2020-03-29 14:58:33.600","YSE_Bot1","","2020TNSTR.903....1J","2020TNSCR1016....1I",""
"54668","SN 2020dgd","15:45:35.533","+29:18:38.51","SN Ic-BL","0.03","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF20aapcbmc","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.99","r-ZTF","2020-02-19 12:25:24.000","ZTF_AMPEL_COMPLETE","","2020TNSTR.613....1N","2020TNSCR1935....1D",""
"53690","SN 2020bvc","14:33:57.009","+40:14:37.62","SN Ic-BL","0.025235","UGC 09379","0.025235","ASAS-SN, ZTF, ATLAS, MASTER, Pan-STARRS","ASAS-SN, ZTF, ATLAS, MASTER, Pan-STARRS","Global SN Project, ZTF","ASAS-SN; ATLAS; MASTER; Pan-STARRS; ZTF","ASASSN-20bs","ASASSN-1 - Brutus, ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Other - Other, P48 - ZTF-Cam, PS2 - GPC2","FTN - FLOYDS-N, LT - SPRAT","1","1","","17","g-Sloan","2020-02-04 14:52:48.000","Stanek","","2020TNSTR.381....1S","2020TNSCR.403....1H, 2020TNSCR1488....1P",""
"53092","SN 2020ayz","12:12:04.895","+32:44:01.73","SN Ic-BL","0.025","KUG 1209+330","0.025149","ALeRCE, ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20aaiqiti","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.9997","g-ZTF","2020-01-26 09:36:28.000","ALeRCE","","2020TNSTR.263....1F","2020TNSCR.379....1D",""
"52360","SN 2020zg","04:02:36.387","-16:11:54.33","SN Ic-BL","0.0557","WISEA J040236.46-161152.0","","ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20aafmdzj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","17.914","g-ZTF","2020-01-15 03:02:36.000","ALeRCE","","2020TNSTR.141....1F","2020TNSCR.688....1D",""
"49736","SN 2019xcc","11:01:12.393","+16:43:29.11","SN Ic-BL","0.029","CGCG 095-091","0.028677","ALeRCE, ATLAS","ZTF, ATLAS","TCD","ATLAS; ZTF","ZTF19adaiomg","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.3992","r-ZTF","2019-12-19 11:33:32.000","ALeRCE","","2019TNSTR2642....1F","2019TNSCR2659....1P",""
