time	band	mag	mag_limit	dmag	time_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime	instrument
0.689	K_{s}	18.55	0	0.12	days	AB	apparent	observer	False	NaN	GROND
0.714	g	20.73	0	0.02	days	AB	apparent	observer	False	NaN	GROND
0.714	r	20.35	0	0.03	days	AB	apparent	observer	False	NaN	GROND
0.714	g	20.16	0	0.03	days	AB	apparent	observer	False	NaN	GROND
0.714	z	19.97	0	0.04	days	AB	apparent	observer	False	NaN	GROND
0.714	J	19.48	0	0.06	days	AB	apparent	observer	False	NaN	GROND
0.714	H	19.15	0	0.09	days	AB	apparent	observer	False	NaN	GROND
0.714	K_{s}	19.11	0	0.14	days	AB	apparent	observer	False	NaN	GROND
0.736	r	20.43	0	0.06	days	AB	apparent	observer	False	NaN	GROND
0.736	g	20.16	0	0.08	days	AB	apparent	observer	False	NaN	GROND
0.736	z	19.96	0	0.1	days	AB	apparent	observer	False	NaN	GROND
0.736	J	19.68	0	0.2	days	AB	apparent	observer	False	NaN	GROND
0.736	H	19.49	1	NaN	days	AB	apparent	observer	False	NaN	GROND
0.736	K_{s}	18.54	1	NaN	days	AB	apparent	observer	False	NaN	GROND
0.762	J	19.78	1	NaN	days	AB	apparent	observer	False	NaN	GROND
1.645	g	21.98	0	0.07	days	AB	apparent	observer	False	NaN	GROND
1.645	r	21.8	0	0.08	days	AB	apparent	observer	False	NaN	GROND
1.645	g	21.76	0	0.12	days	AB	apparent	observer	False	NaN	GROND
1.645	z	21.56	0	0.14	days	AB	apparent	observer	False	NaN	GROND
1.645	J	21.32	1	NaN	days	AB	apparent	observer	False	NaN	GROND
1.645	H	20.5	1	NaN	days	AB	apparent	observer	False	NaN	GROND
1.689	g	22.01	0	0.05	days	AB	apparent	observer	False	NaN	GROND
1.689	r	21.85	0	0.05	days	AB	apparent	observer	False	NaN	GROND
1.689	g	21.81	0	0.1	days	AB	apparent	observer	False	NaN	GROND
1.689	z	21.66	0	0.12	days	AB	apparent	observer	False	NaN	GROND
1.689	J	21.63	1	NaN	days	AB	apparent	observer	False	NaN	GROND
1.689	H	20.98	1	NaN	days	AB	apparent	observer	False	NaN	GROND
1.736	g	22.05	0	0.05	days	AB	apparent	observer	False	NaN	GROND
1.736	r	21.8	0	0.05	days	AB	apparent	observer	False	NaN	GROND
1.736	g	21.85	0	0.08	days	AB	apparent	observer	False	NaN	GROND
1.736	z	21.82	0	0.13	days	AB	apparent	observer	False	NaN	GROND
1.736	J	21.61	1	NaN	days	AB	apparent	observer	False	NaN	GROND
1.736	H	20.92	1	NaN	days	AB	apparent	observer	False	NaN	GROND
2.624	g	22.59	0	0.05	days	AB	apparent	observer	False	NaN	GROND
2.624	r	22.38	0	0.06	days	AB	apparent	observer	False	NaN	GROND
2.624	g	22.25	0	0.11	days	AB	apparent	observer	False	NaN	GROND
2.624	z	22.42	0	0.15	days	AB	apparent	observer	False	NaN	GROND
2.624	J	21.8	1	NaN	days	AB	apparent	observer	False	NaN	GROND
2.624	H	20.73	1	NaN	days	AB	apparent	observer	False	NaN	GROND
2.624	K_{s}	20.23	1	NaN	days	AB	apparent	observer	False	NaN	GROND
3.724	g	23.0	0	0.14	days	AB	apparent	observer	False	NaN	GROND
3.724	r	22.59	0	0.11	days	AB	apparent	observer	False	NaN	GROND
3.724	g	22.91	0	0.33	days	AB	apparent	observer	False	NaN	GROND
3.724	z	22.46	0	0.22	days	AB	apparent	observer	False	NaN	GROND
3.724	J	21.25	1	NaN	days	AB	apparent	observer	False	NaN	GROND
3.724	H	20.28	1	NaN	days	AB	apparent	observer	False	NaN	GROND
7.712	g	23.36	0	0.11	days	AB	apparent	observer	False	NaN	GROND
7.712	r	22.95	0	0.09	days	AB	apparent	observer	False	NaN	GROND
7.712	g	22.62	0	0.12	days	AB	apparent	observer	False	NaN	GROND
7.712	z	22.88	0	0.2	days	AB	apparent	observer	False	NaN	GROND
7.712	J	22.04	1	NaN	days	AB	apparent	observer	False	NaN	GROND
7.712	H	21.07	1	NaN	days	AB	apparent	observer	False	NaN	GROND
7.712	K_{s}	19.94	1	NaN	days	AB	apparent	observer	False	NaN	GROND
11.663	g	23.56	0	0.16	days	AB	apparent	observer	False	NaN	GROND
11.663	r	23.05	0	0.13	days	AB	apparent	observer	False	NaN	GROND
11.663	g	22.72	0	0.18	days	AB	apparent	observer	False	NaN	GROND
11.663	z	22.8	0	0.15	days	AB	apparent	observer	False	NaN	GROND
11.663	J	22.2	1	NaN	days	AB	apparent	observer	False	NaN	GROND
11.663	H	21.07	1	NaN	days	AB	apparent	observer	False	NaN	GROND
11.663	K_{s}	20.52	1	NaN	days	AB	apparent	observer	False	NaN	GROND
24.606	g	24.56	0	0.29	days	AB	apparent	observer	False	NaN	GROND
24.606	r	23.22	0	0.13	days	AB	apparent	observer	False	NaN	GROND
24.606	g	22.75	0	0.15	days	AB	apparent	observer	False	NaN	GROND
24.606	z	22.98	0	0.19	days	AB	apparent	observer	False	NaN	GROND
24.606	J	22.07	1	NaN	days	AB	apparent	observer	False	NaN	GROND
24.606	H	20.86	1	NaN	days	AB	apparent	observer	False	NaN	GROND
29.598	g	24.6	1	NaN	days	AB	apparent	observer	False	NaN	GROND
29.598	r	23.58	0	0.21	days	AB	apparent	observer	False	NaN	GROND
29.598	g	23.18	0	0.19	days	AB	apparent	observer	False	NaN	GROND
29.598	z	23.09	0	0.19	days	AB	apparent	observer	False	NaN	GROND
29.598	J	21.99	1	NaN	days	AB	apparent	observer	False	NaN	GROND
29.598	H	21.11	1	NaN	days	AB	apparent	observer	False	NaN	GROND
29.598	K_{s}	20.49	1	NaN	days	AB	apparent	observer	False	NaN	GROND
33.622	g	24.81	0	0.22	days	AB	apparent	observer	False	NaN	GROND
33.622	r	23.67	0	0.16	days	AB	apparent	observer	False	NaN	GROND
33.622	g	23.48	0	0.17	days	AB	apparent	observer	False	NaN	GROND
33.622	z	23.12	0	0.12	days	AB	apparent	observer	False	NaN	GROND
33.622	J	22.71	1	NaN	days	AB	apparent	observer	False	NaN	GROND
33.622	H	22.0	1	NaN	days	AB	apparent	observer	False	NaN	GROND
33.622	K_{s}	21.09	1	NaN	days	AB	apparent	observer	False	NaN	GROND
386.643	g	24.86	0	0.27	days	AB	apparent	observer	False	NaN	GROND
386.643	r	24.21	0	0.17	days	AB	apparent	observer	False	NaN	GROND
386.643	g	24.25	1	NaN	days	AB	apparent	observer	False	NaN	GROND
386.643	z	23.76	0	0.3	days	AB	apparent	observer	False	NaN	GROND
