time	integration	mag	mag_limit	dmag	dmag2	band	instrument	time_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
13541	800	18.075	0	0.037	-0.03	V	PROMPT-SSO-3	seconds	seconds	Vega	apparent	observer	False	NaN
14416	720	18.191	0	0.042	-0.04	V	PROMPT-SSO-2	seconds	seconds	Vega	apparent	observer	False	NaN
14520	880	18.099	0	0.034	-0.03	V	PROMPT-SSO-3	seconds	seconds	Vega	apparent	observer	False	NaN
15223	720	18.341	0	0.052	-0.05	V	PROMPT-SSO-2	seconds	seconds	Vega	apparent	observer	False	NaN
15282	480	18.251	0	0.055	-0.05	V	PROMPT-SSO-3	seconds	seconds	Vega	apparent	observer	False	NaN
46901	200	20.43	0	1.89	-0.65	V	UVOT	seconds	seconds	Vega	apparent	observer	False	NaN
54195	9120	20.586	0	0.102	0.094	V	Prompt1	seconds	seconds	Vega	apparent	observer	False	NaN
87979	4200	20.637	0	0.291	0.231	V	PROMPT-SSO-2	seconds	seconds	Vega	apparent	observer	False	NaN
98667	7440	21.0	0	0.191	-0.163	V	PROMPT-SSO-2	seconds	seconds	Vega	apparent	observer	False	NaN
96811	1200	21.61	0	0.05	NaN	V	MAO/AZT-22	seconds	seconds	Vega	apparent	observer	False	NaN
102660	907	20.19	1	NaN	NaN	V	UVOT	seconds	seconds	Vega	apparent	observer	False	NaN
127508	506	19.84	1	NaN	NaN	V	UVOT	seconds	seconds	Vega	apparent	observer	False	NaN
139582	3420	21.275	0	0.382	-0.286	V	Prompt1	seconds	seconds	Vega	apparent	observer	False	NaN
190593	35808	20.4	1	NaN	NaN	V	UVOT	seconds	seconds	Vega	apparent	observer	False	NaN
214259	52	19.0	1	NaN	NaN	V	UVOT	seconds	seconds	Vega	apparent	observer	False	NaN
227739	7200	22.48	0	1.09	-0.59	V	Prompt1	seconds	seconds	Vega	apparent	observer	False	NaN
420236	6458	21.46	1	NaN	NaN	V	UVOT	seconds	seconds	Vega	apparent	observer	False	NaN
715505	139477	21.76	1	NaN	NaN	V	UVOT	seconds	seconds	Vega	apparent	observer	False	NaN
799032	18403	20.92	1	NaN	NaN	V	UVOT	seconds	seconds	Vega	apparent	observer	False	NaN
7131960	7020	21.75	1	NaN	NaN	V	Prompt1	seconds	seconds	Vega	apparent	observer	False	NaN
57572	1280	20.22	0	0.05	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
59246	1280	20.23	0	0.04	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
60925	1280	20.33	0	0.04	NaN	r'	RATiR	seconds	seconds	Vega	apparent	observer	False	NaN
63002	1280	20.32	0	0.03	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
64674	1280	20.41	0	0.04	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
66362	1280	20.43	0	0.04	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
68429	1280	20.44	0	0.04	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
70081	1280	20.5	0	0.04	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
71725	1280	20.55	0	0.05	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
73790	1280	20.7	0	0.06	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
75466	1280	20.67	0	0.06	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
77158	1280	20.6	0	0.05	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
79307	1280	20.53	0	0.04	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
80999	1280	20.61	0	0.04	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
142741	300	21.609	0	0.046	NaN	r'	NOT	seconds	seconds	Vega	apparent	observer	False	NaN
145158	3600	21.8	0	0.25	-0.021	r'	Yerkes-41	seconds	seconds	Vega	apparent	observer	False	NaN
231603	3600	22.15	0	0.46	-0.33	r'	Yerkes-41	seconds	seconds	Vega	apparent	observer	False	NaN
326950	1280	22.88	1	NaN	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
1793890	24320	22.8	0	0.14	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
2571251	22960	23.55	0	0.17	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
3351354	22800	23.71	0	0.22	NaN	r'	RATIR	seconds	seconds	Vega	apparent	observer	False	NaN
13329792	540	23.75	0	0.11	NaN	r'	GTC	seconds	seconds	Vega	apparent	observer	False	NaN
2132	80	15.289	0	0.025	-0.024	R_C	PROMPT-SSO-3	seconds	seconds	Vega	apparent	observer	False	NaN
2221	80	15.31	0	0.014	NaN	R_C	PROMPT-SSO-3	seconds	seconds	Vega	apparent	observer	False	NaN
2333	80	15.4	0	0.016	NaN	R_C	PROMPT-SSO-1	seconds	seconds	Vega	apparent	observer	False	NaN
2420	80	15.443	0	0.016	NaN	R_C	PROMPT-SSO-1	seconds	seconds	Vega	apparent	observer	False	NaN
