instrument	time	band	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	dtime	reference	date	date_unit	extinction
UVOT	0.01613	UVB	19.4	13.849	0	0.03	12959.0	353.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01671	UVW2	19.4	12.554	0	0.04	7340.0	266.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01698	UVV	19.4	13.679	0	0.04	13305.0	482.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01727	UVM2	19.5	12.598	0	0.04	8313.0	301.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01755	UVW1	19.4	12.728	0	0.04	8176.0	296.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01783	UVU	19.4	12.897	0	0.03	10748.0	293.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01813	UVB	19.5	13.999	0	0.03	11286.0	308.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.0187	UVW2	19.4	12.754	0	0.04	6105.0	221.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01899	UVV	19.5	13.839	0	0.04	11481.0	416.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01926	UVM2	19.4	12.738	0	0.04	7307.0	264.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01954	UVW1	19.5	12.888	0	0.04	7055.0	255.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.01983	UVU	19.4	13.057	0	0.03	9274.0	253.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.02012	UVB	19.4	14.109	0	0.03	10198.0	278.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.02069	UVW2	19.4	12.784	0	0.04	5938.0	215.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.02098	UVV	19.5	13.909	0	0.05	10763.0	485.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.02127	UVM2	19.5	12.778	0	0.04	7043.0	255.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.02156	UVW1	19.5	12.958	0	0.04	6614.0	239.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.02183	UVU	19.5	13.147	0	0.03	8536.0	233.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.02212	UVB	19.5	14.139	0	0.03	9920.0	270.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.0227	UVW2	19.4	12.864	0	0.04	5516.0	200.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.02298	UVV	19.5	13.969	0	0.05	10184.0	459.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.02326	UVM2	19.5	12.868	0	0.05	6482.0	292.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.27095	UVW1	1175.6	15.478	0	0.01	646.0	6.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.54703	UVW2	562.8	16.285	0	0.03	234.0	6.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.55289	UVM2	422.0	16.308	0	0.04	270.0	10.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.55651	UVW1	179.6	16.338	0	0.05	291.0	13.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.62446	UVW1	229.1	16.648	0	0.05	218.0	10.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.62641	UVU	92.2	16.697	0	0.06	321.0	17.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.68475	UVW2	342.3	16.734	0	0.05	153.9	7.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.68834	UVM2	256.6	16.698	0	0.07	187.6	11.9	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.69093	UVW1	171.0	16.688	0	0.06	210.0	11.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	0.69247	UVU	82.4	16.887	0	0.07	269.0	17.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.13693	UVW2	1036.2	17.424	0	0.04	80.43	2.99	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.14396	UVM2	132.8	17.328	0	0.13	103.8	12.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.20374	UVW2	1035.2	17.504	0	0.04	74.55	2.78	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.21077	UVM2	133.7	17.318	0	0.13	104.7	12.1	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.41135	UVW2	690.2	17.724	0	0.06	60.45	3.38	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.41847	UVM2	453.1	17.738	0	0.08	70.22	5.19	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.47961	UVW2	659.2	17.955	0	0.07	48.42	3.17	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.48648	UVM2	493.9	17.988	0	0.09	55.19	4.62	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.48955	UVW1	11.4	17.008	0	0.29	155.1	37.2	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.54843	UVW2	571.6	17.844	0	0.07	53.88	3.51	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.5544	UVM2	428.9	17.778	0	0.09	67.58	5.6	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.55797	UVW1	164.0	17.658	0	0.11	83.58	8.41	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.61732	UVW2	493.9	17.924	0	0.07	49.89	3.26	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.62248	UVM2	369.8	17.978	0	0.1	55.72	5.16	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.62618	UVW1	246.8	17.998	0	0.1	60.12	5.61	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	1.62785	UVU	25.3	17.837	0	0.22	110.1	20.8	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.0049	UVW2	1040.1	18.174	0	0.06	39.15	2.23	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.01195	UVM2	129.1	18.308	0	0.21	40.36	7.6	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.07165	UVW2	1041.1	18.434	0	0.07	30.32	2.04	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.07869	UVM2	128.2	18.578	0	0.24	30.84	6.69	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.1395	UVW2	995.8	18.314	0	0.07	34.13	2.28	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.14653	UVM2	173.4	17.948	0	0.15	57.37	7.77	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.27236	UVW2	1025.3	18.444	0	0.07	30.02	2.02	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.27939	UVM2	141.8	18.398	0	0.21	36.92	7.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.48085	UVW1	157.2	18.428	0	0.17	39.26	6.22	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.4823	UVU	78.5	18.747	0	0.23	45.59	9.38	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.48388	UVW2	10.6	18.115	0	0.57	41.47	17.89	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.55423	UVW1	314.5	18.768	0	0.14	27.72	3.8	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.5552	UVU	153.0	18.777	0	0.17	44.25	6.93	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.5581	UVW2	314.8	18.424	0	0.12	30.62	3.45	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.56217	UVM2	201.6	18.248	0	0.17	42.82	6.62	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.74175	UVW2	762.9	18.774	0	0.1	21.54	2.1	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.74335	UVM2	762.9	18.778	0	0.11	25.17	2.7	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.74436	UVW1	659.8	18.798	0	0.1	26.87	2.69	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	2.93791	UVU	321.1	19.067	0	0.15	33.05	4.72	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	3.6935	UVW2	1317.0	19.334	0	0.1	11.92	1.25	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	3.70106	UVW1	1213.1	19.538	0	0.12	11.78	1.62	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	4.14886	UVU	694.2	19.537	0	0.15	20.19	3.06	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	4.21426	UVM2	974.7	19.288	0	0.14	14.66	2.12	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	5.14614	UVW2	1255.1	19.714	0	0.14	7.712	1.215	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	5.14823	UVM2	899.7	19.488	0	0.16	11.71	2.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	5.15034	UVW1	546.0	19.948	0	0.24	6.922	2.099	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	5.34308	UVU	259.6	19.937	0	0.33	12.87	4.3	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	5.74173	UVU	422.0	19.977	0	0.27	12.28	3.49	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	5.81561	UVW2	1670.5	19.804	0	0.13	6.913	1.043	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	5.82102	UVM2	1221.1	19.839	0	0.17	7.678	1.53	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	5.8248	UVW1	834.9	19.728	0	0.17	9.3	1.879	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	5.82574	UVU	301.2	19.667	0	0.24	17.51	4.18	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	7.08257	UVU	1221.8	19.897	0	0.15	13.49	2.2	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	7.15199	UVW2	1694.8	20.014	0	0.15	5.287	0.983	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	7.15556	UVM2	976.9	20.158	0	0.23	4.991	1.502	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	7.15949	UVW1	651.0	19.988	0	0.23	6.539	1.948	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	8.23439	UVW2	389.3	20.524	0	0.4	2.432	1.468	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	11.87825	UVU	6817.7	20.74	0	0.11	4.289	0.755	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	12.17109	UVW2	7346.8	20.44	0	0.1	2.815	0.453	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	12.61897	UVM2	4826.8	20.42	0	0.13	3.304	0.698	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	12.65157	UVW1	3397.3	20.66	0	0.17	1.831	0.796	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	20.15953	UVU	7739.6	21.95	0	0.44	-0.978	0.857	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	21.88287	UVW2	10815.0	20.78	0	0.11	1.432	0.362	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	21.9266	UVM2	7726.6	20.88	0	0.15	1.169	0.522	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	22.04345	UVW1	5028.5	20.66	0	0.14	1.831	0.665	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	36.59701	UVW1	3136.6	20.58	0	0.18	2.251	0.904	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	37.63736	UVW2	7626.0	21.07	0	0.17	0.55	0.417	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	37.6978	UVM2	5610.4	20.99	0	0.19	0.779	0.587	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
UVOT	38.53369	UVU	6610.7	21.4	0	0.33	0.718	1.119	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
P60	0.004	r	60.0	11.751	0	0.056	75792.0	3811.0	days	seconds	AB	apparent	microJy	observer	False	NaN	https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract	NaN	NaN	NaN
