time	integration	band	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	time_frame	extinction_corrected	dtime	instrument
0.05	67	Z	14.44	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	80	i	14.76	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	H	14.39	0	0.07	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	y	14.45	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	80	i	14.59	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	y	14.4	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	67	H	14.38	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.05	80	i	14.64	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	J	14.46	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	Z	14.51	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	80	i	14.66	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	J	14.48	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	Z	14.89	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	80	i	14.68	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	H	14.33	0	0.05	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	y	14.44	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	80	i	14.7	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	H	14.42	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	y	14.45	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	80	i	14.75	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	J	14.53	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	Z	14.57	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	80	i	14.71	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	J	14.54	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	Z	14.59	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	80	i	14.76	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	H	14.43	0	0.04	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	y	14.52	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	80	i	14.79	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	H	14.47	0	0.03	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
0.06	67	y	14.56	0	0.02	NaN	NaN	days	seconds	AB	apparent	milliJy	observer	False	NaN	RATIR
