date	time	integration	freq	flux_density	flux_density_limit	dflux_density	date_unit	time_unit	integration_unit	freq_unit	flux_density_unit	dtime	time_frame	instrument
2013-Apr-28.902-28.943	1.6	1.0	4.8	2.707	0	0.107	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0205034722222222	observer	WSRT
2013-Apr-28.943-28.985	1.64	1.0	4.8	2.551	0	0.103	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0209953703703703	observer	WSRT
2013-Apr-28.985-29.026	1.68	1.0	4.8	2.654	0	0.105	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0205034722222222	observer	WSRT
2013-Apr-29.026-29.068	1.72	1.0	4.8	2.3	0	0.102	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0210011574074074	observer	WSRT
2013-Apr-29.068-29.110	1.76	1.0	4.8	2.117	0	0.121	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0209953703703703	observer	WSRT
2013-Apr-29.608-29.652	2.31	1.0	4.8	1.399	0	0.113	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0219965277777777	observer	WSRT
2013-Apr-29.652-29.695	2.35	1.0	4.8	1.773	0	0.11	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0215046296296296	observer	WSRT
2013-Apr-29.695-29.739	2.39	1.0	4.8	1.511	0	0.111	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0219965277777777	observer	WSRT
2013-Apr-29.739-29.782	2.43	1.0	4.8	1.278	0	0.101	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0214988425925926	observer	WSRT
2013-Apr-29.782-29.826	2.48	1.0	4.8	1.543	0	0.102	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0220023148148148	observer	WSRT
2013-Apr-29.826-29.869	2.52	1.0	4.8	1.298	0	0.099	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0214988425925925	observer	WSRT
2013-Apr-29.869-29.913	2.57	1.0	4.8	1.311	0	0.087	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0220023148148148	observer	WSRT
2013-Apr-29.913-29.956	2.61	1.0	4.8	1.247	0	0.095	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0214988425925926	observer	WSRT
2013-Apr-29.956-30.001	2.65	1.0	4.8	1.174	0	0.099	yyyy-month-deciday-deciday	days	hours	GHz	milliJy	0.0224999999999999	observer	WSRT
