date	time	integration	band	mag	mag_limit	dmag	flux_density	dflux_density	date_unit	time_unit	time_frame	integration_unit	mag_unit	flux_density_unit	extinction_corrected	instrument	dtime	reference
	1.17	120	g'	18.8	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	1.26	120	g'	18.86	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	2.21	270	g'	19.52	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	3.23	450	g'	20.02	0	0.05				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	4.19	1260	g'	20.22	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	5.27	540	g'	20.35	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	6.28	540	g'	20.31	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	7.2	720	g'	20.32	0	0.04				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	9.87	130	g'	20.35	0	0.33				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	10.87	130	g'	20.39	0	0.35				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	11.26	720	g'	20.22	0	0.05				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	11.87	130	g'	20.06	0	0.21				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	12.18	660	g'	20.23	0	0.03				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	12.86	130	g'	20.0	0	0.23				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	13.86	130	g'	20.39	0	0.34				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	14.18	720	g'	20.31	0	0.06				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	15.18	720	g'	20.43	0	0.07				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	16.18	720	g'	20.36	0	0.13				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	17.87	150	g'	20.32	0	0.13				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	19.87	150	g'	20.78	0	0.19				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	21.87	150	g'	20.98	0	0.15				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	23.87	150	g'	21.25	0	0.3				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	27.92	150	g'	21.53	0	0.07				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	29.21	540	g'	21.62	0	0.12				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	30.19	1080	g'	21.72	0	0.09				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	34.17	1080	g'	21.84	0	0.08				days	observer	seconds	AB		False	P60		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	37.89	450	g'	22.06	0	0.08				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	39.88	450	g'	22.11	0	0.09				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	45.88	450	g'	22.64	0	0.34				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
	53.88	150	g'	22.42	0	0.07				days	observer	seconds	AB		False	Liverpool		https://ui.adsabs.harvard.edu/abs/2016ApJ...818...79T/abstract
