date	time	integration	band	mag	mag_limit	dmag	flux_density	dflux_density	date_unit	time_unit	time_frame	integration_unit	mag_unit	flux_density_unit	extinction_corrected	instrument	dtime
2013-07-30	28.987	2X60	g	21.67	0	0.03	9.5	0.2	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-04	33.009	2X60	g	21.85	0	0.04	8.1	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-06	35.973	2X60	g	22.12	0	0.04	6.3	0.2	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-10	39.991	2X60	g	22.17	0	0.06	6.0	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-10	8.035	1X60	r	19.99	0	0.01	44.9	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-10	8.04	1X60	r	19.97	0	0.01	45.7	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-11	9.977	1X60	r	19.91	0	0.01	48.4	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-11	9.982	1X60	r	19.9	0	0.01	48.9	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-13	11.969	1X60	r	19.84	0	0.01	51.6	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-16	14.977	1X60	r	19.82	0	0.01	52.7	0.5	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-20	18.974	1X60	r	19.93	0	0.01	47.4	0.6	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-22	20.968	1X60	r	19.94	0	0.02	47.1	0.9	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-27	25.981	1X60	r	20.25	0	0.01	35.4	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-30	28.989	1X60	r	20.35	0	0.01	32.2	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-04	33.011	1X60	r	20.68	0	0.02	23.7	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-06	35.975	1X60	r	20.95	0	0.02	18.6	0.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-10	39.994	1X60	r	21.2	0	0.03	14.8	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-10	8.037	1X60	i	20.22	0	0.02	36.3	0.5	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-11	9.979	1X60	i	20.14	0	0.01	39.3	0.4	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-13	11.971	1X60	i	20.07	0	0.01	41.8	0.5	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-16	14.978	1X60	i	19.93	0	0.02	47.3	0.7	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-20	18.976	1X60	i	19.76	0	0.08	55.3	4.0	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-22	20.977	1X60	i	19.99	0	0.02	44.8	1.0	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-27	25.982	1X60	i	20.23	0	0.02	35.9	0.6	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-07-30	28.99	1X60	i	20.28	0	0.02	34.3	0.6	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-04	33.013	1X60	i	20.49	0	0.05	28.4	1.3	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-06	35.977	1X60	i	20.6	0	0.03	25.5	0.6	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
2013-08-10	39.995	1X60	i	21.02	0	0.06	17.4	0.9	yyyy-mm-deciday	days	observer	seconds	AB	microJy	False	VLT	NaN
