instrument	band	date	time	mag	mag_limit	dmag	dmag2	mag_unit	time_unit	date_unit
Wise	1m+Tek	R	2729.2508218	1.2666242	16.403	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2523495	1.2681519	16.426	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2538773	1.2696797	16.408	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2554051	1.2712075	16.418	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2569329	1.2727353	16.419	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2584722	1.2742746	16.441	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2599884	1.2757908	16.435	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2615393	1.2773417	16.406	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2630556	1.278858	16.414	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2646065	1.2804089	16.435	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2661343	1.2819367	16.435	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.267662	1.2834644	16.451	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2692014	1.2850038	16.435	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2707407	1.2865431	16.425	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2722801	1.2880825	16.428	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2738079	1.2896103	16.43	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2753356	1.291138	16.443	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.276875	1.2926774	16.433	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	V	2729.2798032	1.2956056	16.8	0	00.012	0.022	Unknown	days	MJD
Wise	1m+Tek	I	2729.2830787	1.2988811	15.978	0	00.011	0.060	Unknown	days	MJD
Wise	1m+Tek	R	2729.2856713	1.3014737	16.446	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2872222	1.3030246	16.445	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2887384	1.3045408	16.432	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2902778	1.3060802	16.43	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2729.2918171	1.3076195	16.43	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2933449	1.3091473	16.429	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2948843	1.3106867	16.46	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.296412	1.3122144	16.435	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2979514	1.3137538	16.442	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.2994792	1.3152816	16.443	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3010185	1.3168209	16.422	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3025463	1.3183487	16.438	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3040857	1.3198881	16.442	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3056134	1.3214158	16.438	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3071412	1.3229436	16.432	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.308669	1.3244714	16.459	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3102199	1.3260223	16.434	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3117593	1.3275617	16.472	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.313287	1.3290894	16.457	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3148264	1.3306288	16.48	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3163542	1.3321566	16.454	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3178819	1.3336843	16.444	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3194097	1.3352121	16.468	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3209606	1.336763	16.485	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3224884	1.3382908	16.494	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3240162	1.3398186	16.471	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3255556	1.341358	16.456	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3270833	1.3428857	16.48	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	V	2729.3299074	1.3457098	16.855	0	00.010	0.021	Unknown	days	MJD
Wise	1m+Tek	I	2729.333206	1.3490084	15.996	0	00.009	0.059	Unknown	days	MJD
Wise	1m+Tek	R	2729.3358333	1.3516357	16.485	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3373727	1.3531751	16.478	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3388889	1.3546913	16.478	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3404398	1.3562422	16.472	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.341956	1.3577584	16.494	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3435069	1.3593093	16.505	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3450347	1.3608371	16.48	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3465625	1.3623649	16.473	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3480903	1.3638927	16.47	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3496181	1.3654205	16.49	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3511458	1.3669482	16.484	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3526852	1.3684876	16.506	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3542245	1.3700269	16.482	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3557523	1.3715547	16.486	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3572801	1.3730825	16.472	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3588194	1.3746218	16.473	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3603472	1.3761496	16.492	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.361875	1.3776774	16.482	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3634143	1.3792167	16.461	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3649421	1.3807445	16.489	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3664699	1.3822723	16.471	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3680208	1.3838232	16.486	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3695486	1.385351	16.467	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3710764	1.3868788	16.48	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3726157	1.3884181	16.484	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3741435	1.3899459	16.502	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3756713	1.3914737	16.486	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3771991	1.3930015	16.483	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	V	2729.3800116	1.395814	16.857	0	00.011	0.021	Unknown	days	MJD
Wise	1m+Tek	I	2729.3833218	1.3991242	16.011	0	00.010	0.059	Unknown	days	MJD
Wise	1m+Tek	R	2729.3860069	1.4018093	16.473	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3878935	1.4036959	16.48	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3894329	1.4052353	16.492	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3909606	1.406763	16.465	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3925	1.4083024	16.467	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3940393	1.4098417	16.47	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3955671	1.4113695	16.471	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3970949	1.4128973	16.472	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.3986343	1.4144367	16.449	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.400162	1.4159644	16.474	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4016898	1.4174922	16.467	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4032292	1.4190316	16.461	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4047685	1.4205709	16.475	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4062963	1.4220987	16.457	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4078241	1.4236265	16.463	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4093634	1.4251658	16.458	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4109028	1.4267052	16.454	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4124421	1.4282445	16.457	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4139699	1.4297723	16.457	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4155093	1.4313117	16.456	0	00.011	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4170255	1.4328279	16.421	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4185648	1.4343672	16.469	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4201042	1.4359066	16.445	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4216319	1.4374343	16.428	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4231597	1.4389621	16.44	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4246875	1.4404899	16.434	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4262153	1.4420177	16.432	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4277546	1.443557	16.439	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	V	2729.4309954	1.4467978	16.798	0	00.011	0.021	Unknown	days	MJD
Wise	1m+Tek	I	2729.4343171	1.4501195	15.947	0	00.010	0.060	Unknown	days	MJD
Wise	1m+Tek	R	2729.4372222	1.4530246	16.403	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.43875	1.4545524	16.418	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4402778	1.4560802	16.393	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4418056	1.457608	16.4	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4433449	1.4591473	16.412	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4448843	1.4606867	16.41	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.446412	1.4622144	16.383	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4479514	1.4637538	16.404	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4494792	1.4652816	16.38	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4510069	1.4668093	16.38	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4525463	1.4683487	16.37	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4540972	1.4698996	16.375	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.455625	1.4714274	16.363	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4571528	1.4729552	16.353	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4586921	1.4744945	16.34	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4602315	1.4760339	16.342	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4617593	1.4775617	16.344	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.463287	1.4790894	16.34	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4648148	1.4806172	16.344	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4663657	1.4821681	16.347	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4678935	1.4836959	16.333	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4694213	1.4852237	16.341	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4709606	1.486763	16.323	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4725	1.4883024	16.329	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4740278	1.4898302	16.322	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4755671	1.4913695	16.331	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4771065	1.4929089	16.324	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4786458	1.4944482	16.303	0	00.012	0.048	Unknown	days	MJD
Wise	1m+Tek	V	2729.4814699	1.4972723	16.712	0	00.011	0.021	Unknown	days	MJD
Wise	1m+Tek	I	2729.4846875	1.5004899	15.812	0	00.011	0.060	Unknown	days	MJD
Wise	1m+Tek	R	2729.487419	1.5032214	16.294	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4889583	1.5047607	16.282	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4904745	1.5062769	16.281	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4920255	1.5078279	16.295	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2729.4935417	1.5093441	16.258	0	00.021	0.051	Unknown	days	MJD
Wise	1m+Tek	R	2729.4951042	1.5109066	16.309	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2729.4966204	1.5124228	16.267	0	00.013	0.048	Unknown	days	MJD
Wise	1m+Tek	R	2729.4981482	1.5139506	16.288	0	00.019	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.2076042	2.2234066	16.802	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2091435	2.2249459	16.786	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2106713	2.2264737	16.783	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2121991	2.2280015	16.793	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2137384	2.2295408	16.822	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	I	2730.2169329	2.2327353	16.323	0	00.014	0.060	Unknown	days	MJD
Wise	1m+Tek	V	2730.2201157	2.2359181	17.193	0	00.013	0.022	Unknown	days	MJD
Wise	1m+Tek	B	2730.2242477	2.2400501	17.488	0	00.025	0.073	Unknown	days	MJD
Wise	1m+Tek	R	2730.2335648	2.2493672	16.81	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.235081	2.2508834	16.824	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.2365972	2.2523996	16.831	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.2381134	2.2539158	16.837	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2396296	2.255432	16.806	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.2411458	2.2569482	16.867	0	00.019	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.242662	2.2584644	16.826	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.2441667	2.2599691	16.827	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2456829	2.2614853	16.838	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2471991	2.2630015	16.788	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2487153	2.2645177	16.809	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2502315	2.2660339	16.837	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2517477	2.2675501	16.824	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2532639	2.2690663	16.807	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2547801	2.2705825	16.79	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2562963	2.2720987	16.827	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2578125	2.2736149	16.815	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2593287	2.2751311	16.787	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2608333	2.2766357	16.833	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2623495	2.2781519	16.778	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2638657	2.2796681	16.81	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2653819	2.2811843	16.812	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2668982	2.2827006	16.768	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2684143	2.2842167	16.79	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2699306	2.285733	16.826	0	00.019	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.2714468	2.2872492	16.806	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.272963	2.2887654	16.836	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2744792	2.2902816	16.825	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	I	2730.2777431	2.2935455	16.314	0	00.015	0.061	Unknown	days	MJD
Wise	1m+Tek	V	2730.2810069	2.2968093	17.15	0	00.015	0.023	Unknown	days	MJD
Wise	1m+Tek	R	2730.283669	2.2994714	16.825	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2851852	2.3009876	16.816	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2867014	2.3025038	16.823	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.288206	2.3040084	16.812	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2897222	2.3055246	16.821	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.2912384	2.3070408	16.824	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2927546	2.308557	16.81	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2942708	2.3100732	16.85	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.295787	2.3115894	16.818	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2973032	2.3131056	16.804	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.2988194	2.3146218	16.808	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.3003356	2.316138	16.801	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.3018518	2.3176542	16.807	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3033681	2.3191705	16.824	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3048843	2.3206867	16.817	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3063889	2.3221913	16.842	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3079051	2.3237075	16.884	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.3094213	2.3252237	16.838	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3109375	2.3267399	16.839	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3124537	2.3282561	16.826	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3139699	2.3297723	16.811	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3154861	2.3312885	16.828	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3170023	2.3328047	16.833	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3185185	2.3343209	16.834	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3200347	2.3358371	16.857	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3215509	2.3373533	16.813	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3230671	2.3388695	16.873	0	00.017	0.050	Unknown	days	MJD
Wise	1m+Tek	I	2730.3257407	2.3415431	16.354	0	00.014	0.060	Unknown	days	MJD
Wise	1m+Tek	V	2730.3288542	2.3446566	17.214	0	00.014	0.023	Unknown	days	MJD
Wise	1m+Tek	R	2730.336412	2.3522144	16.844	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3379398	2.3537422	16.884	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.339456	2.3552584	16.85	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3409606	2.356763	16.858	0	00.014	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3424769	2.3582793	16.873	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3439931	2.3597955	16.842	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.3455093	2.3613117	16.886	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3470255	2.3628279	16.871	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3485417	2.3643441	16.908	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3500579	2.3658603	16.847	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3515741	2.3673765	16.868	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3530903	2.3688927	16.869	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3546065	2.3704089	16.879	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3561227	2.3719251	16.853	0	00.019	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.3576389	2.3734413	16.877	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.3591435	2.3749459	16.881	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.3606597	2.3764621	16.871	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3621759	2.3779783	16.859	0	00.017	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3636921	2.3794945	16.881	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3652083	2.3810107	16.897	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.3667245	2.3825269	16.862	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3682407	2.3840431	16.878	0	00.018	0.050	Unknown	days	MJD
Wise	1m+Tek	R	2730.3697569	2.3855593	16.882	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3712732	2.3870756	16.891	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3727893	2.3885917	16.886	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3743056	2.390108	16.867	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3758218	2.3916242	16.871	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.377338	2.3931404	16.882	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	I	2730.3801968	2.3959992	16.403	0	00.013	0.060	Unknown	days	MJD
Wise	1m+Tek	V	2730.3834143	2.3992167	17.252	0	00.014	0.023	Unknown	days	MJD
Wise	1m+Tek	R	2730.386169	2.4019714	16.894	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3876852	2.4034876	16.911	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3892014	2.4050038	16.887	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3907292	2.4065316	16.908	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3922454	2.4080478	16.911	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3937616	2.409564	16.886	0	00.016	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3952662	2.4110686	16.888	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3967824	2.4125848	16.921	0	00.015	0.049	Unknown	days	MJD
Wise	1m+Tek	R	2730.3982986	2.414101	16.895	0	00.015	0.049	Unknown	days	MJD
