date	band	mag	mag_limit	dmag	date_unit	mag_unit	time	time_unit
2728.4264815-2728.4266551	B	15.306	0	0.013	MJD-MJD	Unspecified	0.44237073495370377	days
2728.4269213-2728.4270370	V	14.963	0	0.009	MJD-MJD	Unspecified	0.44278157986111116	days
2728.4273148-2728.4274306	R	14.64	0	0.023	MJD-MJD	Unspecified	0.4431751331018518	days
2728.4277199-2728.4278935	B	15.311	0	0.013	MJD-MJD	Unspecified	0.4436091261574075	days
2728.4281944-2728.4283102	V	14.964	0	0.009	MJD-MJD	Unspecified	0.4440547280092593	days
2728.4285764-2728.4286921	R	14.641	0	0.023	MJD-MJD	Unspecified	0.4444366782407408	days
2728.4291667-2728.4293403	B	15.315	0	0.013	MJD-MJD	Unspecified	0.4450559317129629	days
2728.4296181-2728.4297338	V	14.967	0	0.009	MJD-MJD	Unspecified	0.4454783796296297	days
2728.4300347-2728.4301505	R	14.643	0	0.023	MJD-MJD	Unspecified	0.44589502893518523	days
2728.4304977-2728.4306713	B	15.316	0	0.013	MJD-MJD	Unspecified	0.44638692708333333	days
2728.4309375-2728.4310532	V	14.97	0	0.009	MJD-MJD	Unspecified	0.4467977777777778	days
2728.4313310-2728.4314468	R	14.652	0	0.023	MJD-MJD	Unspecified	0.44719133101851866	days
2728.4317245-2728.4318981	B	15.32	0	0.013	MJD-MJD	Unspecified	0.4476137326388889	days
2728.4321644-2728.4322801	V	14.973	0	0.009	MJD-MJD	Unspecified	0.448024681712963	days
2728.4326042-2728.4327199	R	14.652	0	0.023	MJD-MJD	Unspecified	0.4484644791666667	days
2728.4329977-2728.4331713	B	15.328	0	0.013	MJD-MJD	Unspecified	0.4488869270833333	days
2728.4341898-2728.4343056	V	14.986	0	0.009	MJD-MJD	Unspecified	0.4500501331018519	days
2728.4345949-2728.4347106	R	14.654	0	0.023	MJD-MJD	Unspecified	0.4504551793981481	days
2728.4350116-2728.4351852	B	15.335	0	0.013	MJD-MJD	Unspecified	0.4509008275462963	days
2728.4354630-2728.4355787	V	14.981	0	0.009	MJD-MJD	Unspecified	0.45132328125000004	days
2728.4358449-2728.4359606	R	14.666	0	0.023	MJD-MJD	Unspecified	0.4517051793981481	days
2728.4362731-2728.4364468	B	15.34	0	0.013	MJD-MJD	Unspecified	0.4521623842592593	days
2728.4367130-2728.4368287	V	14.994	0	0.009	MJD-MJD	Unspecified	0.45257328125	days
2728.4370949-2728.4372106	R	14.666	0	0.023	MJD-MJD	Unspecified	0.45295517939814806	days
2728.4375347-2728.4377083	B	15.341	0	0.013	MJD-MJD	Unspecified	0.4534239293981483	days
2728.4379745-2728.4380903	V	14.995	0	0.009	MJD-MJD	Unspecified	0.45383483217592596	days
2728.4383681-2728.4384838	R	14.671	0	0.023	MJD-MJD	Unspecified	0.45422837962962964	days
2728.4387616-2728.4389352	B	15.343	0	0.013	MJD-MJD	Unspecified	0.4546508275462963	days
2728.4392130-2728.4393287	V	14.998	0	0.009	MJD-MJD	Unspecified	0.45507328124999996	days
2728.4396065-2728.4397222	R	14.68	0	0.022	MJD-MJD	Unspecified	0.4554667824074074	days
2728.4399884-2728.4401620	B	15.354	0	0.013	MJD-MJD	Unspecified	0.45587763310185186	days
2728.4404745-2728.4405903	V	15.004	0	0.009	MJD-MJD	Unspecified	0.4563348321759259	days
2728.4409491-2728.4410648	R	14.677	0	0.023	MJD-MJD	Unspecified	0.456809380787037	days
