time	mag	mag_limit	dmag	band	instrument	time_unit	mag_unit
0.936	16.087	0	0.08	U	KAIT	days	Unknown
0.9371	16.118	0	0.02	U	FLWO	days	Unknown
0.9475	16.155	0	0.03	U	FLWO	days	Unknown
0.9578	16.176	0	0.03	U	FLWO	days	Unknown
1.6398	16.415	0	0.02	U	FLWO	days	Unknown
1.7351	16.539	0	0.02	U	FLWO	days	Unknown
1.7852	16.546	0	0.06	U	KAIT	days	Unknown
1.8337	16.681	0	0.02	U	FLWO	days	Unknown
1.9092	16.771	0	0.02	U	FLWO	days	Unknown
2.8438	17.282	0	0.02	U	FLWO	days	Unknown
2.9549	17.329	0	0.03	U	FLWO	days	Unknown
3.7822	17.578	0	0.03	U	FLWO	days	Unknown
3.8012	17.61	0	0.03	U	FLWO	days	Unknown
3.8262	17.67	0	0.03	U	FLWO	days	Unknown
3.8454	17.704	0	0.03	U	FLWO	days	Unknown
4.6574	18.06	0	0.03	U	FLWO	days	Unknown
5.6493	18.011	0	0.04	U	FLWO	days	Unknown
6.6648	18.664	0	0.06	U	FLWO	days	Unknown
0.6411	15.903	0	0.01	B	FLWO	days	Unknown
0.6518	15.921	0	0.01	B	FLWO	days	Unknown
0.6663	15.977	0	0.01	B	FLWO	days	Unknown
0.6836	16.013	0	0.02	B	KAIT	days	Unknown
0.6863	16.033	0	0.01	B	FLWO	days	Unknown
0.6912	16.036	0	0.01	B	FLWO	days	Unknown
0.7019	16.085	0	0.01	B	FLWO	days	Unknown
0.708	16.076	0	0.02	B	KAIT	days	Unknown
0.712	16.1	0	0.01	B	FLWO	days	Unknown
0.722	16.146	0	0.01	B	FLWO	days	Unknown
0.7238	16.117	0	0.01	B	KAIT	days	Unknown
0.732	16.185	0	0.01	B	FLWO	days	Unknown
0.7432	16.161	0	0.01	B	FLWO	days	Unknown
0.7536	16.212	0	0.01	B	FLWO	days	Unknown
0.7629	16.229	0	0.01	B	KAIT	days	Unknown
0.7639	16.242	0	0.01	B	FLWO	days	Unknown
0.7743	16.286	0	0.01	B	FLWO	days	Unknown
0.7786	16.288	0	0.02	B	KAIT	days	Unknown
0.7847	16.302	0	0.01	B	FLWO	days	Unknown
0.795	16.328	0	0.01	B	FLWO	days	Unknown
0.8054	16.346	0	0.01	B	FLWO	days	Unknown
0.8138	16.374	0	0.03	B	KAIT	days	Unknown
0.8157	16.379	0	0.01	B	FLWO	days	Unknown
0.8262	16.386	0	0.01	B	FLWO	days	Unknown
0.8363	16.4	0	0.03	B	KAIT	days	Unknown
0.8365	16.429	0	0.01	B	FLWO	days	Unknown
0.8468	16.444	0	0.01	B	FLWO	days	Unknown
0.8572	16.491	0	0.01	B	FLWO	days	Unknown
0.8576	16.505	0	0.04	B	KAIT	days	Unknown
0.8676	16.519	0	0.01	B	FLWO	days	Unknown
0.8734	16.505	0	0.03	B	KAIT	days	Unknown
0.878	16.542	0	0.01	B	FLWO	days	Unknown
0.8883	16.562	0	0.02	B	FLWO	days	Unknown
0.8893	16.531	0	0.05	B	KAIT	days	Unknown
0.8986	16.626	0	0.02	B	FLWO	days	Unknown
0.9079	16.595	0	0.07	B	KAIT	days	Unknown
0.909	16.64	0	0.02	B	FLWO	days	Unknown
0.9195	16.654	0	0.02	B	FLWO	days	Unknown
0.9239	16.676	0	0.03	B	KAIT	days	Unknown
0.9298	16.665	0	0.02	B	FLWO	days	Unknown
0.9399	16.71	0	0.02	B	KAIT	days	Unknown
0.9402	16.724	0	0.02	B	FLWO	days	Unknown
0.9505	16.748	0	0.02	B	FLWO	days	Unknown
1.6447	17.002	0	0.01	B	FLWO	days	Unknown
1.7399	17.132	0	0.01	B	FLWO	days	Unknown
1.7909	17.21	0	0.02	B	KAIT	days	Unknown
1.8385	17.267	0	0.01	B	FLWO	days	Unknown
1.9144	17.331	0	0.01	B	FLWO	days	Unknown
2.8485	17.805	0	0.02	B	FLWO	days	Unknown
2.9596	17.937	0	0.02	B	FLWO	days	Unknown
3.7261	18.104	0	0.04	B	FLWO	days	Unknown
3.7875	18.154	0	0.02	B	FLWO	days	Unknown
3.8125	18.197	0	0.02	B	FLWO	days	Unknown
3.8316	18.221	0	0.02	B	FLWO	days	Unknown
3.8621	18.244	0	0.02	B	FLWO	days	Unknown
4.6437	18.632	0	0.02	B	FLWO	days	Unknown
5.6356	18.528	0	0.03	B	FLWO	days	Unknown
5.7063	18.548	0	0.04	B	LCO100	days	Unknown
5.71	18.569	0	0.04	B	LCO100	days	Unknown
6.5796	19.076	0	0.04	B	LCO100	days	Unknown
6.584	19.069	0	0.04	B	LCO100	days	Unknown
6.6511	19.053	0	0.03	B	FLWO	days	Unknown
6.869	19.149	0	0.03	B	FLWO	days	Unknown
7.6383	19.478	0	0.06	B	FLWO	days	Unknown
7.8741	19.632	0	0.05	B	FLWO	days	Unknown
8.6528	19.699	0	0.06	B	FLWO	days	Unknown
8.7897	19.774	0	0.04	B	FLWO	days	Unknown
8.8919	19.698	0	0.04	B	FLWO	days	Unknown
9.6497	19.75	0	0.05	B	FLWO	days	Unknown
9.7762	19.871	0	0.04	B	FLWO	days	Unknown
9.872	19.82	0	0.06	B	FLWO	days	Unknown
10.7558	19.953	0	0.04	B	FLWO	days	Unknown
11.7358	20.112	0	0.04	B	FLWO	days	Unknown
12.7403	20.394	0	0.05	B	FLWO	days	Unknown
21.7	21.296	0	0.06	B	FLWO	days	Unknown
22.6667	21.241	0	0.07	B	FLWO	days	Unknown
23.6814	21.382	0	0.07	B	FLWO	days	Unknown
24.6858	21.44	0	0.06	B	FLWO	days	Unknown
25.6888	21.671	0	0.04	B	KPNO4m	days	Unknown
25.6968	21.583	0	0.04	B	KPNO4m	days	Unknown
25.7402	21.516	0	0.06	B	FLWO	days	Unknown
26.6888	21.675	0	0.04	B	KPNO4m	days	Unknown
26.6968	21.66	0	0.04	B	KPNO4m	days	Unknown
26.7191	21.644	0	0.08	B	FLWO	days	Unknown
27.6718	21.714	0	0.03	B	KPNO4m	days	Unknown
27.6878	21.725	0	0.02	B	KPNO4m	days	Unknown
28.6688	21.794	0	0.03	B	KPNO4m	days	Unknown
29.6408	21.869	0	0.06	B	KPNO4m	days	Unknown
29.6528	21.9	0	0.02	B	KPNO4m	days	Unknown
30.6808	21.971	0	0.03	B	KPNO4m	days	Unknown
31.6678	22.034	0	0.02	B	KPNO4m	days	Unknown
31.6748	22.023	0	0.02	B	KPNO4m	days	Unknown
32.6818	22.066	0	0.04	B	KPNO4m	days	Unknown
33.6558	22.124	0	0.03	B	KPNO4m	days	Unknown
33.6628	22.173	0	0.05	B	KPNO4m	days	Unknown
34.6538	22.121	0	0.05	B	KPNO4m	days	Unknown
34.6608	22.185	0	0.04	B	KPNO4m	days	Unknown
36.5578	22.268	0	0.04	B	LCO100	days	Unknown
37.5148	22.285	0	0.04	B	LCO100	days	Unknown
37.6718	22.254	0	0.04	B	KPNO4m	days	Unknown
37.6808	22.357	0	0.04	B	KPNO4m	days	Unknown
38.5538	22.273	0	0.04	B	LCO100	days	Unknown
39.5468	22.335	0	0.06	B	LCO100	days	Unknown
0.6432	15.545	0	0.01	V	FLWO	days	Unknown
0.6539	15.574	0	0.01	V	FLWO	days	Unknown
0.6709	15.614	0	0.01	V	FLWO	days	Unknown
0.6876	15.729	0	0.03	V	KAIT	days	Unknown
0.6927	15.692	0	0.01	V	FLWO	days	Unknown
0.7036	15.72	0	0.01	V	FLWO	days	Unknown
0.7111	15.77	0	0.01	V	KAIT	days	Unknown
0.7136	15.75	0	0.01	V	FLWO	days	Unknown
0.7236	15.784	0	0.01	V	FLWO	days	Unknown
0.7269	15.807	0	0.01	V	KAIT	days	Unknown
0.7336	15.809	0	0.01	V	FLWO	days	Unknown
0.745	15.822	0	0.01	V	FLWO	days	Unknown
0.7554	15.851	0	0.01	V	FLWO	days	Unknown
0.7657	15.893	0	0.01	V	FLWO	days	Unknown
0.766	15.931	0	0.03	V	KAIT	days	Unknown
0.7761	15.911	0	0.01	V	FLWO	days	Unknown
0.7817	15.965	0	0.03	V	KAIT	days	Unknown
0.7865	15.946	0	0.01	V	FLWO	days	Unknown
0.7968	15.962	0	0.01	V	FLWO	days	Unknown
0.8072	15.977	0	0.01	V	FLWO	days	Unknown
0.8176	16.034	0	0.01	V	FLWO	days	Unknown
0.8178	16.07	0	0.02	V	KAIT	days	Unknown
0.828	16.051	0	0.01	V	FLWO	days	Unknown
0.8383	16.069	0	0.01	V	FLWO	days	Unknown
0.8395	16.139	0	0.02	V	KAIT	days	Unknown
0.8486	16.104	0	0.01	V	FLWO	days	Unknown
0.859	16.155	0	0.01	V	FLWO	days	Unknown
0.8607	16.192	0	0.02	V	KAIT	days	Unknown
0.8694	16.151	0	0.01	V	FLWO	days	Unknown
0.8765	16.239	0	0.03	V	KAIT	days	Unknown
0.8798	16.194	0	0.01	V	FLWO	days	Unknown
0.8901	16.208	0	0.02	V	FLWO	days	Unknown
0.8924	16.254	0	0.05	V	KAIT	days	Unknown
0.9004	16.247	0	0.02	V	FLWO	days	Unknown
0.9109	16.245	0	0.02	V	FLWO	days	Unknown
0.911	16.269	0	0.07	V	KAIT	days	Unknown
0.9213	16.309	0	0.02	V	FLWO	days	Unknown
0.927	16.36	0	0.05	V	KAIT	days	Unknown
0.9316	16.331	0	0.02	V	FLWO	days	Unknown
0.942	16.336	0	0.02	V	FLWO	days	Unknown
0.9432	16.395	0	0.04	V	KAIT	days	Unknown
0.9523	16.366	0	0.02	V	FLWO	days	Unknown
1.6482	16.628	0	0.01	V	FLWO	days	Unknown
1.7435	16.737	0	0.01	V	FLWO	days	Unknown
1.7949	16.861	0	0.03	V	KAIT	days	Unknown
1.8421	16.859	0	0.01	V	FLWO	days	Unknown
1.8564	16.906	0	0.07	V	KAIT	days	Unknown
1.9179	16.925	0	0.01	V	FLWO	days	Unknown
2.852	17.416	0	0.01	V	FLWO	days	Unknown
2.9632	17.486	0	0.02	V	FLWO	days	Unknown
3.7296	17.717	0	0.05	V	FLWO	days	Unknown
3.772	17.748	0	0.02	V	FLWO	days	Unknown
3.7911	17.757	0	0.02	V	FLWO	days	Unknown
3.816	17.783	0	0.02	V	FLWO	days	Unknown
3.8352	17.825	0	0.02	V	FLWO	days	Unknown
3.8657	17.814	0	0.02	V	FLWO	days	Unknown
4.6472	18.11	0	0.02	V	FLWO	days	Unknown
5.6391	18.11	0	0.02	V	FLWO	days	Unknown
5.715	18.099	0	0.02	V	LCO100	days	Unknown
5.7177	18.072	0	0.02	V	LCO100	days	Unknown
6.5882	18.585	0	0.02	V	LCO100	days	Unknown
6.5908	18.584	0	0.02	V	LCO100	days	Unknown
6.6546	18.617	0	0.02	V	FLWO	days	Unknown
6.8737	18.716	0	0.02	V	FLWO	days	Unknown
7.6431	19.064	0	0.04	V	FLWO	days	Unknown
7.8788	19.024	0	0.04	V	FLWO	days	Unknown
8.6401	19.158	0	0.06	V	FLWO	days	Unknown
8.777	19.225	0	0.04	V	FLWO	days	Unknown
8.8792	19.227	0	0.04	V	FLWO	days	Unknown
9.637	19.17	0	0.06	V	FLWO	days	Unknown
9.7635	19.206	0	0.03	V	FLWO	days	Unknown
9.8592	19.194	0	0.05	V	FLWO	days	Unknown
10.6658	19.452	0	0.05	V	FLWO	days	Unknown
10.8158	19.458	0	0.04	V	FLWO	days	Unknown
11.659	19.575	0	0.04	V	FLWO	days	Unknown
11.7723	19.57	0	0.04	V	FLWO	days	Unknown
25.6828	20.632	0	0.04	V	KPNO4m	days	Unknown
25.7038	20.62	0	0.03	V	KPNO4m	days	Unknown
26.6778	20.701	0	0.04	V	KPNO4m	days	Unknown
26.6838	20.68	0	0.04	V	KPNO4m	days	Unknown
27.6668	20.812	0	0.02	V	KPNO4m	days	Unknown
27.6828	20.815	0	0.02	V	KPNO4m	days	Unknown
28.6748	20.885	0	0.02	V	KPNO4m	days	Unknown
29.6358	20.953	0	0.04	V	KPNO4m	days	Unknown
29.6468	20.948	0	0.02	V	KPNO4m	days	Unknown
30.6878	21.058	0	0.02	V	KPNO4m	days	Unknown
31.6558	21.08	0	0.02	V	KPNO4m	days	Unknown
31.6618	21.09	0	0.02	V	KPNO4m	days	Unknown
32.6888	21.122	0	0.03	V	KPNO4m	days	Unknown
33.6428	21.21	0	0.03	V	KPNO4m	days	Unknown
33.6488	21.224	0	0.02	V	KPNO4m	days	Unknown
33.6818	21.16	0	0.04	V	KPNO4m	days	Unknown
34.6468	21.337	0	0.05	V	KPNO4m	days	Unknown
34.6698	21.31	0	0.05	V	KPNO4m	days	Unknown
36.5368	21.374	0	0.03	V	LCO100	days	Unknown
36.6688	21.392	0	0.03	V	KPNO4m	days	Unknown
36.6768	21.36	0	0.03	V	KPNO4m	days	Unknown
37.4928	21.433	0	0.03	V	LCO100	days	Unknown
38.5468	21.487	0	0.03	V	LCO100	days	Unknown
39.5328	21.468	0	0.03	V	LCO100	days	Unknown
0.5678	15.021	0	0.02	R	Clay	days	Unknown
0.5698	14.99	0	0.02	R	Clay	days	Unknown
0.6251	15.182	0	0.01	R	FLWO	days	Unknown
0.6276	15.165	0	0.01	R	FLWO	days	Unknown
0.6307	15.18	0	0.01	R	FLWO	days	Unknown
0.6452	15.228	0	0.01	R	FLWO	days	Unknown
0.6559	15.266	0	0.01	R	FLWO	days	Unknown
0.6755	15.306	0	0.01	R	FLWO	days	Unknown
0.692	15.4	0	0.03	R	KAIT	days	Unknown
0.6943	15.381	0	0.01	R	FLWO	days	Unknown
0.7049	15.387	0	0.01	R	FLWO	days	Unknown
0.7133	15.424	0	0.02	R	KAIT	days	Unknown
0.715	15.422	0	0.01	R	FLWO	days	Unknown
0.725	15.464	0	0.01	R	FLWO	days	Unknown
0.7291	15.463	0	0.01	R	KAIT	days	Unknown
0.735	15.502	0	0.01	R	FLWO	days	Unknown
0.7464	15.504	0	0.01	R	FLWO	days	Unknown
0.7567	15.535	0	0.01	R	FLWO	days	Unknown
0.7671	15.576	0	0.01	R	FLWO	days	Unknown
0.7683	15.594	0	0.02	R	KAIT	days	Unknown
0.7775	15.578	0	0.01	R	FLWO	days	Unknown
0.7839	15.635	0	0.02	R	KAIT	days	Unknown
0.7878	15.624	0	0.01	R	FLWO	days	Unknown
0.7982	15.634	0	0.01	R	FLWO	days	Unknown
0.8086	15.664	0	0.01	R	FLWO	days	Unknown
0.819	15.702	0	0.01	R	FLWO	days	Unknown
0.8218	15.7	0	0.01	R	KAIT	days	Unknown
0.8293	15.75	0	0.01	R	FLWO	days	Unknown
0.8396	15.742	0	0.01	R	FLWO	days	Unknown
0.8417	15.785	0	0.08	R	KAIT	days	Unknown
0.85	15.774	0	0.01	R	FLWO	days	Unknown
0.8604	15.802	0	0.01	R	FLWO	days	Unknown
0.863	15.801	0	0.01	R	KAIT	days	Unknown
0.8708	15.852	0	0.01	R	FLWO	days	Unknown
0.8787	15.875	0	0.01	R	KAIT	days	Unknown
0.8811	15.875	0	0.01	R	FLWO	days	Unknown
0.8915	15.885	0	0.01	R	FLWO	days	Unknown
0.8947	15.883	0	0.02	R	KAIT	days	Unknown
0.9018	15.909	0	0.01	R	FLWO	days	Unknown
0.9123	15.946	0	0.01	R	FLWO	days	Unknown
0.9132	15.924	0	0.02	R	KAIT	days	Unknown
0.9226	15.983	0	0.02	R	FLWO	days	Unknown
0.9293	15.941	0	0.02	R	KAIT	days	Unknown
0.933	16.002	0	0.02	R	FLWO	days	Unknown
0.9433	16.034	0	0.02	R	FLWO	days	Unknown
0.9454	16.078	0	0.06	R	KAIT	days	Unknown
0.9537	16.069	0	0.02	R	FLWO	days	Unknown
1.5838	16.233	0	0.02	R	Clay	days	Unknown
1.5848	16.23	0	0.02	R	Clay	days	Unknown
1.5858	16.225	0	0.02	R	Clay	days	Unknown
1.5868	16.227	0	0.02	R	Clay	days	Unknown
1.6514	16.271	0	0.01	R	FLWO	days	Unknown
1.7466	16.403	0	0.01	R	FLWO	days	Unknown
1.7989	16.536	0	0.02	R	KAIT	days	Unknown
1.8452	16.541	0	0.01	R	FLWO	days	Unknown
1.8611	16.647	0	0.07	R	KAIT	days	Unknown
1.9211	16.575	0	0.01	R	FLWO	days	Unknown
2.5778	16.815	0	0.02	R	Clay	days	Unknown
2.5788	16.849	0	0.02	R	Clay	days	Unknown
2.5808	16.858	0	0.02	R	Clay	days	Unknown
2.5818	16.856	0	0.02	R	Clay	days	Unknown
2.8552	17.069	0	0.01	R	FLWO	days	Unknown
2.9663	17.152	0	0.01	R	FLWO	days	Unknown
3.5868	17.241	0	0.02	R	Clay	days	Unknown
3.5968	17.245	0	0.02	R	Clay	days	Unknown
3.5978	17.254	0	0.02	R	Clay	days	Unknown
3.5988	17.242	0	0.02	R	Clay	days	Unknown
3.5998	17.252	0	0.02	R	Clay	days	Unknown
3.6058	17.23	0	0.02	R	Clay	days	Unknown
3.7328	17.361	0	0.03	R	FLWO	days	Unknown
3.7752	17.387	0	0.02	R	FLWO	days	Unknown
3.7942	17.408	0	0.01	R	FLWO	days	Unknown
3.8192	17.433	0	0.01	R	FLWO	days	Unknown
3.8383	17.462	0	0.01	R	FLWO	days	Unknown
3.8688	17.491	0	0.02	R	FLWO	days	Unknown
4.6008	17.799	0	0.02	R	Clay	days	Unknown
4.6048	17.788	0	0.02	R	Clay	days	Unknown
4.6058	17.788	0	0.02	R	Clay	days	Unknown
4.6068	17.795	0	0.02	R	Clay	days	Unknown
4.6088	17.797	0	0.02	R	Clay	days	Unknown
4.6098	17.803	0	0.02	R	Clay	days	Unknown
4.6348	17.807	0	0.02	R	Clay	days	Unknown
4.6368	17.803	0	0.02	R	Clay	days	Unknown
4.6388	17.826	0	0.02	R	Clay	days	Unknown
4.6504	17.79	0	0.02	R	FLWO	days	Unknown
5.6423	17.776	0	0.02	R	FLWO	days	Unknown
6.6578	18.253	0	0.02	R	FLWO	days	Unknown
6.8776	18.395	0	0.02	R	FLWO	days	Unknown
7.6469	18.734	0	0.03	R	FLWO	days	Unknown
7.8827	18.75	0	0.04	R	FLWO	days	Unknown
8.644	18.848	0	0.03	R	FLWO	days	Unknown
8.6653	18.834	0	0.04	R	FLWO	days	Unknown
8.7808	18.845	0	0.03	R	FLWO	days	Unknown
8.883	18.881	0	0.03	R	FLWO	days	Unknown
9.6409	18.891	0	0.03	R	FLWO	days	Unknown
9.7674	18.935	0	0.03	R	FLWO	days	Unknown
9.8631	18.942	0	0.04	R	FLWO	days	Unknown
10.6708	19.097	0	0.04	R	FLWO	days	Unknown
10.8258	19.05	0	0.03	R	FLWO	days	Unknown
11.6529	19.246	0	0.03	R	FLWO	days	Unknown
11.694	19.209	0	0.03	R	FLWO	days	Unknown
11.8158	19.258	0	0.03	R	FLWO	days	Unknown
12.6858	19.305	0	0.03	R	FLWO	days	Unknown
12.8158	19.358	0	0.04	R	FLWO	days	Unknown
13.6344	19.414	0	0.08	R	FLWO	days	Unknown
13.659	19.48	0	0.08	R	FLWO	days	Unknown
19.6958	19.777	0	0.04	R	FLWO	days	Unknown
19.7354	19.807	0	0.04	R	FLWO	days	Unknown
19.7822	19.815	0	0.06	R	FLWO	days	Unknown
20.7058	19.859	0	0.04	R	FLWO	days	Unknown
20.8038	19.937	0	0.05	R	FLWO	days	Unknown
20.8398	19.795	0	0.05	R	FLWO	days	Unknown
21.6588	19.938	0	0.03	R	FLWO	days	Unknown
21.7862	19.949	0	0.04	R	FLWO	days	Unknown
21.8729	19.866	0	0.06	R	FLWO	days	Unknown
22.6098	19.945	0	0.05	R	LCO40	days	Unknown
22.6448	20.017	0	0.04	R	FLWO	days	Unknown
22.7344	20.006	0	0.04	R	FLWO	days	Unknown
23.6582	20.08	0	0.03	R	FLWO	days	Unknown
23.7544	20.043	0	0.04	R	FLWO	days	Unknown
24.6514	20.146	0	0.04	R	FLWO	days	Unknown
24.8058	20.117	0	0.03	R	FLWO	days	Unknown
25.6658	20.158	0	0.02	R	KPNO4m	days	Unknown
25.7001	20.142	0	0.04	R	FLWO	days	Unknown
25.7098	20.148	0	0.02	R	KPNO4m	days	Unknown
25.7178	20.175	0	0.04	R	FLWO	days	Unknown
26.6718	20.255	0	0.04	R	FLWO	days	Unknown
27.7108	20.32	0	0.05	R	FLWO	days	Unknown
28.72	20.229	0	0.05	R	FLWO	days	Unknown
28.7314	20.347	0	0.06	R	FLWO	days	Unknown
29.6629	20.422	0	0.04	R	FLWO	days	Unknown
29.6781	20.35	0	0.04	R	FLWO	days	Unknown
29.6895	20.422	0	0.05	R	FLWO	days	Unknown
30.6941	20.478	0	0.04	R	FLWO	days	Unknown
30.7201	20.493	0	0.04	R	FLWO	days	Unknown
31.7105	20.568	0	0.04	R	FLWO	days	Unknown
32.5908	20.549	0	0.07	R	LCO40	days	Unknown
32.6581	20.588	0	0.04	R	FLWO	days	Unknown
33.6338	20.665	0	0.03	R	KPNO4m	days	Unknown
33.801	20.563	0	0.06	R	FLWO	days	Unknown
33.8173	20.657	0	0.06	R	FLWO	days	Unknown
34.5648	20.7	0	0.04	R	KPNO4m	days	Unknown
34.6919	20.812	0	0.07	R	FLWO	days	Unknown
34.7081	20.705	0	0.05	R	FLWO	days	Unknown
36.8058	20.875	0	0.08	R	FLWO	days	Unknown
37.6631	20.82	0	0.07	R	FLWO	days	Unknown
37.6738	20.897	0	0.05	R	FLWO	days	Unknown
37.6846	20.823	0	0.06	R	FLWO	days	Unknown
38.73	21.024	0	0.06	R	FLWO	days	Unknown
39.6716	21.012	0	0.07	R	FLWO	days	Unknown
51.7458	21.553	0	0.06	R	FLWO	days	Unknown
52.7058	21.698	0	0.11	R	FLWO	days	Unknown
53.7408	21.43	0	0.08	R	FLWO	days	Unknown
54.6944	21.309	0	0.09	R	FLWO	days	Unknown
57.7163	21.612	0	0.06	R	FLWO	days	Unknown
59.7069	21.456	0	0.07	R	FLWO	days	Unknown
60.7058	21.618	0	0.09	R	FLWO	days	Unknown
0.647	14.82	0	0.01	I	FLWO	days	Unknown
0.6577	14.845	0	0.01	I	FLWO	days	Unknown
0.6801	14.896	0	0.01	I	FLWO	days	Unknown
0.6959	14.937	0	0.01	I	FLWO	days	Unknown
0.6961	14.974	0	0.03	I	KAIT	days	Unknown
0.7062	14.981	0	0.01	I	FLWO	days	Unknown
0.7155	14.995	0	0.03	I	KAIT	days	Unknown
0.7162	15.045	0	0.01	I	FLWO	days	Unknown
0.7262	15.053	0	0.01	I	FLWO	days	Unknown
0.7313	15.034	0	0.02	I	KAIT	days	Unknown
0.7362	15.042	0	0.01	I	FLWO	days	Unknown
0.7477	15.103	0	0.01	I	FLWO	days	Unknown
0.758	15.134	0	0.01	I	FLWO	days	Unknown
0.7684	15.173	0	0.01	I	FLWO	days	Unknown
0.7705	15.133	0	0.03	I	KAIT	days	Unknown
0.7788	15.182	0	0.01	I	FLWO	days	Unknown
0.7862	15.219	0	0.03	I	KAIT	days	Unknown
0.7891	15.225	0	0.01	I	FLWO	days	Unknown
0.7995	15.218	0	0.02	I	FLWO	days	Unknown
0.8098	15.232	0	0.02	I	FLWO	days	Unknown
0.8203	15.287	0	0.01	I	FLWO	days	Unknown
0.8259	15.286	0	0.02	I	KAIT	days	Unknown
0.8306	15.331	0	0.01	I	FLWO	days	Unknown
0.8409	15.352	0	0.02	I	FLWO	days	Unknown
0.844	15.3	0	0.03	I	KAIT	days	Unknown
0.8513	15.38	0	0.01	I	FLWO	days	Unknown
0.8616	15.42	0	0.02	I	FLWO	days	Unknown
0.8652	15.402	0	0.02	I	KAIT	days	Unknown
0.8721	15.411	0	0.02	I	FLWO	days	Unknown
0.881	15.424	0	0.02	I	KAIT	days	Unknown
0.8824	15.407	0	0.02	I	FLWO	days	Unknown
0.8927	15.424	0	0.02	I	FLWO	days	Unknown
0.8969	15.471	0	0.02	I	KAIT	days	Unknown
0.9031	15.443	0	0.02	I	FLWO	days	Unknown
0.9136	15.511	0	0.02	I	FLWO	days	Unknown
0.9155	15.534	0	0.02	I	KAIT	days	Unknown
0.9239	15.606	0	0.02	I	FLWO	days	Unknown
0.9316	15.571	0	0.04	I	KAIT	days	Unknown
0.9343	15.648	0	0.02	I	FLWO	days	Unknown
0.9446	15.648	0	0.02	I	FLWO	days	Unknown
0.9477	15.569	0	0.03	I	KAIT	days	Unknown
0.955	15.649	0	0.03	I	FLWO	days	Unknown
1.6542	15.828	0	0.01	I	FLWO	days	Unknown
1.7495	15.95	0	0.01	I	FLWO	days	Unknown
1.8029	16.044	0	0.04	I	KAIT	days	Unknown
1.8481	16.087	0	0.01	I	FLWO	days	Unknown
1.8652	16.059	0	0.07	I	KAIT	days	Unknown
1.9239	16.123	0	0.01	I	FLWO	days	Unknown
2.8581	16.594	0	0.01	I	FLWO	days	Unknown
2.9692	16.681	0	0.02	I	FLWO	days	Unknown
3.778	16.957	0	0.02	I	FLWO	days	Unknown
3.797	16.979	0	0.02	I	FLWO	days	Unknown
3.822	16.971	0	0.02	I	FLWO	days	Unknown
3.8412	17.014	0	0.02	I	FLWO	days	Unknown
3.8717	17.027	0	0.05	I	FLWO	days	Unknown
4.6532	17.363	0	0.02	I	FLWO	days	Unknown
5.6451	17.319	0	0.02	I	FLWO	days	Unknown
5.7205	17.369	0	0.02	I	LCO100	days	Unknown
5.7224	17.365	0	0.02	I	LCO100	days	Unknown
6.5936	17.83	0	0.02	I	LCO100	days	Unknown
6.5956	17.878	0	0.03	I	LCO100	days	Unknown
6.6606	17.899	0	0.03	I	FLWO	days	Unknown
6.8811	17.968	0	0.03	I	FLWO	days	Unknown
7.6504	18.315	0	0.04	I	FLWO	days	Unknown
7.8862	18.386	0	0.05	I	FLWO	days	Unknown
