event,time,magnitude,e_magnitude,band,ra,dec,source,refs
2012bz,56054.163,21.21,0.14,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56054.2376,21.46,0.14,K,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56054.249,22.16,0.07,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56054.258,21.26,0.05,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56054.264,21.29,0.05,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56054.2708,21.63,0.06,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56054.2834,21.96,0.11,J,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56055.175,21.26,0.11,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56055.884,21.35,0.05,ii,,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56056.895,21.23,0.07,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56058.889,21.32,0.07,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56058.9733,21.48,0.04,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56059.0048,21.48,0.07,z',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56059.005,22.22,0.04,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56059.005,21.24,0.04,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56059.005,21.27,0.03,i',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56059.005,21.21,0.04,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56059.02,22.19,0.07,g',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
2012bz,56059.032,21.27,0.05,r',,,2014A&A...566A.102S,"[{'name': 'Schulze et al. (2014)', 'url': 'https://ui.adsabs.harvard.edu/abs/2014A&A...566A.102S/abstract'}]"
