time	band	integration	mag	mag_limit	dmag	flux_density	dflux_density	time_unit	integration_unit	mag_unit	mag_type	flux_density_unit	instrument	time_frame	extinction_corrected	dtime
1526.0	V	20.0	14.939	0	0.026	3903.0	92.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2067.0	V	20.0	15.492	0	0.043	2345.3	91.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2218.0	V	20.0	15.631	0	0.047	2063.5	87.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2453.3	V	60.0	15.8	0	0.029	1766.0	46.5	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2820.0	V	60.0	15.921	0	0.036	1579.8	51.5	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3188.7	V	60.0	16.13	0	0.037	1303.2	43.7	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3556.3	V	60.0	16.336	0	0.043	1078.0	41.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3984.3	V	80.0	16.421	0	0.037	996.8	33.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
5332.5	V	80.0	16.827	0	0.042	685.8	26.0	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
5782.0	V	80.0	16.954	0	0.055	610.1	30.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
6165.5	V	80.0	16.989	0	0.047	590.7	25.0	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
6569.0	V	80.0	17.111	0	0.06	528.0	28.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
6973.0	V	80.0	17.144	0	0.068	512.2	31.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
8134.0	V	300.0	17.453	0	0.057	385.3	19.7	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
9335.0	V	300.0	17.629	0	0.069	327.6	20.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
10580.0	V	300.0	17.776	0	0.019	286.2	5.0	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
11785.0	V	300.0	17.958	0	0.031	242.0	6.8	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
14852.0	V	300.0	18.223	0	0.029	189.6	5.0	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
16051.0	V	300.0	18.37	0	0.038	165.6	5.7	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1188.0	I	20.0	13.777	0	0.013	7502.4	89.3	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1279.0	I	20.0	13.879	0	0.012	6829.7	75.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1370.0	I	20.0	14.016	0	0.015	6020.0	82.6	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1465.0	I	20.0	14.176	0	0.02	5195.2	94.8	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1557.0	I	20.0	14.328	0	0.018	4516.5	74.3	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1621.0	I	20.0	14.381	0	0.021	4301.3	82.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1680.0	I	20.0	14.516	0	0.015	3798.4	52.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1744.0	I	20.0	14.572	0	0.028	3607.4	91.8	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1803.0	I	20.0	14.616	0	0.016	3464.2	50.7	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1862.0	I	20.0	14.686	0	0.021	3247.9	62.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1912.0	I	20.0	14.778	0	0.025	2984.0	67.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
1972.0	I	20.0	14.807	0	0.025	2905.4	66.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2031.0	I	20.0	14.836	0	0.026	2828.8	66.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2158.0	I	20.0	14.958	0	0.021	2528.1	48.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2331.0	I	40.0	15.06	0	0.022	2301.4	46.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2575.5	I	40.0	15.174	0	0.023	2072.0	43.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
2821.0	I	40.0	15.334	0	0.02	1788.1	32.6	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3065.5	I	40.0	15.439	0	0.022	1623.3	32.6	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3311.5	I	40.0	15.565	0	0.035	1445.4	45.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3555.5	I	40.0	15.7	0	0.031	1276.4	35.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
3800.5	I	40.0	15.7	0	0.043	1276.4	49.6	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
4046.5	I	40.0	15.788	0	0.031	1177.1	33.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
4259.5	I	40.0	15.902	0	0.042	1059.7	40.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
4379.5	I	40.0	15.892	0	0.043	1069.5	41.5	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
4527.3	I	60.0	15.986	0	0.024	980.8	21.4	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
5002.5	I	80.0	16.17	0	0.028	827.9	21.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
5255.0	I	80.0	16.221	0	0.025	789.9	18.0	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
5662.0	I	80.0	16.296	0	0.024	737.2	16.1	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
6065.0	I	80.0	16.385	0	0.036	679.2	22.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
6469.0	I	80.0	16.507	0	0.033	607.0	18.2	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
6873.0	I	80.0	16.495	0	0.03	613.8	16.7	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
8479.0	I	300.0	16.841	0	0.017	446.3	6.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
9680.0	I	300.0	17.017	0	0.03	379.5	10.3	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
10924.0	I	300.0	17.204	0	0.019	319.4	5.5	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
12129.0	I	300.0	17.342	0	0.023	281.3	5.9	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
15195.0	I	300.0	17.648	0	0.022	212.2	4.3	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
16402.0	I	300.0	17.75	0	0.099	193.2	16.8	days	seconds	Vega	apparent	microJy	KAIT	observer	False	NaN
